episode, reward, loss, lr
1, -22.5909, 0.0175, 0.000050
2, -26.5682, 0.0161, 0.000050
3, -24.6591, 0.0172, 0.000050
4, -19.6818, 0.0104, 0.000050
5, -26.0455, 0.0135, 0.000050
6, -25.0909, 0.0116, 0.000050
7, -27.2500, 0.0105, 0.000050
8, -20.6364, 0.0004, 0.000050
9, -30.3864, 0.0104, 0.000050
10, -19.8636, -0.0023, 0.000050
11, -22.0909, 0.0055, 0.000050
12, -23.1136, 0.0008, 0.000050
13, -23.5909, -0.0009, 0.000050
14, -20.5000, 0.0012, 0.000050
15, -24.0227, -0.0005, 0.000050
16, -21.0000, -0.0100, 0.000050
17, -25.2045, -0.0002, 0.000050
18, -24.9773, 0.0071, 0.000050
19, -22.1591, -0.0020, 0.000050
20, -21.4773, 0.0040, 0.000050
21, -21.9535, 0.0008, 0.000050
22, -28.1628, 0.0023, 0.000050
23, -21.8864, -0.0096, 0.000050
24, -23.7273, -0.0067, 0.000050
25, -22.5455, -0.0070, 0.000050
26, -29.9767, 0.0047, 0.000050
27, -29.6818, -0.0013, 0.000050
28, -21.9773, -0.0101, 0.000050
29, -26.5455, 0.0015, 0.000050
30, -27.5682, -0.0014, 0.000050
31, -24.6136, -0.0051, 0.000050
32, -23.4419, -0.0109, 0.000050
33, -29.9767, -0.0059, 0.000050
34, -22.1818, -0.0132, 0.000050
35, -26.0909, -0.0126, 0.000050
36, -27.5227, -0.0077, 0.000050
37, -30.1818, -0.0041, 0.000050
38, -26.2326, -0.0120, 0.000050
39, -25.6818, -0.0153, 0.000050
40, -24.6136, -0.0159, 0.000050
41, -24.6364, -0.0131, 0.000050
42, -21.0455, -0.0229, 0.000050
43, -26.8636, -0.0056, 0.000050
44, -28.0698, -0.0007, 0.000050
45, -24.5227, -0.0066, 0.000050
46, -22.9535, -0.0066, 0.000050
47, -25.4651, -0.0054, 0.000050
48, -29.2273, -0.0010, 0.000050
49, -26.7500, -0.0083, 0.000050
50, -29.9318, -0.0039, 0.000050
51, -25.0455, -0.0080, 0.000050
52, -24.3636, -0.0120, 0.000050
53, -24.0000, -0.0124, 0.000050
54, -22.7955, -0.0155, 0.000050
55, -21.6364, -0.0051, 0.000050
56, -28.1364, -0.0073, 0.000050
57, -29.1136, -0.0088, 0.000050
58, -23.0909, -0.0159, 0.000050
59, -23.0909, -0.0178, 0.000050
60, -22.8409, -0.0118, 0.000050
61, -23.6364, -0.0086, 0.000050
62, -21.0682, -0.0044, 0.000050
63, -22.1591, -0.0122, 0.000050
64, -25.4773, -0.0087, 0.000050
65, -24.2558, -0.0020, 0.000050
66, -21.0682, -0.0040, 0.000050
67, -25.0000, -0.0059, 0.000050
68, -25.8636, -0.0116, 0.000050
69, -24.4091, -0.0067, 0.000050
70, -26.4318, -0.0092, 0.000050
71, -19.6136, -0.0077, 0.000050
72, -22.2955, -0.0038, 0.000050
73, -28.3864, -0.0086, 0.000050
74, -28.8182, -0.0066, 0.000050
75, -29.2558, -0.0042, 0.000050
76, -26.0000, -0.0105, 0.000050
77, -24.8636, -0.0141, 0.000050
78, -25.4091, -0.0102, 0.000050
79, -21.3182, -0.0200, 0.000050
80, -27.2273, -0.0094, 0.000050
81, -30.5909, -0.0055, 0.000050
82, -23.9318, -0.0194, 0.000050
83, -25.9318, -0.0105, 0.000050
84, -29.8409, -0.0047, 0.000050
85, -23.6591, -0.0113, 0.000050
86, -25.5349, -0.0069, 0.000050
87, -27.3636, -0.0075, 0.000050
88, -26.0000, -0.0098, 0.000050
89, -22.1136, -0.0070, 0.000050
90, -22.9091, -0.0053, 0.000050
91, -24.5909, -0.0139, 0.000050
92, -22.6591, -0.0186, 0.000050
93, -24.3864, -0.0098, 0.000050
94, -24.6818, -0.0071, 0.000050
95, -22.4884, -0.0171, 0.000050
96, -28.1591, -0.0004, 0.000050
97, -19.7500, -0.0128, 0.000050
98, -22.0909, -0.0074, 0.000050
99, -24.3636, -0.0051, 0.000050
100, -24.4318, -0.0067, 0.000050
101, -25.2955, -0.0064, 0.000050
102, -20.2727, -0.0044, 0.000050
103, -24.2273, -0.0068, 0.000050
104, -26.4318, -0.0056, 0.000050
105, -25.6591, -0.0113, 0.000050
106, -23.0909, -0.0104, 0.000050
107, -20.5455, -0.0045, 0.000050
108, -22.5000, -0.0128, 0.000050
109, -25.8636, -0.0057, 0.000050
110, -23.6744, -0.0116, 0.000050
111, -26.8409, -0.0092, 0.000050
112, -24.3864, -0.0078, 0.000050
113, -24.7500, -0.0100, 0.000050
114, -21.2500, -0.0058, 0.000050
115, -28.4318, -0.0036, 0.000050
116, -23.8636, -0.0082, 0.000050
117, -17.2500, -0.0086, 0.000050
118, -20.3409, -0.0167, 0.000050
119, -20.4773, -0.0160, 0.000050
120, -25.1667, -0.0018, 0.000050
121, -23.7209, -0.0011, 0.000050
122, -25.7955, -0.0004, 0.000050
123, -19.6136, -0.0015, 0.000050
124, -23.8372, -0.0054, 0.000050
125, -20.9773, -0.0036, 0.000050
126, -18.7907, -0.0135, 0.000050
127, -24.1364, -0.0023, 0.000050
128, -22.4419, -0.0070, 0.000050
129, -22.3409, -0.0041, 0.000050
130, -18.8636, -0.0038, 0.000050
131, -18.8636, -0.0042, 0.000050
132, -23.8409, -0.0091, 0.000050
133, -21.0455, -0.0021, 0.000050
134, -27.7857, -0.0018, 0.000050
135, -23.2955, -0.0058, 0.000050
136, -22.2273, -0.0104, 0.000050
137, -22.2727, -0.0115, 0.000050
138, -19.0227, -0.0153, 0.000050
139, -21.1163, -0.0127, 0.000050
140, -21.3182, -0.0003, 0.000050
141, -20.5227, 0.0022, 0.000050
142, -23.0682, 0.0007, 0.000050
143, -27.1905, 0.0019, 0.000050
144, -25.4545, -0.0006, 0.000050
145, -19.6818, -0.0035, 0.000050
146, -23.5455, -0.0050, 0.000050
