episode, reward, loss, lr
1, -25.5455, 0.0212, 0.000050
2, -22.7955, 0.0168, 0.000050
3, -24.4545, 0.0190, 0.000050
4, -25.7045, 0.0162, 0.000050
5, -23.9091, 0.0154, 0.000050
6, -31.1136, 0.0162, 0.000050
7, -26.4545, 0.0100, 0.000050
8, -19.6591, 0.0046, 0.000050
9, -26.8182, 0.0051, 0.000050
10, -19.7955, 0.0023, 0.000050
11, -22.0455, 0.0021, 0.000050
12, -27.4091, -0.0021, 0.000050
13, -24.0455, -0.0085, 0.000050
14, -24.9091, 0.0004, 0.000050
15, -25.5000, -0.0042, 0.000050
16, -26.2045, -0.0038, 0.000050
17, -27.3636, 0.0001, 0.000050
18, -23.9318, -0.0092, 0.000050
19, -25.1364, -0.0087, 0.000050
20, -21.5000, -0.0027, 0.000050
21, -24.0930, -0.0089, 0.000050
22, -20.3953, -0.0058, 0.000050
23, -24.7273, -0.0054, 0.000050
24, -27.8182, -0.0012, 0.000050
25, -24.8864, -0.0051, 0.000050
26, -25.0930, -0.0091, 0.000050
27, -24.9773, -0.0108, 0.000050
28, -19.6364, -0.0164, 0.000050
29, -23.3636, -0.0032, 0.000050
30, -18.7500, -0.0181, 0.000050
31, -30.2500, -0.0033, 0.000050
32, -23.5814, -0.0087, 0.000050
33, -27.6977, -0.0037, 0.000050
34, -20.4318, -0.0068, 0.000050
35, -22.2955, -0.0117, 0.000050
36, -22.7500, -0.0145, 0.000050
37, -30.5909, -0.0012, 0.000050
38, -23.4186, -0.0045, 0.000050
39, -22.5909, -0.0138, 0.000050
40, -27.0909, -0.0057, 0.000050
41, -24.1364, -0.0144, 0.000050
42, -21.5455, -0.0107, 0.000050
43, -21.6364, -0.0147, 0.000050
44, -27.2326, -0.0025, 0.000050
45, -27.9091, -0.0035, 0.000050
46, -24.0233, -0.0079, 0.000050
47, -28.6279, -0.0020, 0.000050
48, -20.4545, -0.0105, 0.000050
49, -30.2273, -0.0018, 0.000050
50, -28.3636, -0.0042, 0.000050
51, -20.1591, -0.0070, 0.000050
52, -24.6136, -0.0150, 0.000050
53, -25.2500, -0.0123, 0.000050
54, -23.5909, -0.0074, 0.000050
55, -24.4773, -0.0057, 0.000050
56, -25.0455, -0.0067, 0.000050
57, -23.2727, -0.0105, 0.000050
58, -22.7045, -0.0026, 0.000050
59, -23.7500, -0.0082, 0.000050
60, -26.3636, -0.0036, 0.000050
61, -26.1136, -0.0068, 0.000050
62, -19.5909, -0.0061, 0.000050
63, -22.7045, -0.0046, 0.000050
64, -24.5000, -0.0105, 0.000050
65, -21.0465, -0.0058, 0.000050
66, -19.7955, -0.0058, 0.000050
67, -26.8864, -0.0053, 0.000050
68, -18.9773, -0.0092, 0.000050
69, -23.8409, -0.0074, 0.000050
70, -27.1591, -0.0123, 0.000050
71, -18.2273, -0.0111, 0.000050
72, -19.4545, -0.0097, 0.000050
73, -24.8864, -0.0125, 0.000050
74, -24.0682, -0.0107, 0.000050
75, -30.6279, -0.0050, 0.000050
76, -23.1136, -0.0124, 0.000050
77, -29.1136, -0.0040, 0.000050
78, -27.3864, -0.0090, 0.000050
79, -25.3409, -0.0075, 0.000050
80, -23.7955, -0.0121, 0.000050
81, -26.1136, -0.0173, 0.000050
82, -21.9318, -0.0128, 0.000050
83, -24.2273, 0.0008, 0.000050
84, -21.7500, 0.0012, 0.000050
85, -21.5909, -0.0084, 0.000050
86, -24.9302, -0.0038, 0.000050
87, -23.8182, -0.0026, 0.000050
88, -24.6136, -0.0057, 0.000050
89, -26.0000, -0.0047, 0.000050
90, -25.2955, -0.0006, 0.000050
91, -23.2955, -0.0075, 0.000050
92, -19.7500, 0.0025, 0.000050
93, -24.3182, -0.0001, 0.000050
94, -20.7273, -0.0052, 0.000050
95, -27.5116, 0.0055, 0.000050
96, -20.2727, -0.0052, 0.000050
97, -21.9545, 0.0002, 0.000050
98, -21.8182, 0.0025, 0.000050
99, -20.5227, 0.0015, 0.000050
100, -23.5909, 0.0023, 0.000050
101, -26.1591, 0.0064, 0.000050
102, -23.4318, 0.0002, 0.000050
103, -20.3864, 0.0034, 0.000050
104, -27.7273, 0.0050, 0.000050
105, -21.0000, -0.0034, 0.000050
106, -20.5909, 0.0022, 0.000050
107, -19.5455, -0.0003, 0.000050
108, -23.5227, -0.0055, 0.000050
109, -25.9773, -0.0001, 0.000050
110, -27.2093, -0.0000, 0.000050
111, -19.6818, -0.0032, 0.000050
112, -23.0000, -0.0113, 0.000050
113, -24.0682, 0.0008, 0.000050
114, -22.8636, 0.0033, 0.000050
115, -25.1818, 0.0026, 0.000050
116, -21.1818, -0.0067, 0.000050
117, -18.9773, -0.0055, 0.000050
118, -20.5682, 0.0056, 0.000050
119, -19.8636, 0.0015, 0.000050
120, -24.4524, 0.0064, 0.000050
121, -17.0000, 0.0010, 0.000050
122, -22.0455, 0.0027, 0.000050
123, -16.8636, 0.0002, 0.000050
124, -27.4651, 0.0037, 0.000050
125, -17.5682, 0.0004, 0.000050
126, -23.8605, 0.0012, 0.000050
127, -22.7273, 0.0040, 0.000050
128, -21.0233, -0.0028, 0.000050
129, -22.9773, -0.0022, 0.000050
130, -18.3182, -0.0025, 0.000050
131, -23.0227, -0.0050, 0.000050
132, -19.7273, -0.0023, 0.000050
133, -23.1364, -0.0089, 0.000050
134, -25.9286, -0.0003, 0.000050
135, -24.9318, -0.0026, 0.000050
136, -23.5455, -0.0057, 0.000050
137, -21.2955, -0.0100, 0.000050
138, -18.4318, -0.0056, 0.000050
139, -21.5116, -0.0126, 0.000050
140, -21.8182, -0.0070, 0.000050
141, -20.3182, -0.0093, 0.000050
142, -20.4318, 0.0001, 0.000050
143, -25.2857, -0.0011, 0.000050
144, -20.5000, -0.0118, 0.000050
145, -20.0455, -0.0020, 0.000050
