episode, reward, loss, lr
1, -22.5909, 0.0011, 0.000050
2, -26.5682, 0.0008, 0.000050
3, -24.6591, 0.0009, 0.000050
4, -19.6818, 0.0008, 0.000050
5, -26.0455, 0.0009, 0.000050
6, -25.0909, 0.0011, 0.000050
7, -27.2500, 0.0010, 0.000050
8, -20.6364, 0.0020, 0.000050
9, -30.3864, 0.0014, 0.000050
10, -19.8636, 0.0028, 0.000050
11, -21.2273, 0.0011, 0.000050
12, -22.9773, 0.0042, 0.000050
13, -21.5682, 0.0024, 0.000050
14, -19.1136, 0.0023, 0.000050
15, -25.8864, 0.0021, 0.000050
16, -23.2045, 0.0062, 0.000050
17, -23.9318, 0.0010, 0.000050
18, -23.5455, 0.0025, 0.000050
19, -21.0227, 0.0028, 0.000050
20, -21.6364, 0.0009, 0.000050
21, -18.2093, 0.0115, 0.000050
22, -23.3721, 0.0019, 0.000050
23, -19.9091, 0.0008, 0.000050
24, -26.0455, 0.0019, 0.000050
25, -24.3409, 0.0011, 0.000050
26, -23.1628, 0.0035, 0.000050
27, -25.2273, 0.0014, 0.000050
28, -22.8182, 0.0014, 0.000050
29, -25.4318, 0.0041, 0.000050
30, -23.4773, 0.0021, 0.000050
31, -27.7727, 0.0012, 0.000050
32, -26.5814, 0.0014, 0.000050
33, -25.6512, 0.0016, 0.000050
34, -18.6136, 0.0011, 0.000050
35, -23.7955, 0.0021, 0.000050
36, -25.5682, 0.0024, 0.000050
37, -23.3864, 0.0030, 0.000050
38, -23.0233, 0.0011, 0.000050
39, -21.1136, 0.0051, 0.000050
40, -24.7955, 0.0015, 0.000050
41, -24.8409, 0.0023, 0.000050
42, -25.0455, 0.0020, 0.000050
43, -22.1591, 0.0015, 0.000050
44, -29.3953, 0.0011, 0.000050
45, -20.5682, 0.0010, 0.000050
46, -24.5814, 0.0018, 0.000050
47, -35.6512, 0.0017, 0.000050
48, -24.0455, 0.0018, 0.000050
49, -25.2500, 0.0017, 0.000050
50, -27.2500, 0.0014, 0.000050
51, -22.3636, 0.0010, 0.000050
52, -26.0000, 0.0021, 0.000050
53, -22.3409, 0.0014, 0.000050
54, -23.0455, 0.0042, 0.000050
55, -21.2273, 0.0091, 0.000050
56, -25.6364, 0.0014, 0.000050
57, -22.9318, 0.0083, 0.000050
58, -18.5227, 0.0010, 0.000050
59, -24.6591, 0.0015, 0.000050
60, -28.7955, 0.0009, 0.000050
61, -24.5909, 0.0015, 0.000050
62, -19.0227, 0.0012, 0.000050
63, -24.0227, 0.0028, 0.000050
64, -19.6818, 0.0023, 0.000050
65, -20.8140, 0.0012, 0.000050
66, -20.3864, 0.0020, 0.000050
67, -22.5000, 0.0018, 0.000050
68, -20.0000, 0.0009, 0.000050
69, -19.7273, 0.0023, 0.000050
70, -28.0682, 0.0013, 0.000050
71, -16.1818, 0.0011, 0.000050
72, -20.3182, 0.0009, 0.000050
73, -26.1364, 0.0020, 0.000050
74, -27.4318, 0.0017, 0.000050
75, -28.3953, 0.0014, 0.000050
76, -20.6818, 0.0062, 0.000050
77, -22.6136, 0.0023, 0.000050
78, -24.7500, 0.0015, 0.000050
79, -28.5682, 0.0013, 0.000050
80, -22.5909, 0.0012, 0.000050
81, -27.6818, 0.0011, 0.000050
82, -21.5455, 0.0014, 0.000050
83, -28.3182, 0.0010, 0.000050
84, -22.7955, 0.0031, 0.000050
85, -25.4545, 0.0018, 0.000050
86, -20.8837, 0.0049, 0.000050
87, -24.2955, 0.0106, 0.000050
88, -24.4773, 0.0017, 0.000050
89, -23.5227, 0.0009, 0.000050
90, -22.6818, 0.0013, 0.000050
91, -16.7955, 0.0010, 0.000050
92, -21.8636, 0.0028, 0.000050
93, -29.9545, 0.0017, 0.000050
94, -23.3636, 0.0028, 0.000050
95, -22.2326, 0.0014, 0.000050
96, -21.5000, 0.0009, 0.000050
97, -17.9091, 0.0047, 0.000050
98, -20.2273, 0.0020, 0.000050
99, -22.2500, 0.0021, 0.000050
100, -24.1818, 0.0030, 0.000050
101, -22.1818, 0.0019, 0.000050
102, -19.2045, 0.0009, 0.000050
103, -19.9091, 0.0024, 0.000050
104, -25.7045, 0.0014, 0.000050
105, -25.5455, 0.0015, 0.000050
106, -23.7500, 0.0024, 0.000050
107, -18.9773, 0.0010, 0.000050
108, -26.7045, 0.0014, 0.000050
109, -24.7955, 0.0028, 0.000050
110, -23.2791, 0.0018, 0.000050
111, -19.8182, 0.0011, 0.000050
112, -23.6591, 0.0017, 0.000050
113, -21.9773, 0.0018, 0.000050
114, -25.3409, 0.0040, 0.000050
115, -23.7273, 0.0097, 0.000050
116, -27.7273, 0.0021, 0.000050
117, -19.2273, 0.0009, 0.000050
118, -22.0227, 0.0011, 0.000050
119, -25.4545, 0.0022, 0.000050
120, -21.5238, 0.0090, 0.000050
121, -24.6977, 0.0016, 0.000050
122, -22.2500, 0.0015, 0.000050
123, -22.2727, 0.0013, 0.000050
124, -30.8605, 0.0013, 0.000050
125, -21.5000, 0.0164, 0.000050
126, -30.1860, 0.0013, 0.000050
127, -21.9318, 0.0046, 0.000050
128, -24.1860, 0.0022, 0.000050
