episode, reward, loss, lr
1, -25.5455, 0.0427, 0.000100
2, -23.7727, 0.0349, 0.000100
3, -22.8864, 0.0347, 0.000100
4, -24.4091, 0.0264, 0.000100
5, -19.8182, 0.0132, 0.000100
6, -24.1591, 0.0194, 0.000100
7, -28.5455, 0.0221, 0.000100
8, -22.5000, 0.0134, 0.000100
9, -28.0909, 0.0131, 0.000100
10, -25.8864, 0.0078, 0.000100
11, -21.0682, 0.0021, 0.000100
12, -22.5455, 0.0053, 0.000100
13, -21.2727, -0.0004, 0.000100
14, -25.0227, -0.0065, 0.000100
15, -22.4545, -0.0027, 0.000100
16, -25.6136, 0.0046, 0.000100
17, -26.1136, 0.0059, 0.000100
18, -29.4545, 0.0052, 0.000100
19, -23.4773, 0.0013, 0.000100
20, -17.8182, -0.0112, 0.000100
21, -21.8140, -0.0061, 0.000100
22, -23.6512, 0.0038, 0.000100
23, -19.8864, -0.0060, 0.000100
24, -19.5227, -0.0048, 0.000100
25, -22.7500, 0.0002, 0.000100
26, -27.7442, 0.0024, 0.000100
27, -19.7273, -0.0034, 0.000100
28, -24.1818, 0.0046, 0.000100
29, -29.0682, 0.0101, 0.000100
30, -26.1818, 0.0012, 0.000100
31, -22.7273, 0.0008, 0.000100
32, -26.9535, 0.0062, 0.000100
33, -29.4419, 0.0075, 0.000100
34, -21.3636, -0.0032, 0.000100
35, -23.1818, 0.0004, 0.000100
36, -19.1364, -0.0064, 0.000100
37, -23.9545, -0.0014, 0.000100
38, -28.4651, 0.0060, 0.000100
39, -27.1591, 0.0077, 0.000100
40, -23.2955, -0.0000, 0.000100
41, -21.6136, -0.0025, 0.000100
42, -18.9318, -0.0072, 0.000100
43, -24.7273, -0.0003, 0.000100
44, -25.3488, 0.0084, 0.000100
45, -24.5682, 0.0015, 0.000100
46, -25.2558, 0.0076, 0.000100
47, -29.1163, 0.0081, 0.000100
48, -25.5682, 0.0012, 0.000100
49, -27.3409, 0.0062, 0.000100
50, -24.0682, -0.0068, 0.000100
51, -20.9318, 0.0000, 0.000100
52, -23.6818, 0.0000, 0.000100
53, -25.9773, 0.0000, 0.000100
54, -25.2500, 0.0000, 0.000100
55, -22.1136, 0.0000, 0.000100
56, -23.4091, 0.0000, 0.000100
57, -21.7955, 0.0000, 0.000100
58, -21.5227, 0.0000, 0.000100
59, -23.0455, 0.0000, 0.000100
60, -22.8636, 0.0000, 0.000100
61, -22.0682, 0.0000, 0.000100
62, -21.4773, 0.0000, 0.000100
63, -27.2273, 0.0000, 0.000100
64, -21.2500, 0.0000, 0.000100
65, -20.3721, 0.0000, 0.000100
66, -17.7500, 0.0000, 0.000100
67, -25.8409, 0.0000, 0.000100
68, -24.3182, 0.0000, 0.000100
69, -23.4318, 0.0000, 0.000100
70, -23.6818, 0.0000, 0.000100
71, -18.7955, 0.0000, 0.000100
72, -23.2273, 0.0000, 0.000100
73, -28.3864, 0.0000, 0.000100
74, -24.2500, 0.0000, 0.000100
75, -24.4186, 0.0000, 0.000100
76, -21.3182, 0.0000, 0.000100
77, -23.9091, 0.0000, 0.000100
78, -23.6364, 0.0000, 0.000100
79, -17.9773, 0.0000, 0.000100
80, -27.5909, 0.0000, 0.000100
81, -20.4318, 0.0000, 0.000100
82, -22.7273, 0.0000, 0.000100
83, -24.0000, 0.0000, 0.000100
84, -22.5455, 0.0000, 0.000100
85, -22.2273, 0.0000, 0.000100
86, -20.8605, 0.0000, 0.000100
87, -23.8409, 0.0000, 0.000100
88, -20.5000, 0.0000, 0.000100
89, -22.1136, 0.0000, 0.000100
90, -21.2727, 0.0000, 0.000100
91, -21.0227, 0.0000, 0.000100
92, -21.8409, 0.0000, 0.000100
93, -22.2500, 0.0000, 0.000100
94, -23.0000, 0.0000, 0.000100
95, -27.8605, 0.0000, 0.000100
96, -22.5455, 0.0000, 0.000100
97, -20.8409, 0.0000, 0.000100
98, -16.2500, 0.0000, 0.000100
99, -19.4091, 0.0000, 0.000100
100, -22.2727, 0.0000, 0.000100
101, -24.9091, 0.0021, 0.000100
102, -22.5682, -0.0024, 0.000100
103, -18.2955, -0.0076, 0.000100
104, -26.0000, 0.0051, 0.000100
105, -20.7045, 0.0006, 0.000100
106, -18.0455, -0.0058, 0.000100
107, -17.4545, -0.0058, 0.000100
108, -23.0000, 0.0023, 0.000100
109, -18.5682, -0.0036, 0.000100
110, -27.7907, 0.0055, 0.000100
111, -20.8409, -0.0037, 0.000100
112, -21.3864, -0.0045, 0.000100
113, -28.7500, 0.0050, 0.000100
114, -19.9773, -0.0042, 0.000100
115, -22.5000, 0.0001, 0.000100
116, -21.5455, -0.0004, 0.000100
117, -16.4545, -0.0068, 0.000100
118, -21.3182, 0.0002, 0.000100
119, -21.8636, -0.0012, 0.000100
120, -21.5238, -0.0008, 0.000100
121, -16.5814, -0.0028, 0.000100
122, -23.5227, 0.0014, 0.000100
123, -24.1818, 0.0076, 0.000100
124, -25.5349, 0.0086, 0.000100
125, -20.9545, 0.0007, 0.000100
126, -21.6279, -0.0018, 0.000100
127, -18.3409, -0.0008, 0.000100
128, -26.8605, 0.0056, 0.000100
129, -21.6136, 0.0013, 0.000100
130, -21.6591, 0.0040, 0.000100
131, -19.6136, -0.0027, 0.000100
132, -18.3864, -0.0009, 0.000100
133, -18.9545, -0.0013, 0.000100
134, -21.7619, 0.0018, 0.000100
135, -24.5682, 0.0096, 0.000100
136, -22.3409, 0.0056, 0.000100
137, -20.3636, 0.0020, 0.000100
138, -19.9091, -0.0001, 0.000100
139, -24.8605, 0.0055, 0.000100
140, -24.3864, 0.0063, 0.000100
141, -22.4773, 0.0038, 0.000100
142, -18.5000, -0.0038, 0.000100
143, -20.0476, -0.0011, 0.000100
