episode, reward, loss, lr
1, -15.3864, -0.0003, 0.000010
2, -18.0909, 0.0022, 0.000010
3, -16.5000, -0.0005, 0.000010
4, -19.1591, 0.0022, 0.000010
5, -15.3409, -0.0026, 0.000010
6, -17.9773, 0.0043, 0.000010
7, -16.9318, -0.0021, 0.000010
8, -14.2727, -0.0055, 0.000010
9, -17.8409, 0.0025, 0.000010
10, -15.3409, 0.0019, 0.000010
11, -14.7045, -0.0029, 0.000010
12, -16.3636, 0.0008, 0.000010
13, -18.4318, 0.0026, 0.000010
14, -11.0909, -0.0067, 0.000010
15, -15.6818, 0.0008, 0.000010
16, -14.4545, -0.0010, 0.000010
17, -15.5682, 0.0038, 0.000010
18, -15.8636, 0.0010, 0.000010
19, -12.9773, -0.0051, 0.000010
20, -13.3182, 0.0010, 0.000010
21, -14.0930, 0.0003, 0.000010
22, -13.7674, -0.0011, 0.000010
23, -15.7045, 0.0022, 0.000010
24, -20.2273, 0.0121, 0.000010
25, -17.0682, 0.0004, 0.000010
26, -17.5814, 0.0000, 0.000010
27, -14.6591, 0.0000, 0.000010
28, -13.2727, 0.0000, 0.000010
29, -14.6818, 0.0000, 0.000010
30, -15.2273, 0.0000, 0.000010
31, -15.9091, 0.0000, 0.000010
32, -18.6744, 0.0000, 0.000010
33, -15.4419, 0.0000, 0.000010
34, -14.5909, 0.0000, 0.000010
35, -15.5000, 0.0000, 0.000010
36, -13.1364, 0.0000, 0.000010
37, -19.6818, 0.0000, 0.000010
38, -15.3721, 0.0000, 0.000010
39, -16.8636, 0.0000, 0.000010
40, -14.6818, 0.0000, 0.000010
41, -16.6591, 0.0000, 0.000010
42, -14.8182, 0.0000, 0.000010
43, -14.6136, 0.0000, 0.000010
44, -16.4651, 0.0000, 0.000010
45, -13.6591, 0.0000, 0.000010
46, -16.6744, 0.0000, 0.000010
47, -14.4419, 0.0000, 0.000010
48, -13.0682, 0.0000, 0.000010
49, -18.8182, 0.0000, 0.000010
50, -16.7955, 0.0000, 0.000010
51, -16.9091, 0.0033, 0.000010
52, -19.4773, 0.0043, 0.000010
53, -13.8636, -0.0006, 0.000010
54, -13.3864, -0.0003, 0.000010
55, -18.2500, 0.0012, 0.000010
56, -16.1818, 0.0009, 0.000010
57, -17.0682, 0.0022, 0.000010
58, -14.9318, 0.0035, 0.000010
59, -18.6364, 0.0012, 0.000010
60, -16.4773, 0.0021, 0.000010
61, -16.2273, 0.0029, 0.000010
62, -16.5000, 0.0031, 0.000010
63, -17.8182, 0.0042, 0.000010
64, -14.9773, -0.0004, 0.000010
65, -17.3023, 0.0099, 0.000010
66, -13.0682, -0.0023, 0.000010
67, -16.5000, 0.0022, 0.000010
68, -14.4091, 0.0005, 0.000010
69, -16.1364, 0.0008, 0.000010
70, -18.8636, 0.0039, 0.000010
71, -13.6364, -0.0005, 0.000010
72, -15.9091, 0.0035, 0.000010
73, -15.2273, 0.0018, 0.000010
74, -21.0227, 0.0039, 0.000010
75, -17.6977, 0.0044, 0.000010
76, -13.4091, 0.0000, 0.000010
77, -18.4318, 0.0000, 0.000010
78, -17.0227, 0.0000, 0.000010
79, -17.4545, 0.0000, 0.000010
80, -19.2045, 0.0000, 0.000010
81, -18.0455, 0.0000, 0.000010
82, -15.7955, 0.0000, 0.000010
83, -14.9318, 0.0000, 0.000010
84, -16.6591, 0.0000, 0.000010
85, -14.0909, 0.0000, 0.000010
86, -15.9767, 0.0000, 0.000010
87, -16.5909, 0.0000, 0.000010
88, -15.2955, 0.0000, 0.000010
89, -12.6136, 0.0000, 0.000010
90, -16.0682, 0.0000, 0.000010
91, -15.2955, 0.0000, 0.000010
92, -16.4773, 0.0000, 0.000010
93, -18.3182, 0.0000, 0.000010
94, -14.5682, 0.0000, 0.000010
95, -20.8837, 0.0000, 0.000010
96, -16.4545, 0.0000, 0.000010
97, -16.8636, 0.0000, 0.000010
98, -15.8409, 0.0000, 0.000010
99, -15.7500, 0.0000, 0.000010
100, -20.9091, 0.0000, 0.000010
101, -14.7955, -0.0026, 0.000010
102, -15.2727, 0.0013, 0.000010
103, -15.1818, 0.0004, 0.000010
104, -16.0227, 0.0014, 0.000010
105, -12.9318, -0.0042, 0.000010
106, -15.7727, 0.0020, 0.000010
107, -14.4318, 0.0024, 0.000010
108, -15.5000, 0.0024, 0.000010
109, -15.8182, 0.0004, 0.000010
110, -18.0698, 0.0027, 0.000010
111, -17.9091, 0.0063, 0.000010
112, -15.3636, 0.0006, 0.000010
113, -18.6364, 0.0032, 0.000010
114, -15.6364, -0.0008, 0.000010
115, -16.9318, 0.0018, 0.000010
116, -21.7955, 0.0049, 0.000010
117, -13.4545, -0.0013, 0.000010
118, -16.4091, 0.0005, 0.000010
119, -14.2273, -0.0016, 0.000010
120, -17.2619, 0.0062, 0.000010
121, -14.1860, -0.0003, 0.000010
122, -19.2045, 0.0040, 0.000010
123, -12.6591, -0.0029, 0.000010
124, -17.5116, 0.0020, 0.000010
125, -17.8864, 0.0041, 0.000010
126, -13.0930, 0.0000, 0.000010
127, -20.7273, 0.0000, 0.000010
128, -17.6744, 0.0000, 0.000010
129, -20.1818, 0.0000, 0.000010
130, -15.1136, 0.0000, 0.000010
131, -14.2273, 0.0000, 0.000010
132, -18.6364, 0.0000, 0.000010
133, -16.3636, 0.0000, 0.000010
134, -19.9524, 0.0000, 0.000010
135, -15.0000, 0.0000, 0.000010
136, -15.6591, 0.0000, 0.000010
137, -14.9545, 0.0000, 0.000010
138, -14.4773, 0.0000, 0.000010
139, -15.1163, 0.0000, 0.000010
140, -15.3636, 0.0000, 0.000010
141, -14.6364, 0.0000, 0.000010
142, -16.5227, 0.0000, 0.000010
143, -17.8095, 0.0000, 0.000010
144, -16.9545, 0.0000, 0.000010
145, -12.1818, 0.0000, 0.000010
146, -16.2727, 0.0000, 0.000010
147, -14.6818, 0.0000, 0.000010
148, -20.2558, 0.0000, 0.000010
149, -13.5000, 0.0000, 0.000010
150, -13.8409, 0.0000, 0.000010
151, -14.7045, 0.0013, 0.000010
