episode, reward, loss, lr
1, -14.3182, -0.0109, 0.000010
2, -15.7955, -0.0079, 0.000010
3, -12.9545, -0.0111, 0.000010
4, -17.0000, -0.0035, 0.000010
5, -16.8409, -0.0052, 0.000010
6, -16.7273, -0.0066, 0.000010
7, -17.7273, 0.0005, 0.000010
8, -13.8636, -0.0089, 0.000010
9, -19.7727, -0.0015, 0.000010
10, -14.6818, -0.0042, 0.000010
11, -15.5682, -0.0028, 0.000010
12, -16.0909, 0.0011, 0.000010
13, -18.1591, -0.0015, 0.000010
14, -14.8636, -0.0021, 0.000010
15, -16.4545, -0.0035, 0.000010
16, -16.9773, 0.0011, 0.000010
17, -16.1591, 0.0010, 0.000010
18, -15.9318, -0.0020, 0.000010
19, -13.7273, -0.0047, 0.000010
20, -13.4318, -0.0068, 0.000010
21, -15.0698, -0.0040, 0.000010
22, -18.7442, 0.0032, 0.000010
23, -13.3182, -0.0070, 0.000010
24, -15.2500, -0.0021, 0.000010
25, -15.8409, -0.0045, 0.000010
26, -17.7442, -0.0005, 0.000010
27, -15.6818, -0.0031, 0.000010
28, -13.8864, -0.0045, 0.000010
29, -13.3409, -0.0052, 0.000010
30, -17.0000, -0.0023, 0.000010
31, -16.7955, -0.0004, 0.000010
32, -14.4651, -0.0067, 0.000010
33, -17.7442, 0.0032, 0.000010
34, -15.6818, -0.0021, 0.000010
35, -12.9318, -0.0030, 0.000010
36, -12.6136, -0.0070, 0.000010
37, -17.9773, -0.0023, 0.000010
38, -14.6279, 0.0016, 0.000010
39, -16.5227, 0.0013, 0.000010
40, -13.6364, -0.0061, 0.000010
41, -15.0227, -0.0027, 0.000010
42, -14.5227, -0.0012, 0.000010
43, -17.2727, 0.0016, 0.000010
44, -20.1628, 0.0046, 0.000010
45, -20.9545, 0.0037, 0.000010
46, -15.0465, -0.0024, 0.000010
47, -18.2093, -0.0009, 0.000010
48, -14.6591, -0.0044, 0.000010
49, -20.5227, 0.0030, 0.000010
50, -18.0455, 0.0012, 0.000010
51, -15.3409, -0.0039, 0.000010
52, -16.6136, -0.0002, 0.000010
53, -14.9545, -0.0036, 0.000010
54, -14.9091, -0.0024, 0.000010
55, -17.6818, -0.0031, 0.000010
56, -19.9318, 0.0037, 0.000010
57, -18.6136, -0.0006, 0.000010
58, -12.9091, -0.0062, 0.000010
59, -17.1818, -0.0010, 0.000010
60, -14.2045, -0.0074, 0.000010
61, -16.9545, -0.0010, 0.000010
62, -14.5909, -0.0018, 0.000010
63, -16.1818, 0.0006, 0.000010
64, -16.5455, 0.0028, 0.000010
65, -15.7209, 0.0058, 0.000010
66, -15.7727, -0.0007, 0.000010
