episode, reward, loss, lr
1, -21.5455, 0.0157, 0.000100
2, -22.2955, 0.0162, 0.000100
3, -19.5682, 0.0164, 0.000100
4, -21.4773, 0.0112, 0.000100
5, -25.7955, 0.0118, 0.000100
6, -26.9318, 0.0100, 0.000100
7, -26.6818, 0.0073, 0.000100
8, -26.2273, 0.0037, 0.000100
9, -24.2045, -0.0000, 0.000100
10, -28.3182, 0.0029, 0.000100
11, -24.7727, -0.0005, 0.000100
12, -24.7442, 0.0002, 0.000100
13, -23.6136, -0.0032, 0.000100
14, -27.5455, -0.0003, 0.000100
15, -29.4318, 0.0014, 0.000100
16, -23.6818, -0.0057, 0.000100
17, -22.7727, -0.0075, 0.000100
18, -21.4773, -0.0029, 0.000100
19, -23.2791, 0.0028, 0.000100
20, -19.9773, -0.0037, 0.000100
21, -27.2500, -0.0003, 0.000100
22, -24.1364, -0.0003, 0.000100
23, -21.6136, 0.0009, 0.000100
24, -23.9773, -0.0071, 0.000100
25, -25.9545, -0.0028, 0.000100
26, -22.1163, -0.0004, 0.000100
27, -32.3636, 0.0022, 0.000100
28, -21.4318, -0.0064, 0.000100
29, -29.8182, 0.0021, 0.000100
30, -25.6047, -0.0001, 0.000100
31, -24.9091, -0.0023, 0.000100
32, -23.0000, -0.0007, 0.000100
33, -23.3864, -0.0006, 0.000100
34, -24.7273, -0.0032, 0.000100
35, -28.8182, 0.0002, 0.000100
36, -23.5455, 0.0005, 0.000100
37, -21.0455, -0.0081, 0.000100
38, -24.6364, -0.0012, 0.000100
39, -22.7273, -0.0022, 0.000100
40, -22.1818, 0.0017, 0.000100
41, -28.4545, -0.0031, 0.000100
42, -23.7273, -0.0048, 0.000100
43, -26.1163, -0.0033, 0.000100
44, -22.8182, -0.0081, 0.000100
45, -28.4773, 0.0006, 0.000100
46, -28.8182, -0.0012, 0.000100
47, -26.2045, -0.0043, 0.000100
48, -22.9773, -0.0066, 0.000100
49, -24.7500, -0.0029, 0.000100
50, -28.3636, -0.0004, 0.000100
51, -26.9318, -0.0033, 0.000100
52, -25.7500, -0.0033, 0.000100
53, -28.0455, -0.0006, 0.000100
54, -26.5455, -0.0030, 0.000100
55, -29.5455, -0.0010, 0.000100
56, -23.3409, -0.0086, 0.000100
57, -24.7045, 0.0032, 0.000100
58, -21.6364, -0.0031, 0.000100
59, -20.3182, -0.0042, 0.000100
60, -25.3636, 0.0013, 0.000100
61, -20.9773, -0.0022, 0.000100
62, -21.0000, -0.0007, 0.000100
63, -24.0909, 0.0029, 0.000100
64, -27.2045, 0.0015, 0.000100
65, -27.2500, 0.0014, 0.000100
66, -21.0682, -0.0038, 0.000100
67, -24.9318, 0.0033, 0.000100
68, -24.7500, 0.0012, 0.000100
69, -23.8636, 0.0000, 0.000100
70, -28.3182, 0.0044, 0.000100
71, -23.6190, 0.0018, 0.000100
72, -26.8636, 0.0012, 0.000100
73, -25.7273, 0.0047, 0.000100
74, -20.8182, -0.0014, 0.000100
75, -22.2500, -0.0004, 0.000100
76, -23.8182, 0.0001, 0.000100
77, -21.7727, -0.0015, 0.000100
78, -23.1136, 0.0027, 0.000100
79, -26.6591, 0.0019, 0.000100
80, -27.1163, 0.0028, 0.000100
81, -22.7727, -0.0015, 0.000100
82, -25.6429, 0.0009, 0.000100
83, -25.2273, 0.0056, 0.000100
84, -25.1136, 0.0038, 0.000100
85, -20.1818, -0.0012, 0.000100
86, -21.0455, 0.0001, 0.000100
87, -24.8864, 0.0019, 0.000100
88, -29.5000, 0.0031, 0.000100
89, -30.5455, 0.0015, 0.000100
90, -23.3182, -0.0031, 0.000100
91, -20.4545, -0.0011, 0.000100
92, -27.7955, 0.0046, 0.000100
93, -21.3409, 0.0012, 0.000100
94, -27.5000, 0.0060, 0.000100
95, -23.2727, 0.0009, 0.000100
96, -25.9773, 0.0029, 0.000100
97, -26.0455, 0.0028, 0.000100
98, -27.6591, 0.0052, 0.000100
99, -23.4884, -0.0010, 0.000100
100, -26.8182, 0.0019, 0.000100
101, -21.4773, -0.0017, 0.000100
102, -26.5581, 0.0008, 0.000100
103, -21.5000, -0.0002, 0.000100
104, -27.1136, 0.0021, 0.000100
105, -23.6818, -0.0019, 0.000100
106, -24.4091, -0.0002, 0.000100
107, -24.2500, 0.0029, 0.000100
108, -22.7727, -0.0011, 0.000100
109, -24.3182, 0.0006, 0.000100
