episode, reward, loss, lr
1, -23.3182, 0.0175, 0.000100
2, -24.1818, 0.0182, 0.000100
3, -23.6136, 0.0170, 0.000100
4, -22.3864, 0.0135, 0.000100
5, -26.2727, 0.0126, 0.000100
6, -29.5227, 0.0090, 0.000100
7, -23.6136, 0.0039, 0.000100
8, -22.5455, -0.0016, 0.000100
9, -21.1136, -0.0042, 0.000100
10, -27.6818, 0.0042, 0.000100
11, -24.0682, -0.0013, 0.000100
12, -23.0698, -0.0023, 0.000100
13, -24.5909, 0.0070, 0.000100
14, -29.5349, 0.0088, 0.000100
15, -28.1136, 0.0041, 0.000100
16, -27.0698, 0.0027, 0.000100
17, -23.0227, -0.0028, 0.000100
18, -19.5455, -0.0015, 0.000100
19, -22.7442, -0.0019, 0.000100
20, -22.3095, -0.0043, 0.000100
21, -28.7500, 0.0031, 0.000100
22, -26.1591, -0.0012, 0.000100
23, -23.5909, -0.0051, 0.000100
24, -23.6136, -0.0031, 0.000100
25, -26.0682, -0.0001, 0.000100
26, -23.8182, -0.0014, 0.000100
27, -23.2500, -0.0028, 0.000100
28, -26.5455, 0.0015, 0.000100
29, -25.2045, -0.0001, 0.000100
30, -28.0000, 0.0021, 0.000100
31, -25.5455, -0.0011, 0.000100
32, -23.8182, 0.0016, 0.000100
33, -20.3636, -0.0048, 0.000100
34, -22.6591, -0.0037, 0.000100
35, -24.3864, -0.0011, 0.000100
36, -23.6818, 0.0010, 0.000100
37, -26.0227, 0.0007, 0.000100
38, -23.4091, 0.0006, 0.000100
39, -23.6136, 0.0001, 0.000100
40, -22.3864, -0.0001, 0.000100
41, -23.3256, -0.0024, 0.000100
42, -27.8864, 0.0003, 0.000100
43, -25.0227, -0.0025, 0.000100
44, -23.4318, -0.0022, 0.000100
45, -26.7045, -0.0000, 0.000100
46, -20.3636, -0.0028, 0.000100
47, -25.4091, 0.0015, 0.000100
48, -20.6136, -0.0011, 0.000100
49, -23.1136, -0.0010, 0.000100
50, -25.1591, 0.0017, 0.000100
51, -25.4773, 0.0001, 0.000100
52, -22.2045, -0.0006, 0.000100
53, -23.9773, 0.0026, 0.000100
54, -30.5455, 0.0044, 0.000100
55, -33.9545, 0.0059, 0.000100
56, -24.2273, 0.0000, 0.000100
57, -20.7955, -0.0038, 0.000100
58, -27.4318, 0.0033, 0.000100
59, -28.6818, 0.0016, 0.000100
60, -21.2093, -0.0028, 0.000100
61, -18.2727, -0.0012, 0.000100
62, -24.5682, 0.0016, 0.000100
63, -25.5227, -0.0002, 0.000100
64, -24.2045, 0.0005, 0.000100
65, -21.6136, -0.0011, 0.000100
66, -22.7727, 0.0000, 0.000100
67, -20.2727, -0.0018, 0.000100
68, -24.1190, 0.0015, 0.000100
69, -18.9091, -0.0014, 0.000100
70, -22.0909, -0.0011, 0.000100
71, -18.2500, -0.0019, 0.000100
72, -20.8182, -0.0002, 0.000100
73, -20.1364, -0.0008, 0.000100
74, -24.1364, 0.0023, 0.000100
75, -24.0465, 0.0019, 0.000100
76, -21.4773, -0.0021, 0.000100
77, -24.5455, 0.0010, 0.000100
78, -19.6591, -0.0026, 0.000100
79, -21.8864, -0.0008, 0.000100
80, -23.3864, 0.0032, 0.000100
81, -19.5682, 0.0031, 0.000100
82, -27.2143, 0.0060, 0.000100
83, -24.7045, 0.0038, 0.000100
84, -19.7273, -0.0024, 0.000100
85, -20.5227, -0.0040, 0.000100
86, -20.5455, -0.0009, 0.000100
87, -21.3409, -0.0009, 0.000100
88, -23.6047, -0.0002, 0.000100
89, -19.7273, -0.0020, 0.000100
90, -20.8636, 0.0011, 0.000100
91, -21.8864, 0.0009, 0.000100
92, -21.6818, -0.0006, 0.000100
93, -19.0455, -0.0007, 0.000100
94, -24.0682, 0.0011, 0.000100
95, -19.7045, -0.0015, 0.000100
96, -24.9318, 0.0044, 0.000100
97, -22.8864, -0.0003, 0.000100
98, -21.2500, 0.0006, 0.000100
99, -19.9091, -0.0016, 0.000100
100, -22.9091, -0.0008, 0.000100
101, -21.1364, 0.0013, 0.000100
102, -24.3182, 0.0009, 0.000100
103, -18.9318, -0.0039, 0.000100
104, -21.8605, 0.0020, 0.000100
105, -26.4773, 0.0034, 0.000100
106, -24.7500, -0.0005, 0.000100
107, -24.7727, 0.0021, 0.000100
108, -20.2727, -0.0028, 0.000100
109, -17.4773, -0.0042, 0.000100
110, -21.1364, -0.0010, 0.000100
111, -22.1136, -0.0007, 0.000100
