episode, reward, loss, lr
1, -24.1818, 0.0175, 0.000100
2, -24.8837, 0.0170, 0.000100
3, -28.2955, 0.0141, 0.000100
4, -23.8864, 0.0163, 0.000100
5, -20.4651, 0.0094, 0.000100
6, -23.9545, 0.0101, 0.000100
7, -24.9773, 0.0075, 0.000100
8, -23.5000, 0.0042, 0.000100
9, -23.7500, 0.0034, 0.000100
10, -21.7045, 0.0045, 0.000100
11, -28.0227, 0.0037, 0.000100
12, -21.0682, 0.0005, 0.000100
13, -22.6279, 0.0001, 0.000100
14, -19.8182, -0.0024, 0.000100
15, -21.8636, 0.0007, 0.000100
16, -26.4884, 0.0050, 0.000100
17, -23.4773, 0.0010, 0.000100
18, -26.2955, 0.0039, 0.000100
19, -20.5909, 0.0013, 0.000100
20, -18.8864, 0.0012, 0.000100
21, -24.6279, 0.0021, 0.000100
22, -21.5227, 0.0001, 0.000100
23, -21.7045, 0.0003, 0.000100
24, -22.3636, 0.0000, 0.000100
25, -24.6364, 0.0009, 0.000100
26, -20.2955, -0.0001, 0.000100
27, -22.5455, -0.0001, 0.000100
28, -22.7500, 0.0035, 0.000100
29, -22.9773, 0.0053, 0.000100
30, -23.0000, 0.0017, 0.000100
31, -22.2727, -0.0006, 0.000100
32, -22.0000, 0.0036, 0.000100
33, -26.1163, 0.0032, 0.000100
34, -21.6591, -0.0011, 0.000100
35, -17.7273, -0.0012, 0.000100
36, -24.3864, 0.0016, 0.000100
37, -20.2727, -0.0016, 0.000100
38, -24.3721, 0.0024, 0.000100
39, -23.0909, 0.0008, 0.000100
40, -21.4318, -0.0013, 0.000100
41, -17.9545, -0.0024, 0.000100
42, -22.2727, 0.0027, 0.000100
43, -21.1818, -0.0014, 0.000100
44, -26.6744, 0.0034, 0.000100
45, -22.3864, -0.0001, 0.000100
46, -23.8140, -0.0000, 0.000100
47, -22.6136, -0.0008, 0.000100
48, -22.1136, 0.0004, 0.000100
49, -24.5000, 0.0018, 0.000100
50, -24.1136, -0.0005, 0.000100
51, -23.7500, 0.0020, 0.000100
52, -22.6136, -0.0014, 0.000100
53, -20.5455, -0.0015, 0.000100
54, -23.2500, 0.0035, 0.000100
55, -21.0682, 0.0014, 0.000100
56, -22.3636, -0.0014, 0.000100
57, -22.9545, 0.0030, 0.000100
58, -21.8864, -0.0020, 0.000100
59, -21.2045, -0.0005, 0.000100
60, -24.4545, 0.0008, 0.000100
61, -21.8409, -0.0026, 0.000100
62, -23.4545, -0.0010, 0.000100
63, -21.3636, -0.0003, 0.000100
64, -16.7045, -0.0040, 0.000100
65, -21.0233, -0.0005, 0.000100
66, -18.8409, -0.0007, 0.000100
67, -20.2045, -0.0001, 0.000100
68, -22.8864, 0.0022, 0.000100
69, -21.9091, 0.0012, 0.000100
70, -24.0682, 0.0042, 0.000100
71, -19.4091, -0.0018, 0.000100
72, -17.4545, -0.0024, 0.000100
73, -19.4545, -0.0010, 0.000100
74, -20.0000, 0.0005, 0.000100
75, -25.0476, 0.0051, 0.000100
76, -19.8140, 0.0007, 0.000100
77, -22.0000, 0.0004, 0.000100
78, -23.7045, 0.0028, 0.000100
79, -19.4091, -0.0006, 0.000100
80, -23.0455, 0.0006, 0.000100
81, -24.2045, 0.0013, 0.000100
82, -22.0455, 0.0043, 0.000100
83, -23.2727, 0.0002, 0.000100
84, -18.6591, -0.0033, 0.000100
85, -23.3636, -0.0006, 0.000100
86, -30.0465, 0.0027, 0.000100
87, -21.2727, 0.0019, 0.000100
88, -25.5909, 0.0011, 0.000100
89, -24.1591, 0.0019, 0.000100
90, -20.4773, -0.0015, 0.000100
91, -14.5227, -0.0050, 0.000100
92, -17.8182, -0.0020, 0.000100
93, -23.0000, 0.0020, 0.000100
94, -19.2326, -0.0024, 0.000100
95, -26.8140, 0.0042, 0.000100
96, -22.6136, 0.0019, 0.000100
97, -24.1591, 0.0006, 0.000100
98, -21.0000, -0.0004, 0.000100
99, -23.3636, -0.0003, 0.000100
100, -24.8636, 0.0012, 0.000100
101, -21.6818, 0.0011, 0.000100
102, -22.6136, 0.0004, 0.000100
103, -23.2045, -0.0012, 0.000100
104, -25.4773, 0.0021, 0.000100
105, -20.1136, 0.0002, 0.000100
106, -22.8810, -0.0017, 0.000100
107, -18.3409, 0.0006, 0.000100
108, -21.7955, 0.0006, 0.000100
109, -19.2727, -0.0025, 0.000100
110, -21.2273, -0.0001, 0.000100
111, -18.7500, -0.0003, 0.000100
112, -23.1364, 0.0008, 0.000100
113, -20.1591, -0.0006, 0.000100
114, -21.3636, 0.0017, 0.000100
115, -23.4545, 0.0041, 0.000100
116, -18.7273, -0.0005, 0.000100
117, -20.0000, -0.0012, 0.000100
118, -21.2955, 0.0009, 0.000100
119, -22.3182, -0.0006, 0.000100
120, -21.3864, 0.0011, 0.000100
121, -20.7045, 0.0022, 0.000100
122, -23.5000, 0.0028, 0.000100
123, -19.5909, -0.0002, 0.000100
124, -19.5682, 0.0005, 0.000100
125, -22.3182, 0.0019, 0.000100
126, -18.0465, 0.0002, 0.000100
127, -22.2500, 0.0028, 0.000100
128, -21.0930, 0.0015, 0.000100
129, -22.7955, 0.0034, 0.000100
130, -17.8182, -0.0020, 0.000100
131, -23.6364, 0.0019, 0.000100
132, -21.4318, 0.0002, 0.000100
133, -20.9773, 0.0013, 0.000100
134, -22.2955, -0.0000, 0.000100
135, -18.8409, -0.0026, 0.000100
136, -22.0682, 0.0007, 0.000100
137, -20.5909, -0.0001, 0.000100
138, -21.0909, 0.0017, 0.000100
139, -22.9302, 0.0021, 0.000100
140, -18.7500, -0.0001, 0.000100
141, -21.3636, -0.0001, 0.000100
142, -23.2045, 0.0014, 0.000100
143, -18.9773, -0.0000, 0.000100
144, -25.2955, 0.0022, 0.000100
145, -22.8182, 0.0008, 0.000100
146, -25.1136, 0.0001, 0.000100
147, -22.0227, 0.0022, 0.000100
148, -24.7500, 0.0064, 0.000100
149, -19.3409, -0.0006, 0.000100
150, -18.1136, -0.0019, 0.000100
151, -20.0682, 0.0003, 0.000100
152, -22.3953, -0.0002, 0.000100
153, -16.0682, -0.0043, 0.000100
154, -22.6364, 0.0005, 0.000100
155, -23.4773, 0.0005, 0.000100
156, -19.8864, -0.0002, 0.000100
157, -20.9091, 0.0000, 0.000100
158, -23.0000, 0.0012, 0.000100
159, -20.0682, -0.0009, 0.000100
160, -19.7045, -0.0032, 0.000100
161, -18.2045, -0.0021, 0.000100
162, -20.7045, -0.0010, 0.000100
163, -25.6364, 0.0029, 0.000100
164, -22.7500, -0.0005, 0.000100
165, -16.5682, -0.0043, 0.000100
166, -22.2727, 0.0019, 0.000100
167, -16.7500, -0.0041, 0.000100
168, -22.8182, 0.0015, 0.000100
169, -24.2273, 0.0052, 0.000100
170, -20.7727, 0.0007, 0.000100
171, -19.9545, -0.0022, 0.000100
172, -16.5814, -0.0027, 0.000100
173, -21.1818, 0.0036, 0.000100
174, -22.3864, 0.0019, 0.000100
175, -21.3864, -0.0004, 0.000100
176, -21.9773, 0.0030, 0.000100
177, -19.7727, 0.0001, 0.000100
178, -21.9091, 0.0009, 0.000100
179, -22.7674, -0.0002, 0.000100
180, -21.9773, 0.0011, 0.000100
181, -22.3488, 0.0003, 0.000100
182, -19.5682, -0.0015, 0.000100
183, -18.2955, -0.0011, 0.000100
184, -25.2955, 0.0067, 0.000100
185, -21.3182, 0.0025, 0.000100
186, -19.2273, 0.0015, 0.000100
187, -21.5909, 0.0028, 0.000100
188, -24.2727, 0.0028, 0.000100
189, -22.4318, 0.0000, 0.000100
190, -22.0227, 0.0037, 0.000100
191, -24.5909, 0.0013, 0.000100
192, -21.4419, -0.0035, 0.000100
193, -23.7442, -0.0002, 0.000100
194, -21.6818, 0.0013, 0.000100
195, -20.5227, -0.0005, 0.000100
196, -19.7955, -0.0028, 0.000100
197, -19.5909, -0.0010, 0.000100
198, -19.0233, -0.0009, 0.000100
199, -22.7045, 0.0004, 0.000100
200, -23.2955, 0.0014, 0.000100
201, -19.7045, -0.0016, 0.000100
202, -19.5814, -0.0001, 0.000100
203, -22.3864, 0.0022, 0.000100
204, -22.4773, 0.0009, 0.000100
205, -17.9318, -0.0002, 0.000100
206, -20.2273, -0.0011, 0.000100
207, -19.4318, 0.0005, 0.000100
208, -23.2955, -0.0010, 0.000100
209, -19.1591, 0.0011, 0.000100
210, -27.2045, 0.0029, 0.000100
211, -23.9524, 0.0007, 0.000100
212, -22.6818, -0.0011, 0.000100
213, -22.1364, -0.0008, 0.000100
214, -26.0227, 0.0026, 0.000100
215, -22.9773, -0.0027, 0.000100
216, -25.1136, 0.0012, 0.000100
217, -20.0698, 0.0002, 0.000100
218, -25.5000, 0.0015, 0.000100
219, -22.6818, -0.0018, 0.000100
220, -19.7500, -0.0010, 0.000100
221, -21.5455, 0.0023, 0.000100
222, -26.6364, 0.0027, 0.000100
223, -19.3256, -0.0016, 0.000100
224, -24.6136, 0.0019, 0.000100
225, -21.9773, 0.0005, 0.000100
226, -22.2273, 0.0027, 0.000100
