episode, reward, loss, lr
1, -19.4318, 0.0189, 0.000100
2, -26.7955, 0.0185, 0.000100
3, -25.5000, 0.0155, 0.000100
4, -25.9545, 0.0139, 0.000100
5, -25.0714, 0.0072, 0.000100
6, -22.2955, 0.0024, 0.000100
7, -25.5000, 0.0069, 0.000100
8, -23.1364, 0.0020, 0.000100
9, -25.0909, 0.0050, 0.000100
10, -26.3864, 0.0040, 0.000100
11, -26.3182, 0.0035, 0.000100
12, -26.7727, -0.0010, 0.000100
13, -24.7727, -0.0041, 0.000100
14, -23.3636, -0.0053, 0.000100
15, -22.4091, -0.0065, 0.000100
16, -21.1818, -0.0051, 0.000100
17, -23.1591, -0.0055, 0.000100
18, -24.0930, -0.0032, 0.000100
19, -27.4091, -0.0016, 0.000100
20, -25.5227, -0.0027, 0.000100
21, -24.4186, -0.0055, 0.000100
22, -25.3864, -0.0026, 0.000100
23, -27.0227, -0.0024, 0.000100
24, -19.9318, -0.0111, 0.000100
25, -24.0000, -0.0040, 0.000100
26, -25.6279, -0.0012, 0.000100
27, -22.9773, -0.0035, 0.000100
28, -27.1190, -0.0004, 0.000100
29, -22.2273, -0.0075, 0.000100
30, -24.4545, -0.0021, 0.000100
31, -22.2273, -0.0038, 0.000100
32, -24.7045, 0.0005, 0.000100
33, -24.6667, 0.0003, 0.000100
34, -18.4545, -0.0032, 0.000100
35, -22.1136, -0.0012, 0.000100
36, -29.1395, 0.0042, 0.000100
37, -19.9773, -0.0044, 0.000100
38, -20.9545, -0.0034, 0.000100
39, -21.9318, -0.0004, 0.000100
40, -26.3409, 0.0023, 0.000100
41, -24.4318, 0.0012, 0.000100
42, -21.6364, -0.0034, 0.000100
43, -22.7273, -0.0004, 0.000100
44, -22.7674, 0.0012, 0.000100
45, -24.3864, -0.0001, 0.000100
46, -23.0909, -0.0009, 0.000100
47, -23.2273, 0.0005, 0.000100
48, -18.9767, -0.0031, 0.000100
49, -20.6591, -0.0022, 0.000100
50, -26.2791, 0.0010, 0.000100
51, -20.5000, 0.0005, 0.000100
52, -17.4773, -0.0050, 0.000100
53, -28.2500, 0.0049, 0.000100
54, -27.0000, 0.0056, 0.000100
55, -22.5227, 0.0042, 0.000100
56, -20.5455, 0.0001, 0.000100
57, -22.9773, 0.0020, 0.000100
58, -22.2273, 0.0019, 0.000100
59, -21.6818, 0.0028, 0.000100
60, -19.3636, -0.0001, 0.000100
61, -20.5455, 0.0015, 0.000100
62, -19.6818, 0.0008, 0.000100
63, -22.9545, 0.0037, 0.000100
64, -25.7727, 0.0032, 0.000100
65, -24.5682, 0.0023, 0.000100
66, -18.8810, -0.0029, 0.000100
67, -18.5227, -0.0035, 0.000100
68, -21.6591, 0.0006, 0.000100
69, -23.0227, 0.0019, 0.000100
70, -19.6136, -0.0012, 0.000100
71, -22.4545, -0.0011, 0.000100
72, -21.7273, -0.0018, 0.000100
73, -23.4091, 0.0015, 0.000100
74, -24.1364, 0.0002, 0.000100
75, -24.1818, 0.0036, 0.000100
76, -23.6364, -0.0007, 0.000100
77, -26.1364, 0.0003, 0.000100
78, -25.7045, 0.0002, 0.000100
79, -24.3636, -0.0004, 0.000100
80, -15.4773, -0.0042, 0.000100
81, -15.3636, -0.0029, 0.000100
82, -20.0227, -0.0011, 0.000100
83, -19.4773, -0.0015, 0.000100
84, -23.5909, 0.0038, 0.000100
85, -23.0000, -0.0007, 0.000100
86, -18.2727, -0.0040, 0.000100
87, -25.2500, 0.0017, 0.000100
88, -21.3409, -0.0034, 0.000100
89, -19.6591, -0.0012, 0.000100
90, -27.1163, 0.0005, 0.000100
91, -27.4773, -0.0009, 0.000100
92, -22.4773, -0.0009, 0.000100
93, -21.7727, -0.0026, 0.000100
94, -23.5814, 0.0016, 0.000100
95, -24.0682, -0.0006, 0.000100
96, -22.0909, 0.0031, 0.000100
97, -20.0000, 0.0022, 0.000100
98, -25.5682, 0.0032, 0.000100
99, -22.3864, -0.0023, 0.000100
100, -20.5000, -0.0029, 0.000100
101, -22.3636, -0.0001, 0.000100
102, -19.2727, -0.0009, 0.000100
103, -24.3182, 0.0011, 0.000100
104, -19.4773, -0.0023, 0.000100
105, -18.8409, -0.0048, 0.000100
106, -25.2273, 0.0046, 0.000100
