episode, reward, loss, lr
1, -25.1591, 0.0159, 0.000100
2, -22.5116, 0.0147, 0.000100
3, -25.7955, 0.0176, 0.000100
4, -26.4773, 0.0162, 0.000100
5, -27.5682, 0.0157, 0.000100
6, -26.8636, 0.0111, 0.000100
7, -29.7045, 0.0095, 0.000100
8, -28.7273, 0.0089, 0.000100
9, -21.8182, -0.0037, 0.000100
10, -20.4318, -0.0001, 0.000100
11, -28.3409, 0.0019, 0.000100
12, -25.3023, 0.0077, 0.000100
13, -25.7500, 0.0056, 0.000100
14, -22.7273, -0.0016, 0.000100
15, -23.9091, -0.0050, 0.000100
16, -27.3864, -0.0003, 0.000100
17, -21.0455, -0.0087, 0.000100
18, -25.3182, -0.0057, 0.000100
19, -23.9773, -0.0086, 0.000100
20, -25.7955, -0.0077, 0.000100
21, -20.7500, -0.0105, 0.000100
22, -20.7727, 0.0007, 0.000100
23, -26.2500, -0.0051, 0.000100
24, -21.5455, 0.0018, 0.000100
25, -23.4545, 0.0009, 0.000100
26, -22.5909, 0.0010, 0.000100
27, -22.3864, 0.0002, 0.000100
28, -18.8409, -0.0037, 0.000100
29, -25.4773, -0.0007, 0.000100
30, -23.3409, -0.0031, 0.000100
31, -25.3182, -0.0021, 0.000100
32, -23.9318, -0.0016, 0.000100
33, -21.7273, -0.0030, 0.000100
34, -20.5227, -0.0045, 0.000100
35, -23.8864, 0.0021, 0.000100
36, -22.3636, 0.0021, 0.000100
37, -26.0909, 0.0013, 0.000100
38, -21.2045, 0.0004, 0.000100
39, -22.0682, 0.0004, 0.000100
40, -24.5455, 0.0025, 0.000100
41, -27.1364, 0.0004, 0.000100
42, -19.5455, -0.0022, 0.000100
43, -20.1591, -0.0043, 0.000100
44, -22.1591, 0.0018, 0.000100
45, -23.7273, 0.0018, 0.000100
46, -25.4545, 0.0018, 0.000100
47, -22.3409, -0.0002, 0.000100
48, -18.7727, -0.0006, 0.000100
49, -22.5455, -0.0007, 0.000100
50, -21.0455, -0.0021, 0.000100
51, -25.7955, 0.0012, 0.000100
52, -24.8636, 0.0047, 0.000100
53, -18.7500, 0.0013, 0.000100
54, -22.3864, 0.0042, 0.000100
55, -18.3409, -0.0007, 0.000100
56, -19.2558, -0.0002, 0.000100
57, -20.8333, 0.0018, 0.000100
58, -19.6136, 0.0026, 0.000100
59, -19.0000, 0.0005, 0.000100
60, -24.4318, 0.0024, 0.000100
61, -27.1818, 0.0023, 0.000100
62, -21.0000, 0.0018, 0.000100
63, -20.2093, -0.0008, 0.000100
64, -21.9318, 0.0027, 0.000100
65, -25.4091, 0.0034, 0.000100
66, -22.9773, -0.0001, 0.000100
67, -25.9091, 0.0056, 0.000100
68, -20.7045, 0.0015, 0.000100
69, -22.4091, -0.0002, 0.000100
70, -24.2093, 0.0008, 0.000100
71, -24.2500, 0.0011, 0.000100
72, -22.4318, 0.0029, 0.000100
73, -26.0455, -0.0007, 0.000100
74, -21.8636, -0.0022, 0.000100
75, -20.2955, -0.0003, 0.000100
76, -20.2619, 0.0011, 0.000100
77, -22.2500, -0.0008, 0.000100
78, -23.0227, -0.0016, 0.000100
79, -24.3864, 0.0014, 0.000100
80, -25.3409, 0.0023, 0.000100
81, -19.3488, -0.0017, 0.000100
82, -22.9091, 0.0011, 0.000100
83, -23.2500, 0.0015, 0.000100
84, -23.6364, -0.0007, 0.000100
85, -20.3409, -0.0006, 0.000100
86, -20.9091, -0.0002, 0.000100
87, -23.5227, 0.0013, 0.000100
88, -21.1818, -0.0002, 0.000100
89, -21.7500, 0.0059, 0.000100
90, -23.3409, 0.0001, 0.000100
91, -22.2727, 0.0002, 0.000100
92, -23.5000, 0.0007, 0.000100
93, -15.8409, -0.0022, 0.000100
94, -20.5682, -0.0017, 0.000100
95, -17.4318, -0.0023, 0.000100
96, -20.6591, 0.0000, 0.000100
97, -16.5682, -0.0018, 0.000100
98, -16.4773, -0.0025, 0.000100
99, -20.1136, -0.0014, 0.000100
100, -25.3864, 0.0062, 0.000100
101, -20.4318, -0.0017, 0.000100
102, -22.6818, 0.0028, 0.000100
103, -24.6591, 0.0038, 0.000100
104, -24.9773, 0.0035, 0.000100
105, -20.6591, -0.0023, 0.000100
106, -19.9773, -0.0012, 0.000100
107, -23.4545, 0.0007, 0.000100
108, -21.6512, -0.0018, 0.000100
109, -19.3182, -0.0010, 0.000100
110, -18.3409, -0.0010, 0.000100
111, -21.9773, 0.0006, 0.000100
112, -22.0227, 0.0008, 0.000100
113, -18.6136, -0.0015, 0.000100
114, -21.0682, -0.0000, 0.000100
115, -19.7727, -0.0004, 0.000100
116, -24.4091, 0.0026, 0.000100
117, -19.7955, -0.0028, 0.000100
118, -17.6364, -0.0011, 0.000100
119, -25.6279, 0.0041, 0.000100
120, -20.0000, -0.0004, 0.000100
121, -20.0455, 0.0012, 0.000100
122, -18.1136, -0.0017, 0.000100
123, -23.0455, 0.0036, 0.000100
124, -18.7273, -0.0009, 0.000100
125, -21.6591, 0.0018, 0.000100
126, -21.1136, 0.0018, 0.000100
127, -16.5909, -0.0024, 0.000100
128, -22.3636, 0.0016, 0.000100
129, -20.9091, 0.0006, 0.000100
130, -20.3636, -0.0008, 0.000100
131, -21.9091, 0.0039, 0.000100
132, -22.5682, 0.0007, 0.000100
133, -22.5682, 0.0019, 0.000100
134, -22.2381, 0.0019, 0.000100
135, -17.5682, -0.0023, 0.000100
136, -22.5227, -0.0010, 0.000100
137, -23.2045, 0.0017, 0.000100
138, -22.2045, -0.0005, 0.000100
139, -20.3636, 0.0007, 0.000100
140, -24.5000, 0.0029, 0.000100
