episode, reward, loss, lr
1, -25.7045, 0.0187, 0.000100
2, -23.2955, 0.0165, 0.000100
3, -25.5682, 0.0157, 0.000100
4, -26.4884, 0.0175, 0.000100
5, -26.0455, 0.0107, 0.000100
6, -24.7045, 0.0062, 0.000100
7, -22.0000, 0.0026, 0.000100
8, -27.2143, 0.0064, 0.000100
9, -23.5227, 0.0091, 0.000100
10, -20.0227, -0.0028, 0.000100
11, -25.7727, 0.0036, 0.000100
12, -29.2273, 0.0070, 0.000100
13, -25.2045, 0.0008, 0.000100
14, -25.0909, 0.0013, 0.000100
15, -26.5682, 0.0005, 0.000100
16, -30.0000, -0.0012, 0.000100
17, -27.5909, 0.0015, 0.000100
18, -21.9524, -0.0007, 0.000100
19, -23.1591, 0.0040, 0.000100
20, -25.8409, 0.0009, 0.000100
21, -28.2500, 0.0033, 0.000100
22, -24.4773, -0.0005, 0.000100
23, -25.2727, -0.0010, 0.000100
24, -26.6591, 0.0029, 0.000100
25, -21.5581, -0.0024, 0.000100
26, -20.1591, -0.0028, 0.000100
27, -25.0698, -0.0017, 0.000100
28, -29.4545, -0.0031, 0.000100
29, -27.6364, -0.0014, 0.000100
30, -27.0682, 0.0016, 0.000100
31, -24.0682, -0.0031, 0.000100
32, -28.5227, 0.0066, 0.000100
33, -18.9773, -0.0019, 0.000100
34, -27.5116, 0.0041, 0.000100
35, -27.3488, 0.0013, 0.000100
36, -23.1364, -0.0027, 0.000100
37, -25.5909, 0.0016, 0.000100
38, -22.2500, -0.0009, 0.000100
39, -23.1591, 0.0004, 0.000100
40, -22.6591, -0.0000, 0.000100
41, -25.3182, -0.0002, 0.000100
42, -24.1364, 0.0007, 0.000100
43, -26.2727, 0.0009, 0.000100
44, -27.5227, 0.0011, 0.000100
45, -26.1818, 0.0022, 0.000100
46, -26.5000, 0.0042, 0.000100
47, -28.7273, 0.0030, 0.000100
48, -24.9091, -0.0007, 0.000100
49, -21.2791, -0.0039, 0.000100
50, -22.5909, 0.0088, 0.000100
51, -21.3864, 0.0021, 0.000100
52, -24.7727, 0.0028, 0.000100
53, -25.4091, 0.0047, 0.000100
54, -17.4318, -0.0015, 0.000100
55, -27.3182, 0.0053, 0.000100
56, -24.9545, 0.0015, 0.000100
57, -25.1364, 0.0028, 0.000100
58, -21.8864, -0.0012, 0.000100
59, -28.4091, 0.0032, 0.000100
60, -30.0682, 0.0043, 0.000100
61, -23.4545, 0.0017, 0.000100
62, -27.3864, 0.0048, 0.000100
63, -23.8182, 0.0033, 0.000100
64, -23.8810, 0.0007, 0.000100
65, -24.4545, -0.0017, 0.000100
66, -18.7045, -0.0001, 0.000100
67, -17.5682, -0.0017, 0.000100
68, -24.8605, 0.0022, 0.000100
69, -24.6364, 0.0016, 0.000100
70, -22.5455, 0.0011, 0.000100
71, -17.3864, -0.0025, 0.000100
72, -25.2273, 0.0023, 0.000100
73, -23.3864, 0.0020, 0.000100
74, -25.2045, 0.0029, 0.000100
75, -26.9773, 0.0020, 0.000100
76, -27.9048, 0.0040, 0.000100
77, -23.2045, -0.0019, 0.000100
78, -26.6047, 0.0001, 0.000100
79, -27.2727, 0.0007, 0.000100
80, -23.6136, 0.0013, 0.000100
81, -23.8140, -0.0012, 0.000100
82, -25.7273, -0.0024, 0.000100
83, -22.6818, -0.0019, 0.000100
84, -21.6977, -0.0015, 0.000100
85, -24.7273, 0.0003, 0.000100
86, -22.2045, -0.0017, 0.000100
