episode, reward, loss, lr
1, -24.7045, 0.0181, 0.000100
2, -26.2619, 0.0208, 0.000100
3, -20.2500, 0.0133, 0.000100
4, -24.3636, 0.0145, 0.000100
5, -21.2500, 0.0055, 0.000100
6, -22.9545, 0.0093, 0.000100
7, -22.9773, 0.0057, 0.000100
8, -17.5227, 0.0025, 0.000100
9, -22.4773, 0.0023, 0.000100
10, -21.3636, -0.0007, 0.000100
11, -19.6136, -0.0019, 0.000100
12, -20.5000, 0.0012, 0.000100
13, -24.7955, 0.0054, 0.000100
14, -22.0682, -0.0004, 0.000100
15, -29.6818, 0.0060, 0.000100
16, -20.5455, -0.0012, 0.000100
17, -25.5909, 0.0060, 0.000100
18, -20.3182, 0.0031, 0.000100
19, -23.8182, 0.0045, 0.000100
20, -24.7500, 0.0046, 0.000100
21, -23.3864, 0.0020, 0.000100
22, -22.0000, 0.0013, 0.000100
23, -23.2500, 0.0024, 0.000100
24, -21.3864, 0.0032, 0.000100
25, -23.2045, 0.0009, 0.000100
26, -18.5682, -0.0024, 0.000100
27, -25.0227, 0.0006, 0.000100
28, -20.6818, 0.0007, 0.000100
29, -22.7273, 0.0034, 0.000100
30, -23.4773, 0.0045, 0.000100
31, -23.0000, 0.0011, 0.000100
32, -27.8333, 0.0035, 0.000100
33, -22.9545, 0.0012, 0.000100
34, -21.4318, -0.0012, 0.000100
35, -20.3409, -0.0007, 0.000100
36, -26.9773, 0.0033, 0.000100
37, -18.9091, -0.0029, 0.000100
38, -20.8864, 0.0005, 0.000100
39, -18.3182, -0.0017, 0.000100
40, -19.8864, 0.0034, 0.000100
41, -20.7955, 0.0008, 0.000100
42, -20.1591, 0.0016, 0.000100
43, -27.3182, 0.0042, 0.000100
44, -19.9318, 0.0008, 0.000100
45, -18.6136, -0.0007, 0.000100
46, -24.4773, 0.0025, 0.000100
47, -21.6364, 0.0008, 0.000100
48, -15.4318, -0.0014, 0.000100
49, -20.7727, 0.0014, 0.000100
50, -21.6905, 0.0012, 0.000100
51, -20.5909, -0.0009, 0.000100
52, -25.7045, 0.0031, 0.000100
53, -21.4318, -0.0005, 0.000100
54, -19.3636, -0.0006, 0.000100
55, -21.1591, 0.0030, 0.000100
56, -22.3636, 0.0008, 0.000100
57, -25.2955, 0.0016, 0.000100
58, -20.7273, 0.0002, 0.000100
59, -23.1136, 0.0007, 0.000100
60, -22.1364, 0.0000, 0.000100
61, -29.1818, 0.0057, 0.000100
62, -23.0455, 0.0010, 0.000100
63, -20.3409, -0.0020, 0.000100
64, -18.5455, -0.0022, 0.000100
65, -21.2955, -0.0008, 0.000100
66, -22.5455, 0.0064, 0.000100
