episode, reward, loss, lr
1, -25.5455, 0.0199, 0.000100
2, -25.5682, 0.0174, 0.000100
3, -19.2273, 0.0149, 0.000100
4, -25.1463, 0.0121, 0.000100
5, -22.8636, 0.0102, 0.000100
6, -21.0909, 0.0039, 0.000100
7, -28.3256, 0.0088, 0.000100
8, -25.0909, 0.0048, 0.000100
9, -25.5227, 0.0031, 0.000100
10, -24.8864, -0.0005, 0.000100
11, -24.2955, -0.0019, 0.000100
12, -24.5000, -0.0008, 0.000100
13, -19.6818, -0.0004, 0.000100
14, -21.7727, -0.0031, 0.000100
15, -26.2045, -0.0012, 0.000100
16, -20.3864, -0.0046, 0.000100
17, -24.4545, -0.0005, 0.000100
18, -26.0000, -0.0004, 0.000100
19, -25.2500, -0.0012, 0.000100
20, -27.0000, 0.0012, 0.000100
21, -19.3721, -0.0033, 0.000100
22, -20.6818, -0.0038, 0.000100
23, -23.7955, 0.0003, 0.000100
24, -25.3636, 0.0011, 0.000100
25, -23.8182, -0.0009, 0.000100
26, -21.7273, 0.0005, 0.000100
27, -23.6136, 0.0022, 0.000100
28, -26.8182, 0.0042, 0.000100
29, -21.6591, -0.0021, 0.000100
30, -22.7955, 0.0018, 0.000100
31, -23.8636, -0.0000, 0.000100
32, -26.9545, 0.0058, 0.000100
33, -20.7727, 0.0007, 0.000100
34, -25.1364, 0.0005, 0.000100
35, -23.8333, -0.0006, 0.000100
36, -22.3636, 0.0010, 0.000100
37, -19.9773, -0.0022, 0.000100
38, -23.9091, 0.0004, 0.000100
39, -24.4091, 0.0016, 0.000100
40, -24.1591, 0.0031, 0.000100
41, -25.8636, 0.0018, 0.000100
42, -21.8140, 0.0009, 0.000100
43, -20.7273, -0.0018, 0.000100
44, -21.3864, -0.0018, 0.000100
45, -21.6818, -0.0016, 0.000100
46, -21.6136, 0.0009, 0.000100
47, -27.5714, 0.0035, 0.000100
48, -19.6818, -0.0025, 0.000100
49, -24.1818, 0.0042, 0.000100
50, -24.6364, 0.0000, 0.000100
51, -19.6364, -0.0006, 0.000100
52, -20.5682, -0.0003, 0.000100
53, -24.2500, -0.0013, 0.000100
54, -21.4545, -0.0025, 0.000100
55, -23.2727, -0.0015, 0.000100
56, -24.9318, -0.0005, 0.000100
57, -25.5581, -0.0012, 0.000100
58, -19.4091, -0.0028, 0.000100
59, -25.3864, 0.0020, 0.000100
60, -25.7045, -0.0017, 0.000100
61, -23.8864, -0.0006, 0.000100
62, -22.6818, 0.0017, 0.000100
63, -24.1163, -0.0007, 0.000100
64, -22.9545, -0.0024, 0.000100
65, -20.8636, -0.0012, 0.000100
66, -22.2273, 0.0002, 0.000100
67, -25.6136, 0.0034, 0.000100
68, -22.9773, -0.0015, 0.000100
69, -24.1364, 0.0020, 0.000100
70, -19.8636, -0.0004, 0.000100
71, -19.5682, -0.0001, 0.000100
72, -25.0465, 0.0014, 0.000100
73, -22.1136, 0.0014, 0.000100
74, -25.5581, -0.0009, 0.000100
75, -22.8636, 0.0001, 0.000100
76, -20.2500, -0.0007, 0.000100
77, -25.5455, 0.0025, 0.000100
78, -22.8182, 0.0031, 0.000100
79, -24.1818, 0.0018, 0.000100
80, -24.5227, 0.0022, 0.000100
81, -26.9318, 0.0035, 0.000100
82, -18.9091, 0.0008, 0.000100
83, -29.4091, 0.0026, 0.000100
84, -23.4545, -0.0003, 0.000100
85, -25.6136, -0.0003, 0.000100
86, -21.9545, -0.0011, 0.000100
87, -25.1136, 0.0005, 0.000100
88, -20.3409, -0.0030, 0.000100
89, -22.4091, 0.0001, 0.000100
90, -25.3636, 0.0018, 0.000100
91, -31.3409, 0.0048, 0.000100
92, -22.4186, -0.0006, 0.000100
93, -23.2273, -0.0010, 0.000100
94, -17.0682, -0.0048, 0.000100
95, -25.8409, 0.0001, 0.000100
96, -24.2045, 0.0031, 0.000100
97, -25.0909, 0.0002, 0.000100
98, -22.2500, 0.0021, 0.000100
99, -20.8409, -0.0035, 0.000100
100, -24.3256, -0.0006, 0.000100
101, -22.4762, -0.0016, 0.000100
102, -26.7727, 0.0009, 0.000100
103, -25.3409, 0.0018, 0.000100
104, -14.6818, -0.0054, 0.000100
105, -21.2500, -0.0008, 0.000100
106, -23.0909, 0.0012, 0.000100
107, -20.7273, -0.0015, 0.000100
108, -20.8864, -0.0007, 0.000100
109, -24.0455, -0.0002, 0.000100
110, -26.5682, 0.0025, 0.000100
111, -24.5682, 0.0017, 0.000100
112, -22.0909, 0.0008, 0.000100
113, -21.8182, -0.0012, 0.000100
114, -18.3409, -0.0037, 0.000100
