episode, reward, loss, lr
1, -25.4545, 0.0187, 0.000100
2, -26.9773, 0.0182, 0.000100
3, -22.5116, 0.0159, 0.000100
4, -20.8636, 0.0098, 0.000100
5, -25.6279, 0.0122, 0.000100
6, -21.6364, 0.0084, 0.000100
7, -23.4318, 0.0059, 0.000100
8, -21.9773, 0.0011, 0.000100
9, -22.7273, 0.0039, 0.000100
10, -19.5227, 0.0017, 0.000100
11, -22.0000, 0.0058, 0.000100
12, -19.8864, -0.0020, 0.000100
13, -25.3864, 0.0065, 0.000100
14, -27.6364, 0.0066, 0.000100
15, -24.8636, 0.0010, 0.000100
16, -21.0476, 0.0015, 0.000100
17, -28.1860, 0.0052, 0.000100
18, -22.5455, 0.0000, 0.000100
19, -27.2955, 0.0051, 0.000100
20, -23.2727, -0.0013, 0.000100
21, -25.5682, 0.0015, 0.000100
22, -23.2045, -0.0019, 0.000100
23, -31.0909, 0.0052, 0.000100
24, -26.6279, 0.0021, 0.000100
25, -25.9318, 0.0024, 0.000100
26, -26.9318, 0.0010, 0.000100
27, -25.2273, -0.0004, 0.000100
28, -20.8182, -0.0030, 0.000100
29, -27.7727, 0.0033, 0.000100
30, -26.0682, 0.0017, 0.000100
31, -25.5682, 0.0055, 0.000100
32, -24.8864, 0.0016, 0.000100
33, -18.3182, -0.0034, 0.000100
34, -24.7727, 0.0030, 0.000100
35, -21.0682, -0.0018, 0.000100
36, -22.6136, 0.0004, 0.000100
37, -23.8864, 0.0030, 0.000100
38, -25.0455, 0.0016, 0.000100
39, -23.5227, 0.0014, 0.000100
40, -28.0488, 0.0021, 0.000100
41, -24.6364, 0.0017, 0.000100
42, -19.9091, -0.0033, 0.000100
43, -20.5909, 0.0009, 0.000100
44, -22.2273, 0.0023, 0.000100
45, -22.0000, 0.0009, 0.000100
46, -21.2727, 0.0003, 0.000100
47, -22.6591, 0.0038, 0.000100
48, -20.8182, 0.0022, 0.000100
49, -19.8140, 0.0002, 0.000100
50, -22.6364, 0.0027, 0.000100
51, -23.0909, 0.0028, 0.000100
52, -23.3636, 0.0009, 0.000100
53, -25.8182, 0.0018, 0.000100
54, -23.0909, 0.0002, 0.000100
55, -22.8182, 0.0001, 0.000100
56, -21.8409, 0.0002, 0.000100
57, -23.2500, 0.0022, 0.000100
58, -22.7500, 0.0015, 0.000100
59, -24.6591, 0.0009, 0.000100
60, -25.2727, 0.0038, 0.000100
61, -25.4318, -0.0000, 0.000100
62, -23.6364, 0.0011, 0.000100
63, -20.1364, -0.0006, 0.000100
64, -23.2500, -0.0015, 0.000100
65, -22.3409, -0.0002, 0.000100
66, -26.8409, 0.0036, 0.000100
67, -22.9091, 0.0027, 0.000100
68, -24.6591, 0.0037, 0.000100
69, -22.7045, 0.0031, 0.000100
70, -22.0000, -0.0001, 0.000100
71, -21.3864, 0.0006, 0.000100
72, -18.8182, -0.0018, 0.000100
73, -23.2045, 0.0018, 0.000100
74, -28.8636, 0.0056, 0.000100
75, -20.9773, -0.0005, 0.000100
76, -24.2045, 0.0012, 0.000100
77, -20.7045, -0.0008, 0.000100
78, -25.4048, 0.0009, 0.000100
79, -26.2955, 0.0028, 0.000100
80, -22.7273, -0.0013, 0.000100
81, -19.6364, -0.0034, 0.000100
82, -21.3721, -0.0006, 0.000100
83, -21.8636, -0.0012, 0.000100
84, -25.2500, 0.0023, 0.000100
85, -25.0909, 0.0037, 0.000100
86, -25.8810, 0.0031, 0.000100
87, -25.9545, 0.0020, 0.000100
88, -20.8810, -0.0005, 0.000100
89, -22.5116, 0.0003, 0.000100
90, -19.2273, -0.0024, 0.000100
91, -24.7955, 0.0025, 0.000100
92, -21.8636, -0.0002, 0.000100
93, -21.4545, 0.0015, 0.000100
94, -20.8182, -0.0001, 0.000100
95, -23.5455, 0.0041, 0.000100
96, -22.2326, 0.0030, 0.000100
97, -24.8636, 0.0046, 0.000100
98, -20.7045, -0.0010, 0.000100
99, -24.7500, 0.0055, 0.000100
100, -20.3409, 0.0001, 0.000100
101, -24.2273, 0.0029, 0.000100
102, -24.8409, 0.0043, 0.000100
103, -18.5455, 0.0004, 0.000100
104, -14.8864, -0.0041, 0.000100
105, -24.0000, 0.0050, 0.000100
106, -18.1591, 0.0008, 0.000100
107, -22.8636, 0.0042, 0.000100
108, -22.7500, 0.0011, 0.000100
109, -21.8864, 0.0019, 0.000100
