episode, reward, loss, lr
1, -26.2273, 0.0195, 0.000100
2, -26.0227, 0.0161, 0.000100
3, -26.1818, 0.0169, 0.000100
4, -22.3182, 0.0111, 0.000100
5, -28.6818, 0.0131, 0.000100
6, -25.9773, 0.0070, 0.000100
7, -22.5682, 0.0006, 0.000100
8, -22.2727, 0.0017, 0.000100
9, -20.6136, 0.0039, 0.000100
10, -20.5455, 0.0004, 0.000100
11, -25.0682, 0.0066, 0.000100
12, -24.4091, 0.0032, 0.000100
13, -23.1163, -0.0001, 0.000100
14, -23.7045, -0.0019, 0.000100
15, -23.9773, 0.0046, 0.000100
16, -21.7955, -0.0033, 0.000100
17, -25.0909, -0.0026, 0.000100
18, -24.7955, -0.0017, 0.000100
19, -23.6136, -0.0030, 0.000100
20, -24.9318, -0.0011, 0.000100
21, -26.8182, -0.0023, 0.000100
22, -21.9545, -0.0052, 0.000100
23, -21.2955, -0.0029, 0.000100
24, -20.2500, -0.0060, 0.000100
25, -22.7727, 0.0007, 0.000100
26, -25.8864, -0.0001, 0.000100
27, -18.4091, -0.0065, 0.000100
28, -27.8571, 0.0008, 0.000100
29, -21.5455, -0.0049, 0.000100
30, -24.9318, -0.0007, 0.000100
31, -26.6190, 0.0019, 0.000100
32, -23.4545, -0.0001, 0.000100
33, -21.1136, -0.0033, 0.000100
34, -24.8636, 0.0005, 0.000100
35, -19.3488, -0.0018, 0.000100
36, -25.2955, -0.0003, 0.000100
37, -24.3409, -0.0009, 0.000100
38, -24.9545, -0.0024, 0.000100
39, -23.0000, -0.0023, 0.000100
40, -19.1136, -0.0051, 0.000100
41, -21.6364, -0.0043, 0.000100
42, -17.5455, -0.0039, 0.000100
43, -17.6364, -0.0045, 0.000100
44, -22.5682, 0.0026, 0.000100
45, -21.0238, 0.0009, 0.000100
46, -20.9318, -0.0017, 0.000100
47, -25.3864, 0.0016, 0.000100
48, -23.2500, 0.0026, 0.000100
49, -23.4545, -0.0009, 0.000100
50, -24.5455, -0.0000, 0.000100
51, -20.7500, 0.0010, 0.000100
52, -25.1860, 0.0015, 0.000100
53, -18.8182, -0.0018, 0.000100
54, -19.7209, -0.0007, 0.000100
55, -23.6818, 0.0038, 0.000100
56, -24.2045, 0.0018, 0.000100
57, -19.7727, -0.0019, 0.000100
58, -21.1163, 0.0008, 0.000100
59, -20.0000, -0.0000, 0.000100
60, -22.5227, 0.0012, 0.000100
61, -21.8864, 0.0007, 0.000100
62, -21.8864, -0.0022, 0.000100
63, -26.7619, 0.0028, 0.000100
64, -22.8409, 0.0003, 0.000100
65, -22.4091, -0.0002, 0.000100
66, -26.0909, 0.0009, 0.000100
67, -26.1818, 0.0035, 0.000100
68, -20.7727, -0.0019, 0.000100
69, -21.1136, -0.0023, 0.000100
70, -16.8182, -0.0029, 0.000100
71, -18.6136, -0.0000, 0.000100
72, -22.9302, 0.0002, 0.000100
73, -20.4318, -0.0025, 0.000100
74, -22.0682, 0.0014, 0.000100
75, -24.2500, 0.0033, 0.000100
76, -22.5000, 0.0009, 0.000100
77, -19.4091, 0.0004, 0.000100
78, -20.8636, -0.0001, 0.000100
79, -18.2955, 0.0002, 0.000100
80, -20.4091, -0.0003, 0.000100
81, -20.3636, 0.0016, 0.000100
82, -25.3182, 0.0016, 0.000100
83, -19.2045, -0.0023, 0.000100
84, -20.5455, 0.0012, 0.000100
85, -21.0714, 0.0024, 0.000100
86, -18.3182, -0.0003, 0.000100
87, -19.2955, -0.0015, 0.000100
88, -23.5909, 0.0018, 0.000100
89, -25.4773, 0.0049, 0.000100
90, -22.4773, 0.0016, 0.000100
91, -27.1591, 0.0050, 0.000100
92, -18.5000, -0.0039, 0.000100
93, -17.7955, -0.0047, 0.000100
94, -17.8182, -0.0023, 0.000100
95, -21.1136, -0.0023, 0.000100
96, -24.4091, 0.0018, 0.000100
97, -23.0227, 0.0012, 0.000100
98, -23.5227, -0.0008, 0.000100
99, -17.1364, -0.0012, 0.000100
100, -17.2273, -0.0021, 0.000100
101, -20.1591, -0.0024, 0.000100
102, -25.1818, 0.0033, 0.000100
103, -17.7500, -0.0010, 0.000100
104, -25.5909, 0.0019, 0.000100
105, -21.6818, -0.0007, 0.000100
106, -25.5227, 0.0012, 0.000100
107, -22.6136, 0.0035, 0.000100
