episode, reward, loss, lr
1, -27.9773, 0.0207, 0.000100
2, -23.3409, 0.0182, 0.000100
3, -30.6136, 0.0191, 0.000100
4, -23.6136, 0.0110, 0.000100
5, -27.2045, 0.0137, 0.000100
6, -21.5682, 0.0080, 0.000100
7, -23.7727, 0.0072, 0.000100
8, -22.9773, 0.0094, 0.000100
9, -24.1364, 0.0051, 0.000100
10, -22.2045, 0.0035, 0.000100
11, -27.4773, 0.0043, 0.000100
12, -18.7727, -0.0052, 0.000100
13, -24.9773, 0.0040, 0.000100
14, -27.1591, 0.0032, 0.000100
15, -29.6364, 0.0042, 0.000100
16, -24.4545, -0.0001, 0.000100
17, -29.8409, 0.0027, 0.000100
18, -21.9545, -0.0001, 0.000100
19, -18.8636, -0.0016, 0.000100
20, -24.8636, -0.0023, 0.000100
21, -23.0455, -0.0036, 0.000100
22, -26.9091, -0.0013, 0.000100
23, -24.5455, -0.0034, 0.000100
24, -23.8864, -0.0029, 0.000100
25, -21.6364, -0.0046, 0.000100
26, -23.9091, -0.0025, 0.000100
27, -24.1364, -0.0010, 0.000100
28, -23.4545, 0.0017, 0.000100
29, -25.0909, 0.0018, 0.000100
30, -24.7273, 0.0029, 0.000100
31, -20.4773, -0.0007, 0.000100
32, -26.2045, 0.0001, 0.000100
33, -23.6364, -0.0010, 0.000100
34, -25.6136, -0.0012, 0.000100
35, -24.7045, 0.0005, 0.000100
36, -25.4545, -0.0002, 0.000100
37, -23.3409, -0.0029, 0.000100
38, -23.7727, 0.0001, 0.000100
39, -22.3182, -0.0003, 0.000100
40, -22.5349, -0.0007, 0.000100
41, -23.9773, 0.0022, 0.000100
42, -27.9091, 0.0002, 0.000100
43, -26.8182, 0.0043, 0.000100
44, -23.1364, 0.0018, 0.000100
45, -21.4545, 0.0021, 0.000100
46, -20.2955, -0.0008, 0.000100
47, -26.2727, 0.0036, 0.000100
48, -24.4545, 0.0025, 0.000100
49, -23.7273, 0.0014, 0.000100
50, -24.0455, 0.0036, 0.000100
51, -25.9091, 0.0006, 0.000100
52, -25.0909, -0.0009, 0.000100
53, -26.1591, 0.0008, 0.000100
54, -24.0909, -0.0003, 0.000100
55, -21.5000, 0.0016, 0.000100
56, -19.6818, -0.0017, 0.000100
57, -22.5909, -0.0015, 0.000100
58, -20.2955, -0.0016, 0.000100
59, -26.5682, 0.0014, 0.000100
60, -23.7727, -0.0011, 0.000100
61, -26.7045, -0.0004, 0.000100
62, -22.6364, 0.0011, 0.000100
63, -30.0909, 0.0038, 0.000100
64, -21.1136, -0.0009, 0.000100
65, -22.8636, -0.0019, 0.000100
66, -28.2558, 0.0036, 0.000100
67, -20.2500, -0.0010, 0.000100
68, -23.3636, 0.0023, 0.000100
69, -20.5227, -0.0005, 0.000100
70, -18.5909, -0.0030, 0.000100
71, -26.0227, 0.0027, 0.000100
72, -24.9091, 0.0020, 0.000100
73, -22.7381, 0.0039, 0.000100
74, -27.0476, 0.0041, 0.000100
75, -19.2273, -0.0003, 0.000100
76, -21.4318, -0.0022, 0.000100
77, -24.7955, 0.0025, 0.000100
78, -20.4773, -0.0002, 0.000100
79, -24.0000, 0.0007, 0.000100
80, -21.9535, 0.0008, 0.000100
81, -20.4318, 0.0006, 0.000100
82, -17.5909, -0.0021, 0.000100
83, -19.6512, 0.0010, 0.000100
84, -23.3636, 0.0024, 0.000100
85, -20.3182, -0.0000, 0.000100
86, -16.7955, -0.0006, 0.000100
87, -17.1818, -0.0017, 0.000100
88, -22.1136, -0.0002, 0.000100
89, -21.5000, 0.0020, 0.000100
90, -21.0465, 0.0025, 0.000100
91, -29.5000, 0.0036, 0.000100
92, -20.7500, -0.0016, 0.000100
