episode, reward, loss, lr
1, -22.5682, 0.0172, 0.000100
2, -25.8409, 0.0187, 0.000100
3, -21.7955, 0.0150, 0.000100
4, -23.6429, 0.0123, 0.000100
5, -22.2500, 0.0091, 0.000100
6, -23.0909, 0.0080, 0.000100
7, -20.8409, 0.0066, 0.000100
8, -22.9091, 0.0028, 0.000100
9, -19.1364, 0.0032, 0.000100
10, -28.4091, 0.0034, 0.000100
11, -25.4773, 0.0015, 0.000100
12, -24.0476, -0.0009, 0.000100
13, -30.0455, 0.0048, 0.000100
14, -21.4318, -0.0022, 0.000100
15, -24.3864, -0.0067, 0.000100
16, -20.3182, -0.0034, 0.000100
17, -26.7727, -0.0005, 0.000100
18, -23.5682, -0.0045, 0.000100
19, -24.1364, -0.0053, 0.000100
20, -23.8182, -0.0057, 0.000100
21, -26.5227, -0.0012, 0.000100
22, -29.9091, 0.0008, 0.000100
23, -18.2500, -0.0049, 0.000100
24, -30.2326, 0.0021, 0.000100
25, -22.7727, -0.0066, 0.000100
26, -22.1591, -0.0056, 0.000100
27, -27.1136, -0.0010, 0.000100
28, -24.5909, -0.0038, 0.000100
29, -24.8409, -0.0033, 0.000100
30, -22.7045, -0.0082, 0.000100
31, -28.3182, -0.0005, 0.000100
32, -25.9545, -0.0039, 0.000100
33, -21.1364, -0.0045, 0.000100
34, -18.6136, -0.0100, 0.000100
35, -26.2273, 0.0050, 0.000100
36, -26.3636, 0.0034, 0.000100
37, -25.7045, 0.0047, 0.000100
38, -23.5909, 0.0010, 0.000100
39, -25.6591, 0.0026, 0.000100
40, -27.0455, 0.0029, 0.000100
41, -23.1591, -0.0014, 0.000100
42, -26.5227, 0.0006, 0.000100
43, -27.8636, -0.0000, 0.000100
44, -25.4773, -0.0021, 0.000100
45, -23.9545, 0.0021, 0.000100
46, -25.2955, 0.0013, 0.000100
47, -27.8864, 0.0030, 0.000100
48, -18.2955, -0.0037, 0.000100
49, -29.0238, 0.0041, 0.000100
50, -21.0238, -0.0044, 0.000100
51, -19.9091, -0.0005, 0.000100
52, -20.8409, 0.0010, 0.000100
53, -19.7500, 0.0001, 0.000100
54, -24.4091, 0.0034, 0.000100
55, -21.5227, 0.0010, 0.000100
56, -23.0682, 0.0020, 0.000100
57, -27.2045, 0.0032, 0.000100
58, -24.3409, 0.0040, 0.000100
59, -25.5455, 0.0015, 0.000100
60, -25.5909, 0.0011, 0.000100
61, -21.0455, 0.0001, 0.000100
62, -28.4318, 0.0030, 0.000100
63, -23.7273, 0.0032, 0.000100
64, -22.3182, -0.0039, 0.000100
65, -25.5682, 0.0024, 0.000100
66, -22.8864, 0.0001, 0.000100
67, -25.6591, 0.0023, 0.000100
68, -25.0909, 0.0016, 0.000100
69, -24.0227, 0.0007, 0.000100
70, -24.0000, 0.0004, 0.000100
71, -27.3636, 0.0034, 0.000100
72, -24.8409, -0.0004, 0.000100
73, -25.2045, -0.0002, 0.000100
74, -20.0455, -0.0034, 0.000100
75, -27.2273, 0.0060, 0.000100
76, -22.0000, 0.0023, 0.000100
77, -28.3636, 0.0032, 0.000100
78, -25.6136, 0.0016, 0.000100
79, -24.7955, 0.0064, 0.000100
80, -23.5909, 0.0010, 0.000100
81, -21.0000, 0.0004, 0.000100
82, -24.4545, 0.0039, 0.000100
83, -25.3864, 0.0009, 0.000100
84, -25.7045, 0.0039, 0.000100
85, -20.3409, -0.0021, 0.000100
86, -20.5227, -0.0046, 0.000100
87, -21.1364, -0.0006, 0.000100
88, -23.1364, 0.0006, 0.000100
89, -24.8182, -0.0005, 0.000100
90, -23.1818, -0.0002, 0.000100
91, -24.1818, 0.0020, 0.000100
92, -18.7500, -0.0041, 0.000100
93, -27.2791, 0.0008, 0.000100
94, -22.4545, -0.0017, 0.000100
95, -26.2381, 0.0023, 0.000100
96, -24.1591, -0.0010, 0.000100
97, -23.3864, 0.0020, 0.000100
98, -22.5455, -0.0020, 0.000100
99, -20.4545, -0.0020, 0.000100
100, -22.2045, -0.0011, 0.000100
101, -21.5349, -0.0008, 0.000100
102, -24.5227, -0.0010, 0.000100
103, -24.5682, -0.0013, 0.000100
104, -30.9318, 0.0023, 0.000100
105, -24.6429, -0.0018, 0.000100
106, -27.9545, -0.0005, 0.000100
107, -23.7273, -0.0012, 0.000100
108, -30.3409, 0.0016, 0.000100
109, -19.7955, -0.0040, 0.000100
110, -22.5227, -0.0024, 0.000100
111, -26.8409, 0.0015, 0.000100
112, -22.3182, -0.0026, 0.000100
113, -17.6591, -0.0050, 0.000100
114, -26.6364, 0.0017, 0.000100
115, -25.0000, 0.0016, 0.000100
116, -21.5909, -0.0025, 0.000100
117, -27.1136, 0.0025, 0.000100
118, -24.0000, 0.0010, 0.000100
119, -20.4091, -0.0048, 0.000100
120, -20.6591, -0.0017, 0.000100
121, -21.7045, -0.0003, 0.000100
122, -22.7727, 0.0025, 0.000100
123, -22.5227, -0.0001, 0.000100
124, -26.6818, 0.0006, 0.000100
125, -23.6591, -0.0006, 0.000100
126, -22.8409, 0.0004, 0.000100
127, -25.4318, 0.0007, 0.000100
128, -22.9091, -0.0004, 0.000100
129, -20.2955, -0.0028, 0.000100
130, -23.7500, 0.0019, 0.000100
131, -24.0000, 0.0012, 0.000100
132, -26.3409, -0.0007, 0.000100
133, -22.1591, -0.0019, 0.000100
134, -21.2727, -0.0029, 0.000100
135, -24.1818, -0.0019, 0.000100
136, -22.0909, -0.0015, 0.000100
137, -20.0682, -0.0021, 0.000100
138, -21.4318, -0.0010, 0.000100
139, -19.7727, -0.0034, 0.000100
140, -21.7727, -0.0002, 0.000100
141, -21.5909, -0.0021, 0.000100
142, -25.0455, 0.0035, 0.000100
143, -18.6818, -0.0041, 0.000100
144, -19.2955, -0.0019, 0.000100
145, -18.6136, -0.0047, 0.000100
146, -23.2045, 0.0001, 0.000100
147, -23.1364, -0.0023, 0.000100
148, -21.0000, -0.0033, 0.000100
149, -22.8864, 0.0004, 0.000100
150, -21.7045, -0.0017, 0.000100
151, -20.5682, -0.0032, 0.000100
152, -22.8409, 0.0004, 0.000100
153, -18.0000, -0.0017, 0.000100
154, -20.0455, -0.0007, 0.000100
155, -28.0000, 0.0044, 0.000100
156, -20.7273, -0.0022, 0.000100
157, -20.5682, -0.0018, 0.000100
158, -21.8182, -0.0017, 0.000100
159, -21.4773, -0.0006, 0.000100
160, -27.5455, 0.0028, 0.000100
161, -24.7727, 0.0023, 0.000100
162, -17.5682, -0.0038, 0.000100
