episode, reward, loss, lr
1, -23.4545, 0.0172, 0.000100
2, -27.4091, 0.0199, 0.000100
3, -23.3409, 0.0146, 0.000100
4, -26.2955, 0.0142, 0.000100
5, -24.0000, 0.0079, 0.000100
6, -24.1818, 0.0046, 0.000100
7, -26.6818, 0.0047, 0.000100
8, -26.5952, 0.0034, 0.000100
9, -22.7273, 0.0004, 0.000100
10, -25.8636, 0.0029, 0.000100
11, -23.5227, -0.0014, 0.000100
12, -22.1591, -0.0038, 0.000100
13, -24.0000, 0.0007, 0.000100
14, -24.4773, -0.0042, 0.000100
15, -22.4651, -0.0051, 0.000100
16, -23.1818, -0.0061, 0.000100
17, -22.0000, -0.0043, 0.000100
18, -23.2500, -0.0060, 0.000100
19, -22.5455, -0.0047, 0.000100
20, -23.0227, -0.0026, 0.000100
21, -22.9545, -0.0037, 0.000100
22, -25.2273, -0.0029, 0.000100
23, -22.5909, -0.0057, 0.000100
24, -23.9773, -0.0031, 0.000100
25, -27.2045, -0.0006, 0.000100
26, -25.6818, -0.0016, 0.000100
27, -22.4545, -0.0048, 0.000100
28, -23.5581, 0.0027, 0.000100
29, -26.0227, -0.0023, 0.000100
30, -24.2727, -0.0028, 0.000100
31, -22.4048, -0.0048, 0.000100
32, -23.9318, -0.0052, 0.000100
33, -25.3636, 0.0021, 0.000100
34, -26.7955, -0.0002, 0.000100
35, -28.4545, 0.0016, 0.000100
36, -21.7727, -0.0010, 0.000100
37, -17.7955, -0.0035, 0.000100
38, -25.2045, 0.0023, 0.000100
39, -29.4545, 0.0017, 0.000100
40, -22.3409, 0.0000, 0.000100
41, -27.2273, -0.0020, 0.000100
42, -25.5455, -0.0017, 0.000100
43, -24.0455, -0.0044, 0.000100
44, -19.0698, -0.0077, 0.000100
45, -18.4318, -0.0058, 0.000100
46, -26.2500, 0.0006, 0.000100
47, -29.3182, 0.0031, 0.000100
48, -18.4773, -0.0034, 0.000100
49, -23.6429, 0.0025, 0.000100
50, -24.8409, 0.0022, 0.000100
51, -25.0455, -0.0007, 0.000100
52, -20.5000, -0.0046, 0.000100
53, -21.0682, -0.0025, 0.000100
54, -25.0909, 0.0001, 0.000100
55, -20.7045, -0.0036, 0.000100
56, -21.9773, 0.0010, 0.000100
57, -19.6136, -0.0007, 0.000100
58, -24.4318, 0.0001, 0.000100
59, -23.0227, -0.0010, 0.000100
60, -20.7045, -0.0025, 0.000100
61, -23.2558, -0.0024, 0.000100
62, -22.9318, -0.0019, 0.000100
63, -18.3409, -0.0028, 0.000100
64, -24.1136, -0.0002, 0.000100
65, -19.0455, -0.0017, 0.000100
66, -20.7045, -0.0028, 0.000100
67, -21.9318, -0.0025, 0.000100
68, -21.6818, 0.0014, 0.000100
69, -21.0227, -0.0017, 0.000100
70, -17.2955, -0.0027, 0.000100
71, -22.6364, 0.0018, 0.000100
72, -17.9773, -0.0057, 0.000100
73, -21.8409, -0.0005, 0.000100
74, -26.4091, 0.0025, 0.000100
75, -26.2955, 0.0009, 0.000100
76, -18.0233, -0.0037, 0.000100
77, -23.0909, -0.0017, 0.000100
78, -19.6136, -0.0005, 0.000100
79, -19.6818, -0.0009, 0.000100
80, -25.0227, 0.0027, 0.000100
81, -21.4318, -0.0025, 0.000100
82, -16.4545, -0.0029, 0.000100
83, -24.2955, 0.0025, 0.000100
84, -24.7955, 0.0013, 0.000100
85, -18.0455, -0.0018, 0.000100
86, -23.1136, -0.0006, 0.000100
87, -22.7045, 0.0009, 0.000100
88, -17.1136, -0.0010, 0.000100
89, -20.7273, -0.0001, 0.000100
90, -18.1591, -0.0010, 0.000100
91, -20.5682, 0.0019, 0.000100
92, -23.9318, 0.0010, 0.000100
93, -24.9091, 0.0010, 0.000100
94, -20.4545, -0.0023, 0.000100
95, -18.9318, -0.0007, 0.000100
96, -23.2273, 0.0059, 0.000100
97, -17.9545, 0.0004, 0.000100
98, -23.3636, 0.0021, 0.000100
99, -24.4186, 0.0080, 0.000100
100, -24.0909, 0.0016, 0.000100
101, -19.5455, -0.0004, 0.000100
102, -25.4318, 0.0017, 0.000100
103, -23.2791, 0.0026, 0.000100
104, -25.9091, 0.0023, 0.000100
105, -23.3636, 0.0014, 0.000100
106, -22.6364, -0.0012, 0.000100
107, -21.2273, -0.0006, 0.000100
108, -23.4773, 0.0015, 0.000100
109, -21.6364, -0.0030, 0.000100
110, -21.1591, -0.0016, 0.000100
111, -21.9286, 0.0026, 0.000100
112, -19.1818, -0.0024, 0.000100
113, -22.7500, 0.0039, 0.000100
114, -20.0682, 0.0016, 0.000100
115, -21.6818, 0.0022, 0.000100
116, -21.8636, 0.0018, 0.000100
117, -23.8864, 0.0010, 0.000100
118, -23.8864, 0.0020, 0.000100
119, -20.5227, -0.0021, 0.000100
120, -23.5000, 0.0029, 0.000100
121, -21.4318, -0.0005, 0.000100
122, -23.1364, 0.0053, 0.000100
123, -20.1395, 0.0006, 0.000100
124, -18.0227, -0.0017, 0.000100
125, -24.9545, 0.0053, 0.000100
126, -16.0682, -0.0016, 0.000100
127, -21.0227, -0.0011, 0.000100
128, -25.1818, 0.0022, 0.000100
129, -22.7500, -0.0008, 0.000100
130, -17.4773, -0.0016, 0.000100
131, -20.9545, -0.0001, 0.000100
132, -26.8636, 0.0033, 0.000100
133, -21.3409, -0.0005, 0.000100
134, -21.2500, -0.0019, 0.000100
135, -23.7273, 0.0013, 0.000100
136, -26.0455, 0.0035, 0.000100
137, -26.2500, 0.0010, 0.000100
138, -17.1591, -0.0033, 0.000100
139, -24.8182, 0.0006, 0.000100
140, -21.9091, -0.0002, 0.000100
141, -20.9318, -0.0009, 0.000100
142, -22.8864, -0.0004, 0.000100
143, -21.2727, -0.0006, 0.000100
144, -21.2955, -0.0036, 0.000100
145, -21.0476, -0.0032, 0.000100
146, -26.5000, 0.0004, 0.000100
147, -23.7955, 0.0000, 0.000100
148, -22.8372, -0.0032, 0.000100
149, -23.0233, -0.0031, 0.000100
150, -25.8864, -0.0030, 0.000100
151, -18.6591, -0.0052, 0.000100
152, -18.8864, -0.0062, 0.000100
153, -21.2955, -0.0045, 0.000100
154, -20.5909, -0.0065, 0.000100
155, -19.9545, -0.0023, 0.000100
156, -22.9318, -0.0000, 0.000100
157, -20.4773, -0.0039, 0.000100
158, -25.3256, -0.0005, 0.000100
159, -23.1364, -0.0011, 0.000100
160, -19.5227, -0.0041, 0.000100
161, -26.7442, 0.0001, 0.000100
162, -23.3182, 0.0004, 0.000100
163, -22.0909, -0.0042, 0.000100
164, -21.6744, -0.0010, 0.000100
165, -20.6818, -0.0016, 0.000100
166, -23.4318, -0.0003, 0.000100
167, -24.7727, 0.0003, 0.000100
168, -19.0455, -0.0029, 0.000100
169, -25.8182, 0.0031, 0.000100
170, -21.0698, 0.0009, 0.000100
171, -19.3409, -0.0030, 0.000100
172, -21.0909, -0.0021, 0.000100
173, -20.9091, -0.0006, 0.000100
174, -22.7727, -0.0018, 0.000100
175, -20.6818, -0.0030, 0.000100
176, -22.6136, 0.0014, 0.000100
177, -23.1364, -0.0002, 0.000100
178, -17.6977, -0.0016, 0.000100
179, -27.4318, 0.0036, 0.000100
180, -22.6818, 0.0003, 0.000100
181, -20.5227, -0.0024, 0.000100
182, -22.8864, 0.0027, 0.000100
183, -23.8372, 0.0003, 0.000100
184, -24.2273, 0.0015, 0.000100
185, -20.2500, -0.0010, 0.000100
186, -20.3864, 0.0001, 0.000100
187, -27.1136, 0.0023, 0.000100
188, -23.2500, 0.0013, 0.000100
189, -20.8636, -0.0001, 0.000100
190, -21.1591, -0.0029, 0.000100
191, -18.7273, -0.0002, 0.000100
192, -22.0455, 0.0018, 0.000100
193, -22.5682, -0.0009, 0.000100
194, -22.3409, -0.0012, 0.000100
195, -24.8409, 0.0016, 0.000100
196, -23.4091, 0.0007, 0.000100
197, -20.9318, -0.0030, 0.000100
198, -25.0682, -0.0004, 0.000100
199, -21.7955, -0.0019, 0.000100
200, -27.3256, 0.0016, 0.000100
201, -21.7273, -0.0035, 0.000100
202, -22.0000, -0.0026, 0.000100
203, -18.6136, -0.0030, 0.000100
204, -25.0227, -0.0026, 0.000100
205, -18.7045, -0.0062, 0.000100
206, -22.2727, -0.0028, 0.000100
207, -21.6591, -0.0013, 0.000100
208, -23.8864, -0.0013, 0.000100
209, -23.2273, -0.0025, 0.000100
210, -21.6591, 0.0025, 0.000100
211, -22.5682, -0.0017, 0.000100
212, -20.6905, 0.0012, 0.000100
213, -16.9535, -0.0033, 0.000100
214, -20.9545, -0.0001, 0.000100
215, -20.0455, -0.0005, 0.000100
216, -25.0909, 0.0008, 0.000100
217, -21.7727, -0.0015, 0.000100
218, -21.1591, -0.0001, 0.000100
219, -22.6591, 0.0009, 0.000100
220, -18.2727, -0.0024, 0.000100
221, -21.1818, 0.0014, 0.000100
222, -16.9773, -0.0019, 0.000100
223, -22.0227, 0.0021, 0.000100
224, -21.9545, 0.0004, 0.000100
225, -18.5000, -0.0003, 0.000100
226, -21.3023, 0.0016, 0.000100
227, -19.2727, 0.0001, 0.000100
228, -21.9762, 0.0027, 0.000100
229, -21.3864, 0.0007, 0.000100
230, -18.9545, -0.0004, 0.000100
231, -19.8409, -0.0011, 0.000100
232, -21.5682, 0.0044, 0.000100
233, -20.6818, -0.0005, 0.000100
234, -22.5455, 0.0016, 0.000100
235, -24.4091, 0.0035, 0.000100
236, -22.7955, 0.0018, 0.000100
237, -25.0465, 0.0024, 0.000100
238, -25.4318, 0.0025, 0.000100
239, -21.7500, -0.0004, 0.000100
240, -19.7500, -0.0015, 0.000100
241, -22.1364, -0.0028, 0.000100
242, -19.8636, -0.0005, 0.000100
243, -22.3409, -0.0016, 0.000100
244, -16.3409, -0.0043, 0.000100
245, -23.1136, -0.0001, 0.000100
246, -21.2727, -0.0006, 0.000100
247, -23.4773, 0.0004, 0.000100
248, -18.5227, -0.0017, 0.000100
249, -22.8182, -0.0000, 0.000100
250, -20.9318, 0.0008, 0.000100
251, -22.0909, -0.0008, 0.000100
252, -26.4091, 0.0021, 0.000100
253, -23.9318, 0.0009, 0.000100
254, -18.3864, -0.0031, 0.000100
255, -19.4773, -0.0002, 0.000100
256, -23.2045, 0.0017, 0.000100
257, -25.0455, 0.0006, 0.000100
258, -22.4545, 0.0007, 0.000100
259, -23.0909, 0.0002, 0.000100
260, -21.9091, -0.0019, 0.000100
261, -22.4651, 0.0016, 0.000100
262, -24.7273, -0.0005, 0.000100
263, -26.5116, 0.0019, 0.000100
264, -26.0455, 0.0017, 0.000100
265, -27.1591, 0.0012, 0.000100
266, -24.2273, -0.0034, 0.000100
267, -22.1818, -0.0044, 0.000100
268, -21.1364, -0.0060, 0.000100
269, -24.5000, -0.0028, 0.000100
270, -21.9318, -0.0019, 0.000100
271, -18.9545, -0.0024, 0.000100
272, -21.0000, 0.0010, 0.000100
273, -20.7045, -0.0017, 0.000100
274, -24.2093, 0.0001, 0.000100
275, -20.6364, -0.0021, 0.000100
276, -23.2273, 0.0003, 0.000100
277, -19.4545, 0.0001, 0.000100
278, -19.9091, -0.0019, 0.000100
279, -18.3864, -0.0020, 0.000100
280, -22.7045, 0.0022, 0.000100
281, -23.7045, 0.0001, 0.000100
282, -22.0000, 0.0011, 0.000100
283, -20.1591, 0.0008, 0.000100
284, -23.0227, 0.0022, 0.000100
285, -22.9091, 0.0022, 0.000100
286, -21.5227, 0.0023, 0.000100
287, -22.7045, -0.0012, 0.000100
288, -24.3182, 0.0005, 0.000100
289, -23.0465, -0.0020, 0.000100
290, -21.2045, -0.0020, 0.000100
291, -22.0000, 0.0001, 0.000100
292, -20.2273, 0.0003, 0.000100
293, -20.1136, -0.0031, 0.000100
294, -23.0909, -0.0008, 0.000100
295, -26.6364, -0.0002, 0.000100
296, -23.6364, -0.0001, 0.000100
297, -20.1818, -0.0010, 0.000100
298, -20.7045, -0.0021, 0.000100
299, -18.5116, -0.0014, 0.000100
300, -22.3864, 0.0017, 0.000100
301, -25.7500, 0.0013, 0.000100
302, -22.0909, -0.0016, 0.000100
303, -21.3571, -0.0035, 0.000100
304, -22.7500, 0.0024, 0.000100
305, -25.2727, 0.0002, 0.000100
306, -21.5000, 0.0001, 0.000100
307, -22.7273, 0.0024, 0.000100
308, -22.9773, 0.0027, 0.000100
309, -24.9773, 0.0023, 0.000100
310, -26.1136, 0.0025, 0.000100
311, -23.0909, -0.0019, 0.000100
312, -19.2326, -0.0043, 0.000100
313, -21.4773, 0.0007, 0.000100
314, -26.4186, 0.0031, 0.000100
