episode, reward, loss, lr
1, -22.0455, 0.0191, 0.000100
2, -22.7955, 0.0169, 0.000100
3, -23.4091, 0.0169, 0.000100
4, -26.8636, 0.0167, 0.000100
5, -24.4773, 0.0100, 0.000100
6, -23.0000, 0.0047, 0.000100
7, -23.8864, 0.0028, 0.000100
8, -21.0233, 0.0020, 0.000100
9, -27.3864, 0.0060, 0.000100
10, -21.5227, -0.0018, 0.000100
11, -24.2955, 0.0034, 0.000100
12, -23.6591, -0.0005, 0.000100
13, -21.5455, -0.0030, 0.000100
14, -26.2727, 0.0006, 0.000100
15, -25.5455, 0.0006, 0.000100
16, -25.6818, -0.0010, 0.000100
17, -23.2955, -0.0043, 0.000100
18, -27.9318, -0.0012, 0.000100
19, -23.2500, -0.0065, 0.000100
20, -24.0455, -0.0009, 0.000100
21, -27.7045, -0.0010, 0.000100
22, -25.6279, -0.0035, 0.000100
23, -22.5227, -0.0041, 0.000100
24, -29.9318, 0.0022, 0.000100
25, -26.7273, -0.0019, 0.000100
26, -23.3409, -0.0057, 0.000100
27, -28.2500, 0.0018, 0.000100
28, -26.8409, -0.0026, 0.000100
29, -24.0909, -0.0042, 0.000100
30, -24.9318, -0.0045, 0.000100
31, -21.9773, -0.0026, 0.000100
32, -24.5682, -0.0028, 0.000100
33, -22.8409, -0.0070, 0.000100
34, -31.5455, 0.0015, 0.000100
35, -27.9318, -0.0016, 0.000100
36, -23.0909, -0.0071, 0.000100
37, -19.2500, -0.0066, 0.000100
38, -27.4773, -0.0002, 0.000100
39, -27.8864, -0.0009, 0.000100
40, -25.8837, -0.0037, 0.000100
41, -24.2273, -0.0029, 0.000100
42, -25.4091, -0.0012, 0.000100
43, -25.7045, -0.0036, 0.000100
44, -18.3409, -0.0089, 0.000100
45, -23.0698, -0.0011, 0.000100
46, -26.4524, -0.0010, 0.000100
47, -27.5909, -0.0011, 0.000100
48, -24.3409, -0.0050, 0.000100
49, -24.5227, -0.0029, 0.000100
50, -23.7045, -0.0058, 0.000100
51, -27.2045, -0.0014, 0.000100
52, -23.6512, -0.0025, 0.000100
53, -24.6591, -0.0007, 0.000100
54, -25.7907, -0.0024, 0.000100
55, -24.4091, -0.0026, 0.000100
56, -18.3409, -0.0090, 0.000100
57, -29.8409, 0.0031, 0.000100
58, -25.2273, -0.0020, 0.000100
59, -27.3636, -0.0006, 0.000100
60, -23.4318, -0.0025, 0.000100
61, -24.1591, -0.0021, 0.000100
62, -19.8636, -0.0074, 0.000100
63, -25.6136, 0.0001, 0.000100
64, -23.6591, 0.0004, 0.000100
65, -23.7273, -0.0029, 0.000100
66, -17.7955, -0.0043, 0.000100
67, -23.3864, -0.0006, 0.000100
68, -24.7727, -0.0023, 0.000100
69, -26.5581, -0.0014, 0.000100
70, -23.1364, -0.0034, 0.000100
71, -19.2045, -0.0053, 0.000100
72, -25.7273, 0.0040, 0.000100
73, -28.5455, 0.0026, 0.000100
74, -21.6818, -0.0023, 0.000100
75, -18.2500, -0.0044, 0.000100
76, -28.8864, 0.0001, 0.000100
77, -24.0000, 0.0007, 0.000100
78, -26.6136, 0.0018, 0.000100
79, -24.9545, 0.0011, 0.000100
80, -21.6136, -0.0016, 0.000100
81, -24.0909, -0.0008, 0.000100
82, -22.0455, -0.0005, 0.000100
83, -22.6818, -0.0006, 0.000100
84, -27.1136, 0.0039, 0.000100
85, -24.2955, 0.0031, 0.000100
86, -28.2326, 0.0008, 0.000100
87, -19.7045, -0.0040, 0.000100
88, -23.2857, -0.0008, 0.000100
89, -17.2273, -0.0027, 0.000100
90, -14.7273, -0.0068, 0.000100
91, -22.1136, 0.0013, 0.000100
92, -23.0000, 0.0000, 0.000100
93, -24.3182, 0.0034, 0.000100
94, -28.5000, 0.0024, 0.000100
95, -19.8864, -0.0004, 0.000100
96, -20.4318, -0.0031, 0.000100
97, -23.8636, -0.0008, 0.000100
98, -33.2727, 0.0033, 0.000100
99, -18.3409, -0.0034, 0.000100
100, -23.1591, -0.0036, 0.000100
101, -24.4091, 0.0007, 0.000100
102, -22.1364, 0.0001, 0.000100
103, -26.6818, 0.0005, 0.000100
104, -22.5909, -0.0002, 0.000100
105, -24.4091, 0.0011, 0.000100
106, -24.8636, -0.0018, 0.000100
107, -21.7045, -0.0000, 0.000100
108, -22.1591, 0.0027, 0.000100
109, -18.6818, -0.0018, 0.000100
110, -23.9091, 0.0001, 0.000100
111, -21.7500, 0.0004, 0.000100
112, -19.7727, -0.0026, 0.000100
113, -23.0455, 0.0013, 0.000100
114, -24.0000, 0.0039, 0.000100
115, -17.5682, -0.0054, 0.000100
116, -22.0227, -0.0006, 0.000100
117, -22.5455, 0.0001, 0.000100
118, -22.7727, -0.0005, 0.000100
119, -24.4773, 0.0013, 0.000100
120, -21.1136, -0.0013, 0.000100
121, -19.6591, -0.0012, 0.000100
122, -19.9773, -0.0012, 0.000100
123, -19.8182, -0.0018, 0.000100
124, -22.3409, -0.0002, 0.000100
125, -22.2500, -0.0004, 0.000100
126, -17.2955, -0.0023, 0.000100
127, -22.5909, -0.0009, 0.000100
128, -23.6591, 0.0021, 0.000100
129, -26.1364, 0.0038, 0.000100
130, -23.2273, -0.0013, 0.000100
131, -21.1591, 0.0000, 0.000100
132, -21.3409, -0.0016, 0.000100
133, -21.5000, -0.0015, 0.000100
134, -24.9091, 0.0017, 0.000100
135, -26.5455, 0.0017, 0.000100
136, -19.7955, -0.0030, 0.000100
137, -24.9762, 0.0014, 0.000100
138, -25.8372, 0.0015, 0.000100
139, -23.4091, 0.0021, 0.000100
140, -22.1591, 0.0001, 0.000100
141, -25.3409, 0.0028, 0.000100
142, -21.0909, 0.0052, 0.000100
143, -21.7045, 0.0014, 0.000100
144, -26.8409, 0.0003, 0.000100
145, -21.6591, -0.0002, 0.000100
146, -23.0227, 0.0009, 0.000100
147, -23.5455, 0.0012, 0.000100
148, -22.4091, -0.0030, 0.000100
149, -18.5455, -0.0025, 0.000100
150, -19.8409, 0.0003, 0.000100
151, -25.4524, 0.0020, 0.000100
152, -23.0682, 0.0029, 0.000100
153, -22.9091, 0.0031, 0.000100
154, -25.3409, 0.0019, 0.000100
155, -29.3864, 0.0022, 0.000100
156, -20.8636, -0.0014, 0.000100
157, -21.2727, -0.0020, 0.000100
158, -21.7500, -0.0015, 0.000100
159, -24.0227, 0.0032, 0.000100
160, -26.5909, 0.0047, 0.000100
161, -25.9070, 0.0031, 0.000100
162, -23.0909, -0.0010, 0.000100
163, -20.6591, -0.0008, 0.000100
164, -21.9070, 0.0002, 0.000100
165, -22.6818, -0.0005, 0.000100
166, -17.7727, -0.0017, 0.000100
167, -27.2955, 0.0037, 0.000100
168, -22.2273, -0.0008, 0.000100
169, -24.6136, 0.0012, 0.000100
170, -23.4091, 0.0000, 0.000100
171, -22.7955, 0.0001, 0.000100
172, -26.2273, 0.0003, 0.000100
173, -23.6591, 0.0005, 0.000100
174, -21.7727, 0.0001, 0.000100
175, -23.9773, -0.0006, 0.000100
176, -25.6591, 0.0004, 0.000100
177, -25.2500, 0.0001, 0.000100
178, -23.2273, 0.0032, 0.000100
179, -21.2045, -0.0034, 0.000100
180, -27.5909, 0.0029, 0.000100
181, -24.2500, -0.0007, 0.000100
182, -23.7955, -0.0007, 0.000100
183, -22.6818, 0.0012, 0.000100
184, -20.5227, -0.0014, 0.000100
185, -22.8372, -0.0013, 0.000100
186, -18.9070, -0.0042, 0.000100
187, -25.0000, 0.0067, 0.000100
188, -21.4318, -0.0008, 0.000100
189, -21.9545, 0.0002, 0.000100
190, -23.6818, 0.0014, 0.000100
191, -20.5000, 0.0015, 0.000100
192, -20.3864, 0.0003, 0.000100
193, -26.3636, 0.0042, 0.000100
194, -26.0682, 0.0032, 0.000100
195, -27.2500, 0.0028, 0.000100
196, -21.4545, -0.0003, 0.000100
197, -20.0455, 0.0001, 0.000100
198, -25.0952, 0.0025, 0.000100
199, -19.5000, -0.0036, 0.000100
200, -21.9091, -0.0004, 0.000100
201, -23.5349, 0.0007, 0.000100
202, -25.4091, 0.0029, 0.000100
203, -18.9091, -0.0029, 0.000100
204, -25.4091, -0.0006, 0.000100
205, -23.3810, 0.0016, 0.000100
206, -22.5227, -0.0003, 0.000100
207, -22.3636, 0.0013, 0.000100
208, -22.0227, -0.0009, 0.000100
209, -22.4419, 0.0007, 0.000100
210, -21.7273, -0.0018, 0.000100
211, -23.2273, -0.0016, 0.000100
212, -22.6136, 0.0001, 0.000100
213, -26.2273, 0.0028, 0.000100
214, -20.5682, -0.0030, 0.000100
215, -24.0455, 0.0012, 0.000100
216, -18.7500, -0.0031, 0.000100
217, -23.2727, 0.0023, 0.000100
218, -22.0000, -0.0016, 0.000100
219, -20.2955, -0.0017, 0.000100
220, -25.8636, -0.0006, 0.000100
221, -24.5455, -0.0018, 0.000100
222, -19.9773, -0.0039, 0.000100
223, -22.7273, 0.0005, 0.000100
224, -23.2045, -0.0005, 0.000100
225, -25.4186, 0.0023, 0.000100
226, -20.1364, -0.0019, 0.000100
227, -21.1591, -0.0015, 0.000100
228, -20.8864, -0.0014, 0.000100
229, -21.8605, 0.0002, 0.000100
230, -27.8182, 0.0022, 0.000100
231, -21.4091, -0.0019, 0.000100
232, -21.4773, -0.0008, 0.000100
233, -26.7045, 0.0009, 0.000100
234, -21.5000, -0.0017, 0.000100
235, -19.3182, -0.0024, 0.000100
236, -20.0455, -0.0017, 0.000100
237, -23.1591, -0.0006, 0.000100
238, -23.8864, 0.0002, 0.000100
239, -16.4773, -0.0022, 0.000100
240, -23.4545, 0.0012, 0.000100
241, -21.0909, -0.0006, 0.000100
242, -24.3953, -0.0025, 0.000100
243, -19.2500, -0.0038, 0.000100
244, -20.0465, -0.0023, 0.000100
245, -24.1591, 0.0012, 0.000100
246, -25.0227, -0.0008, 0.000100
247, -25.7955, 0.0034, 0.000100
248, -20.3636, -0.0036, 0.000100
249, -23.3864, 0.0000, 0.000100
250, -26.7500, 0.0002, 0.000100
251, -28.0000, 0.0012, 0.000100
252, -19.4091, -0.0057, 0.000100
253, -22.0227, 0.0003, 0.000100
254, -18.8864, -0.0031, 0.000100
255, -23.9091, -0.0003, 0.000100
256, -25.7619, -0.0005, 0.000100
257, -26.8182, -0.0008, 0.000100
258, -19.0698, -0.0022, 0.000100
259, -18.8182, -0.0039, 0.000100
260, -16.9318, -0.0018, 0.000100
261, -19.4318, -0.0020, 0.000100
262, -19.3182, -0.0018, 0.000100
263, -24.5000, 0.0021, 0.000100
264, -25.7273, 0.0057, 0.000100
265, -20.9545, 0.0007, 0.000100
266, -23.4773, -0.0010, 0.000100
267, -21.0000, 0.0025, 0.000100
268, -18.9773, -0.0018, 0.000100
269, -19.3636, -0.0004, 0.000100
270, -16.1818, -0.0029, 0.000100
271, -25.4048, 0.0034, 0.000100
272, -22.3864, 0.0006, 0.000100
273, -18.6364, 0.0008, 0.000100
274, -23.9545, 0.0055, 0.000100
275, -23.6591, 0.0050, 0.000100
276, -19.6512, -0.0007, 0.000100
277, -18.8182, 0.0014, 0.000100
278, -18.9545, -0.0010, 0.000100
279, -24.3182, 0.0061, 0.000100
280, -19.9545, 0.0001, 0.000100
281, -18.8182, -0.0008, 0.000100
282, -25.0227, 0.0030, 0.000100
283, -21.4545, -0.0008, 0.000100
284, -19.3864, -0.0007, 0.000100
285, -23.3182, 0.0019, 0.000100
286, -21.3864, 0.0009, 0.000100
287, -21.0000, -0.0010, 0.000100
288, -17.2500, -0.0016, 0.000100
289, -24.4773, 0.0006, 0.000100
290, -25.5476, 0.0017, 0.000100
291, -18.8182, 0.0012, 0.000100
292, -22.8636, 0.0029, 0.000100
293, -22.2955, -0.0003, 0.000100
294, -17.5682, -0.0024, 0.000100
295, -22.4091, -0.0002, 0.000100
296, -15.7955, -0.0027, 0.000100
297, -21.8409, 0.0008, 0.000100
298, -26.4773, 0.0036, 0.000100
