episode, reward, loss, lr
1, -23.4091, 0.0185, 0.000100
2, -23.5682, 0.0165, 0.000100
3, -24.9773, 0.0151, 0.000100
4, -23.9091, 0.0113, 0.000100
5, -25.1818, 0.0104, 0.000100
6, -20.9773, 0.0071, 0.000100
7, -23.9773, 0.0030, 0.000100
8, -27.7727, 0.0071, 0.000100
9, -21.9545, -0.0022, 0.000100
10, -19.1818, 0.0002, 0.000100
11, -21.5909, -0.0026, 0.000100
12, -29.0909, 0.0030, 0.000100
13, -19.1364, -0.0003, 0.000100
14, -21.7273, 0.0007, 0.000100
15, -28.3409, 0.0022, 0.000100
16, -28.0682, 0.0036, 0.000100
17, -24.5909, -0.0018, 0.000100
18, -26.3864, -0.0017, 0.000100
19, -22.4419, -0.0072, 0.000100
20, -27.0000, -0.0010, 0.000100
21, -23.8636, -0.0024, 0.000100
22, -21.3409, 0.0007, 0.000100
23, -21.5455, -0.0079, 0.000100
24, -26.7500, 0.0053, 0.000100
25, -27.0455, 0.0021, 0.000100
26, -29.1667, 0.0021, 0.000100
27, -24.5909, -0.0000, 0.000100
28, -25.1136, -0.0025, 0.000100
29, -18.7045, -0.0045, 0.000100
30, -23.9773, -0.0035, 0.000100
31, -25.6364, -0.0003, 0.000100
32, -27.2955, 0.0001, 0.000100
33, -21.1591, -0.0032, 0.000100
34, -18.3636, -0.0061, 0.000100
35, -26.3864, 0.0059, 0.000100
36, -21.8182, 0.0036, 0.000100
37, -18.0000, 0.0002, 0.000100
38, -25.2500, 0.0043, 0.000100
39, -26.8182, 0.0032, 0.000100
40, -19.7500, -0.0001, 0.000100
41, -22.7727, -0.0013, 0.000100
42, -20.2273, 0.0017, 0.000100
43, -24.3182, 0.0026, 0.000100
44, -28.3409, 0.0054, 0.000100
45, -27.2045, 0.0053, 0.000100
46, -24.7674, 0.0005, 0.000100
47, -22.3409, -0.0001, 0.000100
48, -23.8864, -0.0002, 0.000100
49, -24.5000, 0.0017, 0.000100
50, -24.2045, -0.0005, 0.000100
51, -24.0909, 0.0041, 0.000100
52, -24.9535, 0.0042, 0.000100
53, -25.1818, 0.0028, 0.000100
54, -20.1818, -0.0005, 0.000100
55, -26.6591, 0.0023, 0.000100
56, -24.6136, -0.0009, 0.000100
57, -20.2727, -0.0018, 0.000100
58, -28.3636, 0.0062, 0.000100
59, -24.6818, -0.0000, 0.000100
60, -27.7955, 0.0035, 0.000100
61, -27.5227, 0.0004, 0.000100
62, -21.6818, -0.0044, 0.000100
63, -20.8182, -0.0012, 0.000100
64, -24.4091, 0.0012, 0.000100
65, -20.3182, 0.0004, 0.000100
66, -23.7045, -0.0003, 0.000100
