episode, reward, loss, lr
1, -20.1364, 0.0166, 0.000100
2, -25.7273, 0.0185, 0.000100
3, -25.8182, 0.0155, 0.000100
4, -24.5682, 0.0119, 0.000100
5, -24.6136, 0.0096, 0.000100
6, -28.8409, 0.0088, 0.000100
7, -20.9545, 0.0036, 0.000100
8, -22.6364, 0.0035, 0.000100
9, -22.5000, -0.0034, 0.000100
10, -24.0000, -0.0005, 0.000100
11, -21.5227, -0.0052, 0.000100
12, -22.7674, -0.0041, 0.000100
13, -23.5455, -0.0031, 0.000100
14, -21.6818, -0.0014, 0.000100
15, -27.3864, 0.0008, 0.000100
16, -27.9318, -0.0026, 0.000100
17, -23.7955, -0.0036, 0.000100
18, -26.5455, -0.0030, 0.000100
19, -22.5455, -0.0058, 0.000100
20, -22.3636, -0.0039, 0.000100
21, -26.9545, 0.0003, 0.000100
22, -25.9545, -0.0021, 0.000100
23, -23.1364, -0.0076, 0.000100
24, -24.2045, -0.0040, 0.000100
25, -24.7045, -0.0028, 0.000100
26, -24.0455, -0.0042, 0.000100
27, -23.3636, -0.0051, 0.000100
28, -24.1591, -0.0025, 0.000100
29, -23.4318, -0.0039, 0.000100
30, -29.2045, 0.0014, 0.000100
31, -23.7143, -0.0014, 0.000100
32, -20.2500, -0.0015, 0.000100
33, -25.5682, 0.0008, 0.000100
34, -22.6818, -0.0017, 0.000100
35, -22.5682, -0.0013, 0.000100
36, -24.0227, -0.0003, 0.000100
37, -18.9091, -0.0036, 0.000100
38, -20.6818, 0.0001, 0.000100
39, -25.0227, 0.0004, 0.000100
40, -22.7500, -0.0012, 0.000100
41, -23.3864, -0.0003, 0.000100
42, -22.1364, -0.0017, 0.000100
43, -24.9535, 0.0020, 0.000100
44, -21.5455, -0.0004, 0.000100
45, -15.6591, -0.0024, 0.000100
46, -20.7273, -0.0005, 0.000100
47, -18.4091, -0.0020, 0.000100
48, -27.1136, 0.0033, 0.000100
49, -23.5455, 0.0012, 0.000100
50, -20.1136, -0.0005, 0.000100
51, -20.8409, -0.0003, 0.000100
52, -20.6279, -0.0006, 0.000100
53, -17.1818, 0.0001, 0.000100
54, -26.3864, 0.0040, 0.000100
55, -18.7727, -0.0011, 0.000100
56, -21.7500, 0.0001, 0.000100
57, -24.4091, 0.0030, 0.000100
58, -20.0455, -0.0017, 0.000100
59, -21.2727, -0.0000, 0.000100
60, -25.5227, 0.0029, 0.000100
61, -21.1818, -0.0008, 0.000100
62, -23.6818, 0.0035, 0.000100
63, -22.0000, -0.0003, 0.000100
64, -19.9318, 0.0008, 0.000100
65, -23.2273, -0.0002, 0.000100
66, -25.8864, 0.0013, 0.000100
67, -19.7727, -0.0009, 0.000100
68, -19.2045, 0.0007, 0.000100
69, -21.3409, -0.0006, 0.000100
70, -25.6136, 0.0008, 0.000100
71, -19.8864, -0.0000, 0.000100
72, -17.2955, -0.0035, 0.000100
73, -24.1818, 0.0064, 0.000100
74, -24.2045, 0.0024, 0.000100
75, -19.8140, -0.0004, 0.000100
76, -20.9773, -0.0005, 0.000100
77, -22.7045, -0.0004, 0.000100
78, -25.8182, 0.0014, 0.000100
79, -20.7500, 0.0010, 0.000100
80, -25.3864, 0.0022, 0.000100
81, -22.5682, 0.0010, 0.000100
82, -21.2500, -0.0006, 0.000100
83, -22.1860, -0.0004, 0.000100
84, -19.2045, -0.0027, 0.000100
85, -23.4318, -0.0003, 0.000100
86, -19.7500, -0.0013, 0.000100
87, -21.8409, 0.0014, 0.000100
88, -20.1591, 0.0016, 0.000100
89, -20.8636, -0.0002, 0.000100
90, -29.5227, 0.0082, 0.000100
91, -24.7955, -0.0007, 0.000100
92, -23.0909, -0.0000, 0.000100
93, -23.2955, -0.0005, 0.000100
94, -24.3182, 0.0002, 0.000100
95, -17.2045, -0.0044, 0.000100
96, -25.7500, 0.0016, 0.000100
97, -23.9773, 0.0005, 0.000100
98, -22.0455, 0.0013, 0.000100
99, -21.8409, 0.0007, 0.000100
100, -25.4545, 0.0034, 0.000100
101, -20.5909, 0.0009, 0.000100
102, -26.5455, 0.0020, 0.000100
103, -21.8636, -0.0005, 0.000100
104, -24.2500, -0.0002, 0.000100
105, -17.9545, -0.0034, 0.000100
106, -20.8182, -0.0002, 0.000100
107, -20.1136, -0.0009, 0.000100
108, -18.6818, 0.0004, 0.000100
109, -19.9318, 0.0010, 0.000100
110, -20.2273, 0.0010, 0.000100
111, -24.8182, 0.0024, 0.000100
112, -29.8636, 0.0041, 0.000100
113, -23.1364, -0.0003, 0.000100
114, -22.3636, 0.0022, 0.000100
115, -21.8636, -0.0010, 0.000100
116, -20.7045, -0.0012, 0.000100
117, -24.6512, 0.0013, 0.000100
118, -21.9318, 0.0004, 0.000100
119, -23.9318, -0.0001, 0.000100
120, -23.2558, 0.0001, 0.000100
121, -21.7381, -0.0024, 0.000100
122, -22.7143, -0.0008, 0.000100
123, -27.6136, 0.0033, 0.000100
124, -26.0227, 0.0023, 0.000100
125, -18.7955, -0.0026, 0.000100
126, -26.8182, 0.0048, 0.000100
127, -21.5227, -0.0033, 0.000100
128, -21.5455, 0.0001, 0.000100
129, -23.5000, -0.0019, 0.000100
130, -28.4545, 0.0015, 0.000100
131, -21.8810, -0.0011, 0.000100
132, -23.6818, -0.0008, 0.000100
133, -27.0465, 0.0018, 0.000100
134, -17.2273, -0.0039, 0.000100
135, -23.8636, 0.0012, 0.000100
136, -24.3864, -0.0007, 0.000100
137, -24.8409, -0.0003, 0.000100
138, -21.7500, -0.0016, 0.000100
139, -19.7500, -0.0033, 0.000100
140, -25.8636, 0.0028, 0.000100
141, -19.1364, -0.0022, 0.000100
142, -23.0476, 0.0016, 0.000100
143, -17.7045, -0.0033, 0.000100
144, -20.8182, -0.0007, 0.000100
145, -19.9545, 0.0007, 0.000100
146, -21.4545, -0.0004, 0.000100
147, -20.9545, 0.0015, 0.000100
148, -23.3182, 0.0031, 0.000100
149, -18.7045, -0.0026, 0.000100
150, -27.1591, 0.0017, 0.000100
151, -24.9545, -0.0001, 0.000100
152, -24.4773, 0.0007, 0.000100
153, -20.2955, -0.0007, 0.000100
154, -17.5455, -0.0020, 0.000100
155, -20.8409, 0.0009, 0.000100
156, -20.4318, -0.0002, 0.000100
157, -26.9545, 0.0029, 0.000100
158, -25.6136, -0.0003, 0.000100
159, -19.7955, -0.0037, 0.000100
160, -22.0227, -0.0020, 0.000100
161, -24.4545, -0.0012, 0.000100
162, -20.1818, -0.0011, 0.000100
163, -24.4545, 0.0005, 0.000100
164, -24.5682, -0.0002, 0.000100
165, -20.8636, -0.0005, 0.000100
166, -22.2727, -0.0012, 0.000100
167, -22.2500, 0.0021, 0.000100
168, -24.5682, -0.0009, 0.000100
169, -20.7674, -0.0001, 0.000100
170, -25.9545, 0.0028, 0.000100
171, -21.3488, -0.0024, 0.000100
172, -26.4773, 0.0017, 0.000100
173, -23.7500, -0.0012, 0.000100
174, -21.6136, -0.0044, 0.000100
175, -25.2955, -0.0014, 0.000100
176, -24.3182, -0.0016, 0.000100
177, -21.0476, -0.0031, 0.000100
178, -23.0909, -0.0028, 0.000100
179, -22.1591, -0.0044, 0.000100
180, -21.9773, -0.0074, 0.000100
181, -21.0000, -0.0035, 0.000100
182, -20.4091, -0.0045, 0.000100
183, -22.9773, -0.0010, 0.000100
184, -20.0455, -0.0083, 0.000100
185, -19.8605, -0.0034, 0.000100
186, -18.2500, -0.0050, 0.000100
187, -27.7727, 0.0005, 0.000100
188, -22.5682, -0.0006, 0.000100
189, -24.2955, -0.0015, 0.000100
190, -26.2326, 0.0005, 0.000100
191, -20.2500, 0.0003, 0.000100
192, -20.3409, -0.0004, 0.000100
193, -19.1818, -0.0016, 0.000100
