episode, reward, loss, lr
1, -18.5227, 0.0138, 0.000100
2, -23.6591, 0.0193, 0.000100
3, -28.8864, 0.0173, 0.000100
4, -21.8636, 0.0121, 0.000100
5, -24.1364, 0.0090, 0.000100
6, -28.8409, 0.0127, 0.000100
7, -31.2558, 0.0100, 0.000100
8, -19.9091, 0.0011, 0.000100
9, -29.5682, 0.0042, 0.000100
10, -28.3636, 0.0048, 0.000100
11, -24.3409, -0.0021, 0.000100
12, -28.4545, -0.0012, 0.000100
13, -22.7955, -0.0024, 0.000100
14, -27.3636, -0.0025, 0.000100
15, -22.2727, -0.0090, 0.000100
16, -26.8864, -0.0027, 0.000100
17, -29.5455, -0.0000, 0.000100
18, -21.9773, -0.0113, 0.000100
19, -24.0682, -0.0038, 0.000100
20, -29.0909, -0.0014, 0.000100
21, -24.2273, -0.0060, 0.000100
22, -27.6591, -0.0026, 0.000100
23, -25.9048, -0.0044, 0.000100
24, -26.1591, -0.0026, 0.000100
25, -22.7045, -0.0009, 0.000100
26, -23.7955, -0.0045, 0.000100
27, -21.6364, -0.0042, 0.000100
28, -25.1818, -0.0020, 0.000100
29, -24.5000, -0.0034, 0.000100
30, -27.0455, 0.0001, 0.000100
31, -19.0227, -0.0024, 0.000100
32, -24.0227, -0.0012, 0.000100
33, -24.6591, -0.0011, 0.000100
34, -25.3864, -0.0016, 0.000100
35, -25.2045, -0.0034, 0.000100
36, -24.9318, -0.0035, 0.000100
37, -25.8409, -0.0007, 0.000100
38, -26.5000, -0.0005, 0.000100
39, -24.4545, -0.0026, 0.000100
40, -21.7273, -0.0029, 0.000100
41, -22.6591, -0.0007, 0.000100
42, -18.2273, -0.0054, 0.000100
43, -24.2045, -0.0009, 0.000100
44, -24.2727, -0.0017, 0.000100
45, -26.8182, 0.0008, 0.000100
46, -21.3409, -0.0021, 0.000100
47, -25.5682, 0.0018, 0.000100
48, -21.8409, -0.0020, 0.000100
49, -21.3409, -0.0036, 0.000100
50, -22.7500, 0.0011, 0.000100
51, -23.6818, 0.0008, 0.000100
52, -23.5814, 0.0009, 0.000100
53, -24.1860, 0.0034, 0.000100
54, -21.6136, -0.0019, 0.000100
55, -22.1818, -0.0005, 0.000100
56, -26.0714, 0.0009, 0.000100
57, -25.5455, 0.0006, 0.000100
58, -21.8182, -0.0025, 0.000100
59, -20.6591, -0.0001, 0.000100
60, -21.8636, 0.0033, 0.000100
61, -23.9773, 0.0043, 0.000100
62, -24.9091, 0.0038, 0.000100
63, -25.9318, 0.0024, 0.000100
64, -19.2727, -0.0010, 0.000100
65, -27.2500, 0.0036, 0.000100
66, -21.9773, -0.0003, 0.000100
67, -20.3182, -0.0006, 0.000100
68, -23.1136, -0.0010, 0.000100
69, -21.5227, -0.0010, 0.000100
70, -21.9318, 0.0011, 0.000100
71, -19.8409, -0.0015, 0.000100
72, -20.9773, -0.0000, 0.000100
73, -18.0909, -0.0003, 0.000100
74, -24.6364, 0.0001, 0.000100
75, -22.7727, 0.0047, 0.000100
76, -18.4091, -0.0011, 0.000100
77, -19.8864, -0.0009, 0.000100
78, -22.3636, 0.0010, 0.000100
79, -24.6818, 0.0029, 0.000100
80, -20.5000, -0.0007, 0.000100
81, -22.5909, 0.0021, 0.000100
82, -20.8409, 0.0005, 0.000100
83, -24.8182, 0.0030, 0.000100
84, -22.8810, -0.0002, 0.000100
85, -29.0227, 0.0044, 0.000100
86, -22.4773, -0.0003, 0.000100
87, -21.4545, -0.0003, 0.000100
88, -19.4091, -0.0024, 0.000100
89, -20.5000, -0.0002, 0.000100
90, -18.9773, -0.0034, 0.000100
91, -20.6818, 0.0010, 0.000100
92, -21.3636, 0.0012, 0.000100
93, -25.5227, 0.0021, 0.000100
94, -20.2500, -0.0028, 0.000100
95, -24.1818, 0.0028, 0.000100
96, -21.3023, -0.0004, 0.000100
97, -22.5227, -0.0019, 0.000100
98, -20.4545, -0.0031, 0.000100
99, -21.2955, -0.0020, 0.000100
100, -24.1364, 0.0018, 0.000100
101, -18.9773, -0.0020, 0.000100
102, -23.8372, 0.0084, 0.000100
103, -23.8182, -0.0008, 0.000100
104, -18.5455, -0.0013, 0.000100
105, -20.9318, 0.0000, 0.000100
106, -27.9545, 0.0014, 0.000100
107, -19.5455, -0.0014, 0.000100
108, -18.1364, -0.0024, 0.000100
109, -27.2727, 0.0052, 0.000100
110, -20.5227, -0.0010, 0.000100
111, -25.1136, 0.0026, 0.000100
112, -19.0455, -0.0006, 0.000100
113, -20.2045, -0.0009, 0.000100
114, -23.7955, 0.0014, 0.000100
115, -21.0682, 0.0010, 0.000100
116, -19.0000, -0.0035, 0.000100
117, -24.4318, 0.0007, 0.000100
118, -24.0909, -0.0005, 0.000100
119, -21.1591, -0.0024, 0.000100
120, -21.3182, -0.0024, 0.000100
121, -21.0227, 0.0002, 0.000100
