episode, reward, loss, lr
1, -26.0000, 0.0207, 0.000100
2, -25.2045, 0.0201, 0.000100
3, -24.8182, 0.0162, 0.000100
4, -26.5455, 0.0144, 0.000100
5, -22.6279, 0.0086, 0.000100
6, -23.2273, 0.0078, 0.000100
7, -28.4773, 0.0111, 0.000100
8, -25.0227, 0.0038, 0.000100
9, -21.6591, -0.0009, 0.000100
10, -27.9773, 0.0027, 0.000100
11, -21.9091, -0.0052, 0.000100
12, -29.1136, 0.0036, 0.000100
13, -26.8140, 0.0001, 0.000100
14, -22.4545, -0.0023, 0.000100
15, -28.4318, 0.0044, 0.000100
16, -28.1364, 0.0000, 0.000100
17, -28.5455, -0.0001, 0.000100
18, -21.4318, -0.0026, 0.000100
19, -27.2500, -0.0013, 0.000100
20, -22.9091, -0.0068, 0.000100
21, -22.4318, -0.0035, 0.000100
22, -23.4773, 0.0005, 0.000100
23, -20.0909, -0.0002, 0.000100
24, -21.8182, -0.0013, 0.000100
25, -22.5455, -0.0005, 0.000100
26, -26.4545, 0.0013, 0.000100
27, -20.8409, -0.0021, 0.000100
28, -19.9773, -0.0002, 0.000100
29, -23.9091, 0.0013, 0.000100
30, -24.9545, 0.0018, 0.000100
31, -25.3636, 0.0005, 0.000100
32, -25.7727, 0.0011, 0.000100
33, -26.0909, 0.0003, 0.000100
34, -25.5227, 0.0012, 0.000100
35, -27.6818, 0.0018, 0.000100
36, -23.0000, -0.0023, 0.000100
37, -17.9773, -0.0050, 0.000100
38, -21.1860, 0.0000, 0.000100
39, -23.8182, -0.0018, 0.000100
40, -26.1860, 0.0013, 0.000100
41, -21.6136, -0.0014, 0.000100
42, -18.9318, -0.0018, 0.000100
43, -20.6818, 0.0002, 0.000100
44, -20.8837, 0.0011, 0.000100
45, -19.8636, -0.0015, 0.000100
46, -23.3636, 0.0004, 0.000100
47, -21.5682, 0.0017, 0.000100
48, -26.5814, 0.0017, 0.000100
49, -24.8140, 0.0005, 0.000100
50, -18.3095, -0.0026, 0.000100
51, -20.9545, -0.0013, 0.000100
52, -22.5682, -0.0012, 0.000100
53, -19.3864, -0.0005, 0.000100
54, -23.4091, -0.0001, 0.000100
55, -22.8837, 0.0011, 0.000100
56, -21.7727, -0.0021, 0.000100
57, -23.1136, -0.0014, 0.000100
58, -16.5227, -0.0046, 0.000100
59, -21.2727, -0.0010, 0.000100
60, -25.3636, 0.0034, 0.000100
61, -27.8636, 0.0031, 0.000100
62, -23.2500, 0.0008, 0.000100
63, -21.1136, -0.0014, 0.000100
64, -18.3864, -0.0029, 0.000100
65, -21.6136, -0.0000, 0.000100
66, -25.3864, 0.0021, 0.000100
67, -18.5909, -0.0041, 0.000100
68, -24.1163, 0.0004, 0.000100
69, -26.2045, -0.0011, 0.000100
70, -19.7045, -0.0029, 0.000100
71, -23.7045, 0.0001, 0.000100
72, -21.4545, -0.0024, 0.000100
73, -23.5682, 0.0005, 0.000100
74, -22.7045, -0.0003, 0.000100
75, -22.4545, -0.0001, 0.000100
76, -27.2500, 0.0036, 0.000100
77, -18.2045, -0.0036, 0.000100
78, -24.0682, -0.0007, 0.000100
79, -18.9318, -0.0034, 0.000100
80, -23.5227, 0.0003, 0.000100
81, -23.5814, 0.0003, 0.000100
82, -22.5909, -0.0013, 0.000100
83, -24.6364, -0.0003, 0.000100
84, -21.8864, 0.0007, 0.000100
85, -21.9091, -0.0017, 0.000100
86, -19.7955, -0.0015, 0.000100
87, -22.4318, 0.0010, 0.000100
88, -21.0682, -0.0016, 0.000100
89, -18.4773, -0.0021, 0.000100
90, -18.4091, -0.0034, 0.000100
91, -25.0909, 0.0024, 0.000100
92, -19.9545, -0.0006, 0.000100
93, -21.1364, 0.0014, 0.000100
94, -22.1136, 0.0020, 0.000100
95, -29.2045, 0.0025, 0.000100
96, -23.5909, 0.0013, 0.000100
97, -22.9302, 0.0003, 0.000100
98, -21.1136, -0.0005, 0.000100
99, -16.6364, -0.0019, 0.000100
100, -18.8409, -0.0007, 0.000100
101, -24.4773, 0.0032, 0.000100
102, -22.9318, 0.0039, 0.000100
103, -18.6818, -0.0006, 0.000100
104, -24.3488, 0.0020, 0.000100
105, -21.9545, 0.0014, 0.000100
106, -20.7045, -0.0019, 0.000100
107, -24.9773, 0.0021, 0.000100
108, -24.4773, 0.0015, 0.000100
109, -23.3256, 0.0012, 0.000100
110, -22.2273, 0.0031, 0.000100
111, -26.4773, 0.0025, 0.000100
112, -16.3721, -0.0017, 0.000100
113, -18.3636, -0.0009, 0.000100
114, -26.1860, 0.0060, 0.000100
115, -19.1591, -0.0006, 0.000100
116, -26.6818, 0.0041, 0.000100
117, -23.3182, 0.0026, 0.000100
118, -22.5581, 0.0010, 0.000100
119, -21.6364, -0.0002, 0.000100
120, -15.1364, -0.0014, 0.000100
121, -22.4186, 0.0023, 0.000100
122, -22.2500, -0.0007, 0.000100
123, -19.9773, -0.0022, 0.000100
124, -22.6818, 0.0003, 0.000100
125, -22.2500, -0.0001, 0.000100
126, -20.7500, -0.0011, 0.000100
127, -21.2500, -0.0013, 0.000100
128, -24.0455, -0.0010, 0.000100
129, -23.4773, -0.0000, 0.000100
130, -19.8182, -0.0033, 0.000100
131, -17.6364, -0.0038, 0.000100
132, -20.9773, -0.0019, 0.000100
133, -19.0227, -0.0031, 0.000100
134, -25.2955, 0.0016, 0.000100
135, -22.4545, -0.0012, 0.000100
136, -24.2326, 0.0009, 0.000100
137, -22.2500, -0.0026, 0.000100
138, -22.2045, -0.0032, 0.000100
139, -20.0000, -0.0028, 0.000100
140, -20.1818, -0.0036, 0.000100
141, -22.3864, -0.0016, 0.000100
142, -27.8605, 0.0014, 0.000100
143, -26.9070, 0.0017, 0.000100
144, -25.2045, -0.0008, 0.000100
145, -27.0233, 0.0015, 0.000100
146, -26.5455, 0.0007, 0.000100
147, -21.2955, -0.0042, 0.000100
148, -21.7273, -0.0005, 0.000100
149, -23.9318, -0.0019, 0.000100
150, -25.0682, -0.0017, 0.000100
151, -18.8636, -0.0039, 0.000100
152, -20.2045, -0.0036, 0.000100
153, -20.6364, -0.0026, 0.000100
154, -21.7500, -0.0022, 0.000100
155, -18.8636, -0.0046, 0.000100
156, -20.0000, -0.0021, 0.000100
157, -19.3182, -0.0024, 0.000100
158, -27.3182, 0.0032, 0.000100
159, -17.4773, -0.0033, 0.000100
160, -17.0682, -0.0039, 0.000100
161, -21.7273, -0.0003, 0.000100
162, -21.9545, 0.0001, 0.000100
163, -18.2955, -0.0024, 0.000100
164, -21.4545, -0.0008, 0.000100
165, -21.3182, 0.0012, 0.000100
166, -21.2727, -0.0006, 0.000100
167, -26.0455, 0.0052, 0.000100
168, -21.7955, 0.0010, 0.000100
169, -20.8636, -0.0015, 0.000100
170, -24.6818, -0.0008, 0.000100
171, -18.8636, -0.0031, 0.000100
172, -21.3182, -0.0006, 0.000100
173, -21.0909, 0.0011, 0.000100
174, -23.1860, 0.0011, 0.000100
175, -25.1364, 0.0003, 0.000100
176, -20.1591, -0.0032, 0.000100
177, -21.8409, -0.0012, 0.000100
178, -20.9091, -0.0002, 0.000100
179, -22.3409, -0.0007, 0.000100
180, -20.5455, -0.0003, 0.000100
181, -23.5227, -0.0004, 0.000100
182, -22.0227, -0.0007, 0.000100
183, -20.7500, -0.0001, 0.000100
184, -20.5909, -0.0013, 0.000100
185, -22.0227, -0.0039, 0.000100
186, -21.4091, -0.0030, 0.000100
187, -22.4773, -0.0022, 0.000100
188, -22.3864, 0.0002, 0.000100
189, -22.7273, 0.0021, 0.000100
190, -25.2273, -0.0006, 0.000100
191, -17.4318, -0.0051, 0.000100
192, -19.4318, -0.0034, 0.000100
193, -16.8636, -0.0069, 0.000100
194, -23.6818, -0.0018, 0.000100
195, -20.5227, -0.0018, 0.000100
196, -26.5000, 0.0012, 0.000100
197, -22.1591, -0.0030, 0.000100
198, -25.6429, 0.0013, 0.000100
199, -23.2093, 0.0001, 0.000100
200, -23.2955, -0.0029, 0.000100
201, -21.8636, -0.0007, 0.000100
202, -29.5714, 0.0036, 0.000100
203, -22.2955, -0.0032, 0.000100
204, -23.5227, -0.0037, 0.000100
205, -22.3409, -0.0044, 0.000100
206, -19.4091, -0.0033, 0.000100
207, -18.7955, -0.0036, 0.000100
208, -20.6136, -0.0026, 0.000100
209, -19.5227, -0.0032, 0.000100
210, -26.4545, 0.0014, 0.000100
211, -20.6136, -0.0021, 0.000100
212, -22.8864, 0.0002, 0.000100
213, -19.4651, -0.0012, 0.000100
214, -18.6136, -0.0040, 0.000100
215, -21.6591, -0.0022, 0.000100
216, -23.0000, -0.0013, 0.000100
217, -23.0227, 0.0006, 0.000100
218, -19.0909, -0.0023, 0.000100
219, -18.9535, -0.0033, 0.000100
220, -24.4651, -0.0000, 0.000100
221, -20.6818, -0.0002, 0.000100
222, -21.8182, -0.0007, 0.000100
223, -25.8409, 0.0021, 0.000100
224, -20.2143, -0.0013, 0.000100
225, -21.3864, -0.0006, 0.000100
226, -20.4091, -0.0019, 0.000100
227, -20.4091, -0.0011, 0.000100
228, -22.5000, 0.0034, 0.000100
229, -23.1818, 0.0010, 0.000100
230, -22.3636, 0.0002, 0.000100
231, -24.0909, 0.0015, 0.000100
232, -24.8864, 0.0014, 0.000100
233, -23.5682, -0.0008, 0.000100
234, -26.1591, 0.0038, 0.000100
235, -22.0682, -0.0008, 0.000100
236, -23.4091, -0.0018, 0.000100
237, -25.5455, -0.0015, 0.000100
238, -25.3409, -0.0004, 0.000100
239, -19.6591, -0.0036, 0.000100
240, -19.3636, -0.0023, 0.000100
241, -23.7674, -0.0002, 0.000100
242, -19.6136, -0.0047, 0.000100
243, -21.4773, -0.0027, 0.000100
244, -16.7045, -0.0054, 0.000100
245, -25.9773, 0.0003, 0.000100
246, -22.5909, -0.0019, 0.000100
247, -21.8409, -0.0003, 0.000100
248, -23.7500, -0.0005, 0.000100
249, -22.9773, -0.0003, 0.000100
250, -19.5455, -0.0024, 0.000100
251, -18.3182, -0.0033, 0.000100
252, -20.8636, -0.0008, 0.000100
253, -17.7955, -0.0048, 0.000100
254, -28.3409, 0.0016, 0.000100
255, -26.1364, -0.0004, 0.000100
256, -22.3864, -0.0026, 0.000100
257, -18.2955, -0.0030, 0.000100
258, -21.5455, -0.0018, 0.000100
259, -21.2500, -0.0007, 0.000100
260, -24.4048, 0.0005, 0.000100
261, -22.3864, -0.0026, 0.000100
262, -20.5909, -0.0005, 0.000100
263, -20.5682, -0.0008, 0.000100
264, -19.5455, -0.0017, 0.000100
265, -21.9773, -0.0003, 0.000100
266, -22.0682, 0.0009, 0.000100
267, -20.4884, -0.0010, 0.000100
268, -21.2045, -0.0009, 0.000100
269, -21.7273, -0.0031, 0.000100
270, -23.6136, -0.0015, 0.000100
271, -21.0227, -0.0025, 0.000100
272, -24.9318, -0.0005, 0.000100
273, -17.8864, -0.0050, 0.000100
274, -25.2500, 0.0002, 0.000100
275, -25.3182, -0.0011, 0.000100
276, -24.1136, 0.0011, 0.000100
277, -23.0909, -0.0009, 0.000100
278, -24.6744, 0.0005, 0.000100
279, -22.2273, -0.0002, 0.000100
280, -22.4186, -0.0020, 0.000100
281, -23.9318, -0.0027, 0.000100
282, -22.3636, -0.0007, 0.000100
283, -23.5909, -0.0010, 0.000100
284, -22.7955, -0.0024, 0.000100
285, -20.1136, -0.0045, 0.000100
286, -29.2143, 0.0035, 0.000100
287, -25.2500, 0.0014, 0.000100
288, -20.8182, -0.0029, 0.000100
289, -19.4318, -0.0019, 0.000100
290, -24.1136, -0.0018, 0.000100
291, -20.1136, -0.0027, 0.000100
292, -17.6136, -0.0041, 0.000100
293, -21.4091, 0.0002, 0.000100
294, -19.3409, -0.0014, 0.000100
295, -20.9318, -0.0015, 0.000100
296, -24.5909, 0.0014, 0.000100
297, -23.5814, 0.0012, 0.000100
298, -25.3409, 0.0015, 0.000100
299, -22.0227, -0.0021, 0.000100
300, -24.0455, 0.0017, 0.000100
301, -24.8636, 0.0024, 0.000100
302, -19.5455, -0.0002, 0.000100
303, -23.2727, 0.0005, 0.000100
304, -20.5227, -0.0046, 0.000100
305, -23.6364, 0.0029, 0.000100
306, -25.2727, 0.0036, 0.000100
307, -24.9767, 0.0028, 0.000100
308, -25.7727, 0.0023, 0.000100
309, -25.5909, 0.0011, 0.000100
310, -20.0227, -0.0024, 0.000100
311, -19.3953, -0.0002, 0.000100
312, -27.4884, 0.0027, 0.000100
313, -18.8864, -0.0011, 0.000100
314, -22.9286, 0.0013, 0.000100
315, -22.7955, 0.0029, 0.000100
316, -20.1591, -0.0005, 0.000100
317, -20.0000, 0.0009, 0.000100
318, -21.7209, 0.0025, 0.000100
319, -19.3571, -0.0040, 0.000100
320, -25.3023, 0.0039, 0.000100
321, -20.8864, 0.0020, 0.000100
322, -27.4318, 0.0029, 0.000100
323, -23.9773, 0.0045, 0.000100
324, -23.5000, 0.0021, 0.000100
325, -22.0909, 0.0001, 0.000100
326, -22.0682, -0.0024, 0.000100
327, -20.5682, -0.0024, 0.000100
328, -21.0909, -0.0005, 0.000100
329, -19.4773, -0.0035, 0.000100
330, -20.4091, -0.0011, 0.000100
331, -20.2558, -0.0029, 0.000100
332, -21.8636, 0.0002, 0.000100
333, -24.2500, 0.0003, 0.000100
334, -21.8182, 0.0007, 0.000100
335, -24.0238, -0.0016, 0.000100
336, -21.4773, -0.0012, 0.000100
337, -23.5349, -0.0015, 0.000100
338, -26.8636, 0.0014, 0.000100
339, -21.8182, -0.0014, 0.000100
340, -27.7273, 0.0004, 0.000100
341, -23.5909, -0.0040, 0.000100
342, -18.6744, -0.0074, 0.000100
343, -19.0909, -0.0058, 0.000100
344, -18.3636, -0.0060, 0.000100
345, -21.6364, -0.0026, 0.000100
346, -29.7500, 0.0009, 0.000100
347, -22.5455, -0.0035, 0.000100
348, -19.7955, -0.0034, 0.000100
349, -24.4773, -0.0015, 0.000100
350, -18.1163, -0.0048, 0.000100
351, -18.8636, -0.0033, 0.000100
352, -24.9545, -0.0007, 0.000100
353, -25.3409, 0.0012, 0.000100
354, -18.6364, -0.0037, 0.000100
355, -19.4524, -0.0068, 0.000100
356, -18.5227, -0.0029, 0.000100
357, -19.3182, 0.0004, 0.000100
358, -22.6136, 0.0016, 0.000100
359, -24.6591, 0.0013, 0.000100
360, -22.7727, -0.0010, 0.000100
361, -25.7045, 0.0010, 0.000100
362, -23.0455, 0.0010, 0.000100
363, -26.7045, 0.0025, 0.000100
364, -19.4651, -0.0006, 0.000100
365, -22.9773, -0.0002, 0.000100
366, -21.5227, -0.0027, 0.000100
367, -25.7209, 0.0001, 0.000100
368, -22.2955, -0.0020, 0.000100
369, -21.2273, -0.0031, 0.000100
370, -22.7727, 0.0015, 0.000100
371, -17.6136, -0.0017, 0.000100
372, -24.4091, 0.0015, 0.000100
373, -21.3409, -0.0020, 0.000100
374, -27.4186, 0.0016, 0.000100
375, -22.0455, -0.0019, 0.000100
376, -19.4318, -0.0034, 0.000100
377, -21.8636, -0.0002, 0.000100
378, -23.9318, -0.0017, 0.000100
379, -21.4545, -0.0020, 0.000100
380, -22.7727, -0.0013, 0.000100
381, -22.4545, -0.0017, 0.000100
382, -19.7500, -0.0030, 0.000100
383, -21.1364, -0.0035, 0.000100
384, -25.2500, -0.0001, 0.000100
385, -23.1136, -0.0004, 0.000100
386, -23.1364, -0.0020, 0.000100
387, -23.3810, 0.0020, 0.000100
388, -27.1628, 0.0018, 0.000100
389, -19.1591, -0.0020, 0.000100
390, -26.2500, 0.0015, 0.000100
391, -23.5455, -0.0018, 0.000100
392, -19.9545, -0.0029, 0.000100
393, -18.4545, -0.0047, 0.000100
394, -25.6364, 0.0008, 0.000100
395, -24.7045, 0.0024, 0.000100
396, -21.5227, -0.0036, 0.000100
397, -22.2727, -0.0023, 0.000100
398, -22.3409, -0.0031, 0.000100
399, -25.0000, -0.0024, 0.000100
400, -26.8864, -0.0020, 0.000100
401, -23.9318, -0.0033, 0.000100
402, -19.7045, -0.0046, 0.000100
403, -21.6591, -0.0013, 0.000100
404, -20.7045, -0.0013, 0.000100
405, -28.2500, 0.0001, 0.000100
406, -22.3810, -0.0050, 0.000100
407, -23.7955, -0.0016, 0.000100
408, -22.3095, -0.0012, 0.000100
409, -20.6136, -0.0029, 0.000100
410, -17.9318, -0.0041, 0.000100
411, -29.9286, 0.0019, 0.000100
412, -21.3864, -0.0017, 0.000100
413, -21.5476, -0.0047, 0.000100
414, -20.4091, -0.0024, 0.000100
415, -20.8182, -0.0036, 0.000100
416, -20.4091, -0.0033, 0.000100
417, -19.4091, -0.0027, 0.000100
418, -21.7273, -0.0006, 0.000100
419, -21.0455, -0.0011, 0.000100
420, -17.4773, -0.0039, 0.000100
421, -20.3864, -0.0020, 0.000100
422, -21.4651, -0.0007, 0.000100
423, -18.7500, -0.0034, 0.000100
424, -24.5000, 0.0009, 0.000100
425, -17.7273, -0.0044, 0.000100
426, -19.4545, -0.0034, 0.000100
427, -21.8864, -0.0014, 0.000100
428, -22.2955, 0.0005, 0.000100
429, -22.7045, -0.0009, 0.000100
430, -20.7955, -0.0027, 0.000100
431, -25.2273, 0.0016, 0.000100
432, -22.8636, 0.0009, 0.000100
433, -22.1136, -0.0018, 0.000100
434, -18.6591, -0.0038, 0.000100
435, -23.3182, -0.0023, 0.000100
436, -21.6818, -0.0038, 0.000100
437, -19.6136, -0.0039, 0.000100
438, -20.7955, -0.0018, 0.000100
439, -21.7045, -0.0013, 0.000100
440, -17.5000, -0.0027, 0.000100
441, -25.8182, 0.0023, 0.000100
442, -22.0000, -0.0008, 0.000100
443, -22.0682, -0.0006, 0.000100
444, -20.5682, -0.0034, 0.000100
445, -23.3333, 0.0006, 0.000100
446, -22.2558, -0.0010, 0.000100
447, -22.8409, -0.0002, 0.000100
448, -21.1364, 0.0015, 0.000100
449, -23.4773, 0.0015, 0.000100
450, -17.2727, -0.0041, 0.000100
451, -22.1364, 0.0005, 0.000100
452, -30.2045, 0.0037, 0.000100
453, -21.8864, 0.0001, 0.000100
454, -24.0227, 0.0003, 0.000100
455, -20.8409, -0.0023, 0.000100
456, -18.6818, -0.0034, 0.000100
457, -23.3864, 0.0012, 0.000100
458, -19.4545, -0.0007, 0.000100
459, -24.8182, 0.0033, 0.000100
460, -19.2955, -0.0042, 0.000100
461, -21.1136, 0.0011, 0.000100
462, -19.5909, -0.0018, 0.000100
463, -21.0682, -0.0007, 0.000100
464, -22.7045, 0.0007, 0.000100
465, -29.9545, 0.0048, 0.000100
466, -27.8636, 0.0015, 0.000100
467, -22.4419, -0.0008, 0.000100
468, -19.2727, -0.0039, 0.000100
469, -24.5909, -0.0002, 0.000100
470, -22.0682, 0.0008, 0.000100
471, -19.1591, -0.0032, 0.000100
472, -21.8182, -0.0022, 0.000100
473, -25.3636, 0.0018, 0.000100
474, -26.4545, 0.0005, 0.000100
475, -20.3636, -0.0022, 0.000100
476, -20.5455, -0.0015, 0.000100
477, -27.5000, 0.0011, 0.000100
478, -23.3864, 0.0010, 0.000100
479, -24.7955, 0.0029, 0.000100
480, -23.3182, -0.0027, 0.000100
481, -19.7727, -0.0028, 0.000100
482, -23.4091, -0.0021, 0.000100
483, -23.8182, -0.0019, 0.000100
484, -28.1136, 0.0013, 0.000100
485, -24.5349, -0.0020, 0.000100
486, -23.5227, -0.0029, 0.000100
487, -20.8409, -0.0030, 0.000100
488, -21.8864, -0.0003, 0.000100
489, -23.2045, -0.0012, 0.000100
490, -19.9091, -0.0043, 0.000100
491, -24.3409, -0.0028, 0.000100
492, -19.6591, -0.0022, 0.000100
493, -24.8636, -0.0008, 0.000100
494, -26.5455, 0.0009, 0.000100
495, -23.7045, -0.0013, 0.000100
496, -28.4091, 0.0012, 0.000100
497, -21.8636, -0.0028, 0.000100
498, -23.6364, 0.0011, 0.000100
499, -21.7727, -0.0032, 0.000100
500, -24.4318, 0.0012, 0.000100
501, -21.6364, -0.0028, 0.000100
502, -22.3409, -0.0035, 0.000100
503, -20.3409, -0.0050, 0.000100
504, -20.7273, -0.0007, 0.000100
505, -29.4545, 0.0025, 0.000100
506, -24.4773, -0.0001, 0.000100
507, -22.3636, -0.0016, 0.000100
508, -22.0227, -0.0016, 0.000100
509, -24.0455, -0.0025, 0.000100
510, -21.5682, -0.0002, 0.000100
511, -21.9091, -0.0034, 0.000100
512, -20.0682, -0.0018, 0.000100
513, -26.7045, -0.0002, 0.000100
514, -20.6364, -0.0014, 0.000100
515, -26.0682, -0.0020, 0.000100
516, -23.7045, -0.0010, 0.000100
517, -21.1136, -0.0026, 0.000100
518, -22.3409, -0.0007, 0.000100
519, -21.0000, -0.0024, 0.000100
520, -22.1136, -0.0030, 0.000100
521, -23.0909, -0.0032, 0.000100
522, -22.3636, -0.0021, 0.000100
523, -22.5000, -0.0005, 0.000100
524, -18.4545, -0.0034, 0.000100
525, -23.6136, 0.0018, 0.000100
526, -21.6136, -0.0021, 0.000100
527, -17.9545, -0.0035, 0.000100
528, -20.3864, -0.0001, 0.000100
529, -20.4318, -0.0015, 0.000100
530, -26.6364, 0.0020, 0.000100
531, -21.7045, 0.0001, 0.000100
532, -26.1364, 0.0020, 0.000100
533, -21.5227, -0.0018, 0.000100
534, -19.0000, -0.0008, 0.000100
535, -21.7500, 0.0002, 0.000100
536, -18.3409, -0.0018, 0.000100
537, -21.2727, 0.0003, 0.000100
538, -22.8636, 0.0018, 0.000100
539, -25.1860, 0.0012, 0.000100
540, -23.8864, -0.0020, 0.000100
541, -26.3333, 0.0008, 0.000100
542, -20.8409, -0.0024, 0.000100
543, -21.8409, -0.0009, 0.000100
544, -21.6818, -0.0021, 0.000100
545, -22.7500, -0.0012, 0.000100
546, -20.8636, -0.0015, 0.000100
547, -19.5682, -0.0034, 0.000100
548, -21.3636, -0.0004, 0.000100
549, -22.7045, 0.0005, 0.000100
550, -20.9091, 0.0022, 0.000100
551, -21.2273, 0.0001, 0.000100
552, -18.5682, -0.0042, 0.000100
553, -28.5682, 0.0048, 0.000100
554, -21.2955, -0.0010, 0.000100
555, -19.4651, -0.0034, 0.000100
556, -17.3182, -0.0035, 0.000100
557, -18.9318, -0.0034, 0.000100
558, -18.6818, -0.0002, 0.000100
559, -20.8182, -0.0011, 0.000100
560, -21.2045, -0.0012, 0.000100
561, -21.4884, -0.0016, 0.000100
562, -19.2727, -0.0022, 0.000100
563, -19.2045, -0.0041, 0.000100
564, -20.5682, 0.0014, 0.000100
565, -21.6591, -0.0022, 0.000100
566, -26.9091, 0.0013, 0.000100
567, -22.2045, -0.0027, 0.000100
568, -24.4091, 0.0005, 0.000100
569, -24.8864, 0.0011, 0.000100
570, -19.6818, -0.0028, 0.000100
571, -24.0909, 0.0012, 0.000100
572, -18.7045, -0.0022, 0.000100
573, -22.7273, -0.0008, 0.000100
574, -18.9318, -0.0027, 0.000100
575, -21.2727, 0.0002, 0.000100
576, -18.1591, -0.0015, 0.000100
577, -24.8810, 0.0008, 0.000100
578, -20.7955, -0.0019, 0.000100
579, -19.6818, -0.0020, 0.000100
580, -20.2500, -0.0048, 0.000100
581, -25.4773, 0.0024, 0.000100
582, -22.3571, -0.0025, 0.000100
583, -23.1591, 0.0017, 0.000100
584, -22.7500, -0.0001, 0.000100
585, -23.0455, 0.0004, 0.000100
586, -19.7500, -0.0017, 0.000100
587, -20.4773, -0.0020, 0.000100
588, -22.5909, -0.0034, 0.000100
589, -26.0000, 0.0006, 0.000100
590, -25.5000, 0.0025, 0.000100
591, -22.3409, -0.0023, 0.000100
592, -23.5682, -0.0014, 0.000100
593, -24.2727, -0.0015, 0.000100
594, -20.3864, -0.0047, 0.000100
595, -22.3864, -0.0020, 0.000100
596, -24.2955, -0.0013, 0.000100
597, -24.9302, 0.0016, 0.000100
598, -24.9091, -0.0010, 0.000100
599, -27.3864, -0.0003, 0.000100
600, -21.8837, -0.0041, 0.000100
601, -20.6591, -0.0027, 0.000100
602, -19.1136, -0.0044, 0.000100
603, -24.3333, 0.0014, 0.000100
604, -21.3636, -0.0009, 0.000100
605, -24.7500, 0.0026, 0.000100
606, -19.9773, -0.0024, 0.000100
607, -21.7955, -0.0012, 0.000100
608, -19.2500, -0.0034, 0.000100
609, -23.3636, -0.0010, 0.000100
610, -21.4091, 0.0008, 0.000100
611, -22.5227, -0.0008, 0.000100
612, -23.4773, -0.0018, 0.000100
613, -22.0233, -0.0012, 0.000100
614, -24.2727, 0.0040, 0.000100
615, -20.3409, -0.0000, 0.000100
616, -23.0455, 0.0011, 0.000100
617, -23.0909, 0.0002, 0.000100
618, -21.7045, -0.0028, 0.000100
619, -27.1136, 0.0017, 0.000100
620, -23.1136, -0.0016, 0.000100
621, -24.7727, 0.0016, 0.000100
622, -20.6364, -0.0046, 0.000100
623, -17.8636, -0.0066, 0.000100
624, -20.7045, -0.0023, 0.000100
625, -23.2045, -0.0001, 0.000100
626, -23.5455, -0.0003, 0.000100
627, -25.7045, 0.0000, 0.000100
628, -23.1591, 0.0030, 0.000100
629, -23.5455, -0.0015, 0.000100
630, -20.0682, -0.0039, 0.000100
631, -24.4545, 0.0032, 0.000100
632, -21.3409, -0.0015, 0.000100
633, -19.7955, -0.0005, 0.000100
634, -24.4773, 0.0006, 0.000100
