episode, reward, loss, lr
1, -25.6136, 0.0201, 0.000100
2, -23.7500, 0.0158, 0.000100
3, -22.9318, 0.0138, 0.000100
4, -25.7045, 0.0124, 0.000100
5, -25.0000, 0.0078, 0.000100
6, -22.3864, 0.0043, 0.000100
7, -21.2045, 0.0063, 0.000100
8, -20.7955, 0.0001, 0.000100
9, -24.3721, 0.0027, 0.000100
10, -25.3721, 0.0046, 0.000100
11, -23.8864, -0.0004, 0.000100
12, -22.2727, 0.0002, 0.000100
13, -24.7907, 0.0011, 0.000100
14, -20.8409, -0.0005, 0.000100
15, -20.0000, -0.0051, 0.000100
16, -22.4545, -0.0016, 0.000100
17, -23.5682, 0.0001, 0.000100
18, -22.7955, 0.0002, 0.000100
19, -27.5227, 0.0036, 0.000100
20, -21.0682, 0.0012, 0.000100
21, -21.4545, 0.0007, 0.000100
22, -25.5000, 0.0017, 0.000100
23, -27.0682, 0.0049, 0.000100
24, -24.7727, 0.0007, 0.000100
25, -26.7442, 0.0015, 0.000100
26, -23.0233, -0.0003, 0.000100
27, -23.0682, -0.0016, 0.000100
28, -20.7955, -0.0006, 0.000100
29, -26.4545, 0.0045, 0.000100
30, -22.3409, 0.0010, 0.000100
31, -21.0000, 0.0009, 0.000100
32, -19.3182, -0.0005, 0.000100
33, -22.6591, -0.0010, 0.000100
34, -22.7500, 0.0003, 0.000100
35, -21.0000, 0.0007, 0.000100
36, -22.8409, 0.0005, 0.000100
37, -22.2727, 0.0002, 0.000100
38, -21.6364, -0.0008, 0.000100
39, -22.0682, 0.0024, 0.000100
40, -20.2500, 0.0024, 0.000100
41, -23.5455, 0.0012, 0.000100
42, -25.1591, 0.0025, 0.000100
43, -20.3864, 0.0009, 0.000100
44, -25.5116, 0.0034, 0.000100
45, -21.7955, 0.0005, 0.000100
46, -23.5227, -0.0001, 0.000100
47, -26.1860, 0.0039, 0.000100
48, -25.8333, 0.0006, 0.000100
49, -26.2619, 0.0015, 0.000100
50, -21.7727, -0.0016, 0.000100
51, -17.6136, -0.0020, 0.000100
52, -24.7727, 0.0029, 0.000100
53, -22.5000, -0.0008, 0.000100
54, -23.7955, 0.0036, 0.000100
55, -21.7045, 0.0001, 0.000100
56, -26.2955, 0.0029, 0.000100
57, -24.4545, 0.0002, 0.000100
58, -22.5682, -0.0007, 0.000100
59, -21.6364, -0.0025, 0.000100
60, -20.5909, -0.0011, 0.000100
61, -24.4091, 0.0008, 0.000100
62, -23.2955, -0.0014, 0.000100
63, -19.8864, -0.0034, 0.000100
64, -25.2955, 0.0017, 0.000100
65, -25.2955, 0.0019, 0.000100
66, -20.0682, -0.0031, 0.000100
67, -24.1591, 0.0048, 0.000100
68, -19.4545, -0.0022, 0.000100
69, -21.9545, -0.0016, 0.000100
70, -18.1818, -0.0018, 0.000100
71, -25.4318, 0.0021, 0.000100
72, -21.0682, 0.0011, 0.000100
73, -22.5455, 0.0007, 0.000100
74, -25.7273, 0.0033, 0.000100
75, -24.4318, 0.0016, 0.000100
76, -21.6818, 0.0017, 0.000100
77, -20.2955, 0.0001, 0.000100
78, -25.6818, 0.0041, 0.000100
79, -24.9545, 0.0020, 0.000100
80, -23.3636, 0.0003, 0.000100
81, -19.8409, -0.0004, 0.000100
82, -22.1364, 0.0011, 0.000100
83, -20.7500, -0.0002, 0.000100
84, -22.4091, 0.0028, 0.000100
85, -16.1136, -0.0032, 0.000100
86, -19.2045, -0.0012, 0.000100
87, -22.3409, 0.0006, 0.000100
88, -18.1818, -0.0010, 0.000100
89, -22.5227, 0.0009, 0.000100
90, -23.1591, 0.0032, 0.000100
91, -22.6818, -0.0009, 0.000100
92, -21.6364, -0.0011, 0.000100
93, -20.5455, 0.0013, 0.000100
94, -22.7273, 0.0032, 0.000100
95, -18.8864, -0.0017, 0.000100
96, -18.5455, -0.0006, 0.000100
97, -20.8636, 0.0001, 0.000100
98, -20.3864, 0.0014, 0.000100
99, -20.7727, 0.0018, 0.000100
100, -20.6136, 0.0012, 0.000100
101, -18.2727, -0.0013, 0.000100
102, -19.4091, 0.0017, 0.000100
103, -21.6591, -0.0005, 0.000100
104, -20.3864, 0.0035, 0.000100
105, -24.4318, 0.0014, 0.000100
106, -22.7273, 0.0019, 0.000100
107, -24.0682, 0.0023, 0.000100
108, -24.2955, 0.0007, 0.000100
109, -21.2045, 0.0016, 0.000100
110, -24.7955, 0.0017, 0.000100
111, -19.3636, -0.0031, 0.000100
112, -26.4545, 0.0004, 0.000100
113, -22.0000, 0.0011, 0.000100
114, -22.3182, -0.0029, 0.000100
115, -21.7727, -0.0005, 0.000100
116, -18.6364, -0.0026, 0.000100
117, -22.8636, -0.0005, 0.000100
118, -19.5682, -0.0008, 0.000100
119, -20.6591, -0.0011, 0.000100
120, -20.0714, -0.0017, 0.000100
121, -21.0909, 0.0025, 0.000100
122, -15.0909, -0.0033, 0.000100
123, -24.2045, 0.0028, 0.000100
124, -17.7907, -0.0010, 0.000100
125, -23.9302, 0.0042, 0.000100
126, -18.3409, -0.0015, 0.000100
127, -21.2727, -0.0004, 0.000100
128, -18.5000, -0.0002, 0.000100
129, -19.2500, 0.0000, 0.000100
130, -20.7727, -0.0008, 0.000100
131, -26.1818, 0.0020, 0.000100
132, -21.8864, -0.0012, 0.000100
133, -18.9545, -0.0016, 0.000100
134, -19.9318, 0.0004, 0.000100
135, -21.9535, -0.0003, 0.000100
136, -18.1364, -0.0022, 0.000100
137, -22.3864, 0.0027, 0.000100
138, -24.7273, 0.0012, 0.000100
139, -21.9773, 0.0016, 0.000100
140, -16.6591, -0.0026, 0.000100
141, -21.9545, 0.0019, 0.000100
142, -16.2727, -0.0016, 0.000100
143, -26.0909, 0.0028, 0.000100
144, -20.6364, 0.0005, 0.000100
145, -19.4545, 0.0002, 0.000100
146, -22.8182, 0.0018, 0.000100
147, -21.7045, 0.0011, 0.000100
148, -21.7727, -0.0014, 0.000100
149, -21.5227, -0.0019, 0.000100
150, -21.4773, 0.0012, 0.000100
151, -20.3636, -0.0007, 0.000100
152, -18.9091, -0.0009, 0.000100
153, -18.2045, 0.0010, 0.000100
154, -22.7500, 0.0019, 0.000100
155, -17.1163, -0.0016, 0.000100
156, -19.9318, 0.0006, 0.000100
157, -21.3864, 0.0033, 0.000100
158, -20.1136, 0.0028, 0.000100
159, -23.1628, 0.0032, 0.000100
160, -21.6190, 0.0032, 0.000100
161, -18.4318, 0.0011, 0.000100
162, -22.4545, 0.0018, 0.000100
163, -19.8182, 0.0013, 0.000100
164, -20.4318, 0.0001, 0.000100
165, -21.0000, 0.0016, 0.000100
166, -21.4318, 0.0013, 0.000100
167, -19.7273, 0.0011, 0.000100
168, -19.8864, -0.0002, 0.000100
169, -20.7442, 0.0009, 0.000100
170, -17.9773, -0.0002, 0.000100
171, -18.7500, 0.0008, 0.000100
172, -21.7045, 0.0018, 0.000100
173, -22.3864, 0.0014, 0.000100
174, -18.7955, -0.0003, 0.000100
175, -23.1136, 0.0038, 0.000100
176, -18.5682, -0.0006, 0.000100
177, -25.2045, 0.0024, 0.000100
178, -18.2955, -0.0024, 0.000100
179, -22.4773, 0.0025, 0.000100
180, -18.7500, -0.0011, 0.000100
181, -16.4318, -0.0016, 0.000100
182, -22.9524, 0.0014, 0.000100
183, -25.0909, 0.0023, 0.000100
184, -19.0455, -0.0011, 0.000100
185, -17.5682, -0.0016, 0.000100
186, -18.6591, -0.0008, 0.000100
187, -23.2381, 0.0012, 0.000100
188, -20.5000, 0.0003, 0.000100
189, -21.3023, 0.0027, 0.000100
190, -19.5227, 0.0010, 0.000100
191, -19.0682, -0.0007, 0.000100
192, -20.7500, 0.0004, 0.000100
193, -21.0909, -0.0017, 0.000100
194, -15.9091, -0.0023, 0.000100
195, -23.7273, 0.0010, 0.000100
196, -18.3864, -0.0002, 0.000100
197, -20.3409, -0.0017, 0.000100
198, -22.1136, 0.0019, 0.000100
199, -17.9545, -0.0025, 0.000100
200, -20.1818, -0.0017, 0.000100
201, -17.9545, -0.0021, 0.000100
202, -22.0000, 0.0014, 0.000100
203, -20.7273, 0.0002, 0.000100
204, -20.0227, 0.0007, 0.000100
205, -17.9302, 0.0007, 0.000100
206, -20.8140, 0.0020, 0.000100
207, -20.9545, 0.0022, 0.000100
208, -18.9091, 0.0012, 0.000100
209, -20.5455, 0.0014, 0.000100
210, -23.8182, 0.0015, 0.000100
211, -18.3864, -0.0002, 0.000100
212, -19.4091, -0.0009, 0.000100
213, -18.0000, -0.0001, 0.000100
214, -19.3182, 0.0009, 0.000100
215, -22.8864, 0.0032, 0.000100
216, -21.2273, 0.0019, 0.000100
217, -19.2727, -0.0003, 0.000100
218, -19.0909, 0.0001, 0.000100
219, -22.2273, 0.0033, 0.000100
220, -21.9318, 0.0008, 0.000100
221, -21.3182, 0.0006, 0.000100
222, -21.7955, 0.0021, 0.000100
223, -20.6364, 0.0016, 0.000100
224, -21.1364, 0.0006, 0.000100
225, -21.8409, 0.0007, 0.000100
226, -23.3409, 0.0052, 0.000100
227, -18.7955, -0.0014, 0.000100
228, -18.2500, -0.0024, 0.000100
229, -18.6136, 0.0002, 0.000100
230, -18.1591, -0.0018, 0.000100
231, -21.1364, -0.0009, 0.000100
232, -22.4773, 0.0032, 0.000100
233, -18.2727, -0.0024, 0.000100
234, -22.7045, -0.0002, 0.000100
235, -23.0909, 0.0015, 0.000100
236, -21.1364, 0.0007, 0.000100
237, -21.0682, -0.0024, 0.000100
238, -15.7955, -0.0039, 0.000100
239, -28.1818, 0.0030, 0.000100
240, -22.6591, 0.0024, 0.000100
241, -20.2727, 0.0024, 0.000100
242, -20.9773, -0.0005, 0.000100
243, -21.2273, 0.0022, 0.000100
244, -21.4091, -0.0002, 0.000100
245, -21.7500, 0.0033, 0.000100
246, -17.3864, -0.0005, 0.000100
247, -21.0000, 0.0033, 0.000100
248, -20.1136, 0.0033, 0.000100
249, -21.5909, 0.0026, 0.000100
250, -20.5909, 0.0010, 0.000100
251, -21.6591, -0.0002, 0.000100
252, -20.3409, 0.0008, 0.000100
253, -23.8864, 0.0025, 0.000100
254, -19.3636, 0.0000, 0.000100
255, -25.4545, 0.0038, 0.000100
256, -19.0227, -0.0009, 0.000100
257, -20.6364, 0.0021, 0.000100
258, -19.5227, 0.0015, 0.000100
259, -20.6591, 0.0011, 0.000100
260, -16.5000, -0.0014, 0.000100
261, -21.0952, 0.0027, 0.000100
262, -23.2093, 0.0027, 0.000100
263, -18.5909, 0.0005, 0.000100
264, -22.5455, 0.0016, 0.000100
265, -18.6591, -0.0016, 0.000100
266, -17.8864, -0.0017, 0.000100
267, -20.3409, -0.0005, 0.000100
268, -23.2500, 0.0016, 0.000100
269, -20.6818, 0.0013, 0.000100
270, -17.2045, -0.0024, 0.000100
271, -17.5227, -0.0026, 0.000100
272, -18.8409, 0.0024, 0.000100
273, -15.5227, -0.0013, 0.000100
274, -21.8409, 0.0008, 0.000100
275, -20.0909, -0.0018, 0.000100
276, -20.5682, 0.0009, 0.000100
277, -20.6591, -0.0000, 0.000100
278, -17.0227, -0.0013, 0.000100
279, -20.1818, 0.0010, 0.000100
280, -20.5455, -0.0005, 0.000100
281, -20.4318, 0.0004, 0.000100
282, -16.7727, -0.0025, 0.000100
283, -17.3864, -0.0001, 0.000100
284, -19.2500, 0.0011, 0.000100
285, -17.8409, -0.0025, 0.000100
286, -21.1395, 0.0006, 0.000100
287, -22.4545, 0.0009, 0.000100
288, -20.1136, 0.0016, 0.000100
289, -18.3636, -0.0020, 0.000100
290, -19.8182, 0.0021, 0.000100
291, -19.4545, 0.0021, 0.000100
292, -19.3636, 0.0007, 0.000100
293, -19.5000, 0.0001, 0.000100
294, -20.7727, -0.0002, 0.000100
295, -18.1818, -0.0027, 0.000100
296, -19.0465, -0.0017, 0.000100
297, -19.3023, 0.0005, 0.000100
298, -21.6818, 0.0015, 0.000100
299, -18.4545, -0.0021, 0.000100
300, -22.3636, 0.0043, 0.000100
301, -21.3409, 0.0003, 0.000100
302, -17.9545, -0.0024, 0.000100
303, -16.7500, -0.0015, 0.000100
304, -19.4318, -0.0002, 0.000100
305, -18.0455, -0.0020, 0.000100
306, -18.5682, -0.0007, 0.000100
307, -16.8864, -0.0022, 0.000100
308, -21.5682, 0.0002, 0.000100
309, -22.4318, 0.0036, 0.000100
310, -19.7727, -0.0011, 0.000100
311, -17.2500, -0.0019, 0.000100
312, -20.0455, 0.0037, 0.000100
313, -19.4091, 0.0012, 0.000100
314, -16.7045, 0.0032, 0.000100
315, -19.1136, -0.0001, 0.000100
316, -20.3409, 0.0031, 0.000100
317, -21.0000, 0.0037, 0.000100
318, -20.0909, -0.0006, 0.000100
319, -17.8409, -0.0006, 0.000100
320, -17.9318, 0.0003, 0.000100
321, -17.9773, 0.0011, 0.000100
322, -21.3182, 0.0015, 0.000100
323, -18.0909, 0.0005, 0.000100
324, -21.9091, 0.0001, 0.000100
325, -22.6136, 0.0009, 0.000100
326, -17.8636, -0.0017, 0.000100
327, -19.4318, -0.0014, 0.000100
328, -21.6818, 0.0013, 0.000100
329, -16.6591, -0.0012, 0.000100
330, -25.1136, 0.0033, 0.000100
331, -16.0714, -0.0043, 0.000100
332, -18.8864, -0.0018, 0.000100
333, -20.1364, -0.0000, 0.000100
334, -18.5952, -0.0022, 0.000100
335, -20.2727, -0.0001, 0.000100
336, -19.3488, -0.0010, 0.000100
337, -18.7907, -0.0010, 0.000100
338, -17.7045, 0.0004, 0.000100
339, -18.2727, -0.0005, 0.000100
340, -19.0455, 0.0008, 0.000100
341, -19.6429, 0.0005, 0.000100
342, -18.0465, 0.0003, 0.000100
343, -18.5227, -0.0000, 0.000100
344, -18.1591, -0.0003, 0.000100
