episode, reward, loss, lr
1, -18.3182, 0.0136, 0.000100
2, -19.5455, 0.0138, 0.000100
3, -25.5455, 0.0149, 0.000100
4, -19.7273, 0.0082, 0.000100
5, -23.9318, 0.0109, 0.000100
6, -21.3409, 0.0031, 0.000100
7, -22.9545, 0.0036, 0.000100
8, -23.2326, 0.0032, 0.000100
9, -25.4773, 0.0050, 0.000100
10, -22.2727, 0.0007, 0.000100
11, -24.7045, 0.0009, 0.000100
12, -21.4545, -0.0014, 0.000100
13, -24.1136, 0.0048, 0.000100
14, -19.8864, 0.0009, 0.000100
15, -19.5814, -0.0003, 0.000100
16, -22.7273, -0.0013, 0.000100
17, -18.6591, -0.0013, 0.000100
18, -22.7727, 0.0010, 0.000100
19, -21.5814, -0.0017, 0.000100
20, -21.4091, -0.0005, 0.000100
21, -23.3182, -0.0009, 0.000100
22, -19.6364, -0.0014, 0.000100
23, -25.0000, 0.0014, 0.000100
24, -20.8864, -0.0002, 0.000100
25, -21.4545, 0.0004, 0.000100
26, -23.8837, 0.0032, 0.000100
27, -21.2955, 0.0013, 0.000100
28, -23.0682, 0.0041, 0.000100
29, -22.0227, 0.0016, 0.000100
30, -22.5000, 0.0029, 0.000100
31, -21.5455, 0.0028, 0.000100
32, -24.2955, 0.0028, 0.000100
33, -26.5227, 0.0050, 0.000100
34, -21.3488, -0.0000, 0.000100
35, -28.0455, 0.0049, 0.000100
36, -22.8182, 0.0020, 0.000100
37, -19.3256, -0.0021, 0.000100
38, -23.0455, 0.0022, 0.000100
39, -18.7727, -0.0030, 0.000100
40, -23.0000, 0.0044, 0.000100
41, -23.9773, 0.0015, 0.000100
42, -22.3636, 0.0005, 0.000100
43, -21.4318, 0.0020, 0.000100
44, -23.7209, 0.0017, 0.000100
45, -20.3636, -0.0004, 0.000100
46, -23.0000, 0.0024, 0.000100
47, -24.1364, 0.0020, 0.000100
48, -26.5909, 0.0020, 0.000100
49, -22.3636, -0.0016, 0.000100
50, -23.3636, -0.0014, 0.000100
51, -26.1395, 0.0022, 0.000100
52, -26.6136, -0.0002, 0.000100
53, -18.0227, -0.0040, 0.000100
54, -20.2500, -0.0001, 0.000100
55, -27.4651, 0.0019, 0.000100
56, -19.2500, -0.0005, 0.000100
57, -25.2727, 0.0027, 0.000100
58, -24.2955, -0.0002, 0.000100
59, -22.7045, -0.0007, 0.000100
60, -19.0909, -0.0030, 0.000100
61, -22.4318, 0.0012, 0.000100
62, -20.0000, -0.0003, 0.000100
63, -21.1364, -0.0001, 0.000100
64, -22.9091, -0.0010, 0.000100
65, -25.5000, 0.0018, 0.000100
66, -21.2955, 0.0005, 0.000100
67, -24.3409, 0.0003, 0.000100
68, -18.3636, -0.0008, 0.000100
69, -21.8864, -0.0017, 0.000100
70, -24.4091, 0.0006, 0.000100
71, -23.5000, 0.0004, 0.000100
72, -16.5682, -0.0035, 0.000100
73, -23.6364, 0.0020, 0.000100
74, -23.0227, 0.0002, 0.000100
75, -24.1364, 0.0023, 0.000100
76, -21.2500, -0.0006, 0.000100
77, -22.2791, -0.0006, 0.000100
78, -17.9545, -0.0016, 0.000100
79, -22.0455, 0.0002, 0.000100
80, -22.1364, 0.0010, 0.000100
81, -22.8864, 0.0016, 0.000100
82, -18.6364, -0.0007, 0.000100
83, -22.7500, 0.0009, 0.000100
84, -20.1591, 0.0005, 0.000100
85, -20.3636, -0.0001, 0.000100
86, -18.8636, -0.0025, 0.000100
87, -22.9773, 0.0026, 0.000100
88, -23.1591, 0.0021, 0.000100
89, -20.4545, 0.0014, 0.000100
90, -24.7955, 0.0030, 0.000100
91, -20.4773, -0.0002, 0.000100
92, -25.0455, 0.0013, 0.000100
93, -22.5000, -0.0016, 0.000100
94, -23.1591, 0.0016, 0.000100
95, -22.0455, -0.0001, 0.000100
96, -18.9773, -0.0024, 0.000100
97, -23.6591, 0.0010, 0.000100
98, -24.0909, 0.0039, 0.000100
99, -23.6364, 0.0030, 0.000100
100, -18.3864, -0.0048, 0.000100
101, -20.6364, -0.0003, 0.000100
102, -19.9091, -0.0008, 0.000100
103, -22.4773, 0.0010, 0.000100
104, -25.2791, 0.0031, 0.000100
105, -23.7500, -0.0000, 0.000100
106, -21.9545, 0.0010, 0.000100
107, -24.0909, 0.0015, 0.000100
108, -20.9318, 0.0006, 0.000100
109, -20.0000, -0.0010, 0.000100
110, -21.7500, -0.0001, 0.000100
111, -21.6591, 0.0021, 0.000100
112, -18.9091, 0.0000, 0.000100
113, -20.2273, -0.0001, 0.000100
114, -23.3636, 0.0047, 0.000100
115, -22.1364, 0.0012, 0.000100
116, -19.4773, -0.0011, 0.000100
117, -22.2727, 0.0017, 0.000100
118, -20.1818, -0.0002, 0.000100
119, -21.4091, -0.0006, 0.000100
120, -17.7727, -0.0020, 0.000100
121, -23.8409, 0.0008, 0.000100
122, -22.4773, -0.0004, 0.000100
123, -22.4773, -0.0002, 0.000100
124, -20.1364, 0.0003, 0.000100
125, -25.1591, 0.0031, 0.000100
126, -18.1818, -0.0017, 0.000100
127, -21.2045, -0.0016, 0.000100
128, -21.8409, 0.0006, 0.000100
129, -21.9318, 0.0012, 0.000100
130, -26.6818, 0.0048, 0.000100
131, -20.8182, -0.0004, 0.000100
132, -24.9773, 0.0029, 0.000100
133, -20.3636, 0.0002, 0.000100
