episode, reward, loss, lr
1, -24.1364, 0.0185, 0.000100
2, -26.8182, 0.0176, 0.000100
3, -22.2273, 0.0129, 0.000100
4, -21.9091, 0.0135, 0.000100
5, -22.5227, 0.0086, 0.000100
6, -26.5682, 0.0075, 0.000100
7, -28.3409, 0.0068, 0.000100
8, -24.5000, 0.0034, 0.000100
9, -20.9302, -0.0015, 0.000100
10, -23.1818, 0.0002, 0.000100
11, -21.0682, 0.0024, 0.000100
12, -28.2381, 0.0068, 0.000100
13, -22.8409, 0.0006, 0.000100
14, -22.6591, -0.0008, 0.000100
15, -18.1364, -0.0023, 0.000100
16, -24.7273, 0.0018, 0.000100
17, -21.3636, -0.0034, 0.000100
18, -21.2045, -0.0023, 0.000100
19, -21.2727, 0.0004, 0.000100
20, -23.0227, 0.0012, 0.000100
21, -20.0682, -0.0025, 0.000100
22, -19.9318, 0.0005, 0.000100
23, -24.1818, 0.0016, 0.000100
24, -22.4545, -0.0019, 0.000100
25, -24.5909, -0.0006, 0.000100
26, -22.3864, 0.0018, 0.000100
27, -18.1136, -0.0034, 0.000100
28, -20.7500, -0.0014, 0.000100
29, -23.4773, 0.0023, 0.000100
30, -27.5455, 0.0027, 0.000100
31, -19.1860, -0.0038, 0.000100
32, -23.2500, 0.0020, 0.000100
33, -20.8636, -0.0001, 0.000100
34, -27.2955, 0.0014, 0.000100
35, -21.2727, -0.0001, 0.000100
36, -24.3182, 0.0025, 0.000100
37, -21.3409, 0.0005, 0.000100
38, -20.6818, 0.0032, 0.000100
39, -19.4186, -0.0019, 0.000100
40, -23.6136, 0.0022, 0.000100
41, -20.8636, 0.0007, 0.000100
42, -23.4091, 0.0021, 0.000100
43, -22.5455, 0.0011, 0.000100
44, -23.0000, 0.0003, 0.000100
45, -25.0698, 0.0043, 0.000100
46, -26.2558, 0.0040, 0.000100
47, -19.5000, -0.0021, 0.000100
48, -21.1591, 0.0012, 0.000100
49, -18.6136, -0.0011, 0.000100
50, -21.9535, 0.0052, 0.000100
51, -22.8182, 0.0040, 0.000100
52, -23.4419, 0.0046, 0.000100
53, -21.3636, 0.0015, 0.000100
54, -24.4318, 0.0026, 0.000100
55, -20.9545, 0.0017, 0.000100
56, -21.5682, 0.0002, 0.000100
57, -22.1591, 0.0029, 0.000100
58, -24.9535, 0.0024, 0.000100
59, -25.2727, 0.0015, 0.000100
60, -21.4318, 0.0020, 0.000100
61, -18.7045, -0.0020, 0.000100
62, -18.0227, -0.0001, 0.000100
63, -19.9318, 0.0009, 0.000100
64, -17.8864, 0.0002, 0.000100
65, -24.0682, 0.0010, 0.000100
66, -20.3409, 0.0004, 0.000100
67, -23.9318, 0.0019, 0.000100
68, -25.4318, 0.0015, 0.000100
69, -25.2791, 0.0017, 0.000100
70, -21.7500, 0.0028, 0.000100
71, -17.3636, -0.0036, 0.000100
72, -19.1364, 0.0002, 0.000100
73, -20.1818, 0.0013, 0.000100
74, -22.2955, 0.0027, 0.000100
75, -24.3636, 0.0027, 0.000100
76, -19.5000, 0.0002, 0.000100
77, -19.8182, -0.0008, 0.000100
78, -27.6591, 0.0057, 0.000100
79, -22.4419, 0.0010, 0.000100
80, -29.0909, 0.0045, 0.000100
81, -23.3636, 0.0003, 0.000100
82, -23.2500, -0.0002, 0.000100
83, -23.1818, 0.0019, 0.000100
84, -15.3182, -0.0038, 0.000100
85, -23.8864, 0.0011, 0.000100
86, -22.0909, 0.0023, 0.000100
87, -23.4318, 0.0040, 0.000100
88, -20.0227, 0.0010, 0.000100
89, -18.4773, -0.0013, 0.000100
90, -20.4545, 0.0004, 0.000100
91, -18.3864, -0.0025, 0.000100
92, -22.2500, 0.0017, 0.000100
