episode, reward, loss, lr
1, -21.2955, 0.0144, 0.000100
2, -21.7727, 0.0140, 0.000100
3, -23.3182, 0.0137, 0.000100
4, -29.0000, 0.0146, 0.000100
5, -23.6818, 0.0060, 0.000100
6, -23.8864, 0.0062, 0.000100
7, -19.8864, 0.0043, 0.000100
8, -26.5682, 0.0050, 0.000100
9, -22.4545, 0.0030, 0.000100
10, -21.2273, 0.0002, 0.000100
11, -24.7955, 0.0009, 0.000100
12, -24.3488, -0.0012, 0.000100
13, -25.4318, -0.0003, 0.000100
14, -20.9773, -0.0023, 0.000100
15, -24.6136, 0.0039, 0.000100
16, -23.2045, 0.0046, 0.000100
17, -22.0909, 0.0001, 0.000100
18, -22.4318, 0.0030, 0.000100
19, -24.5682, 0.0017, 0.000100
20, -26.1667, 0.0035, 0.000100
21, -27.5455, 0.0041, 0.000100
22, -30.3864, 0.0037, 0.000100
23, -22.7727, -0.0013, 0.000100
24, -24.7273, -0.0021, 0.000100
25, -23.7273, -0.0007, 0.000100
26, -22.0000, -0.0045, 0.000100
27, -29.0000, -0.0007, 0.000100
28, -26.6136, 0.0014, 0.000100
29, -25.1364, -0.0015, 0.000100
30, -24.5909, -0.0009, 0.000100
31, -21.4773, 0.0009, 0.000100
32, -22.9318, 0.0027, 0.000100
33, -26.4773, 0.0036, 0.000100
34, -23.2500, 0.0006, 0.000100
35, -22.9318, 0.0022, 0.000100
36, -26.8409, 0.0062, 0.000100
37, -26.7500, 0.0042, 0.000100
38, -28.3182, 0.0040, 0.000100
39, -26.2857, 0.0014, 0.000100
40, -26.1591, 0.0023, 0.000100
41, -21.1136, 0.0005, 0.000100
42, -21.9091, 0.0012, 0.000100
43, -23.9773, 0.0021, 0.000100
44, -21.3409, -0.0011, 0.000100
45, -24.6818, 0.0027, 0.000100
46, -19.4318, -0.0014, 0.000100
47, -23.7500, 0.0029, 0.000100
48, -22.3636, 0.0024, 0.000100
49, -25.3256, 0.0041, 0.000100
50, -26.7727, 0.0030, 0.000100
51, -20.8182, -0.0006, 0.000100
52, -20.9545, 0.0013, 0.000100
53, -20.9302, -0.0007, 0.000100
54, -23.4545, 0.0035, 0.000100
55, -21.4773, -0.0012, 0.000100
56, -24.3182, 0.0042, 0.000100
57, -25.0000, 0.0031, 0.000100
58, -24.4773, -0.0001, 0.000100
59, -23.6818, 0.0000, 0.000100
60, -25.2273, 0.0008, 0.000100
61, -21.0455, -0.0015, 0.000100
62, -24.6136, 0.0017, 0.000100
63, -25.1364, 0.0024, 0.000100
64, -19.3864, -0.0023, 0.000100
65, -25.8182, -0.0009, 0.000100
66, -23.0909, 0.0015, 0.000100
67, -15.5000, -0.0044, 0.000100
68, -26.3409, 0.0088, 0.000100
69, -21.1818, -0.0012, 0.000100
70, -19.9545, -0.0022, 0.000100
71, -21.2273, 0.0008, 0.000100
72, -18.2727, -0.0025, 0.000100
73, -21.4318, -0.0008, 0.000100
74, -28.0233, 0.0026, 0.000100
75, -29.7500, 0.0051, 0.000100
76, -21.7955, -0.0000, 0.000100
