episode, reward, loss, lr
1, -21.7045, 0.0163, 0.000100
2, -22.2045, 0.0143, 0.000100
3, -19.7273, 0.0138, 0.000100
4, -19.5227, 0.0124, 0.000100
5, -25.1591, 0.0108, 0.000100
6, -30.9545, 0.0098, 0.000100
7, -20.1136, 0.0004, 0.000100
8, -21.8636, 0.0013, 0.000100
9, -21.4318, 0.0021, 0.000100
10, -20.5455, 0.0033, 0.000100
11, -22.6818, 0.0004, 0.000100
12, -23.1591, 0.0016, 0.000100
13, -25.2273, -0.0014, 0.000100
14, -23.0682, 0.0036, 0.000100
15, -22.6136, 0.0032, 0.000100
16, -23.8182, -0.0014, 0.000100
17, -19.3182, -0.0012, 0.000100
18, -22.9318, -0.0011, 0.000100
19, -24.9762, -0.0005, 0.000100
20, -23.8864, -0.0023, 0.000100
21, -23.0682, 0.0011, 0.000100
22, -23.7500, -0.0020, 0.000100
23, -16.7045, -0.0062, 0.000100
24, -22.7857, 0.0002, 0.000100
25, -25.3864, 0.0007, 0.000100
26, -24.6591, -0.0006, 0.000100
27, -21.3864, -0.0021, 0.000100
28, -21.0455, -0.0034, 0.000100
29, -23.7727, 0.0011, 0.000100
30, -31.2791, 0.0067, 0.000100
31, -23.3636, -0.0025, 0.000100
32, -20.7273, -0.0010, 0.000100
33, -25.8182, 0.0031, 0.000100
34, -17.7955, -0.0024, 0.000100
35, -22.8409, 0.0021, 0.000100
36, -25.4318, 0.0004, 0.000100
37, -26.6364, 0.0014, 0.000100
38, -22.2500, 0.0013, 0.000100
39, -26.5909, 0.0020, 0.000100
40, -17.8864, -0.0032, 0.000100
41, -24.2955, 0.0021, 0.000100
42, -25.7045, 0.0032, 0.000100
43, -22.8636, 0.0011, 0.000100
44, -26.5000, 0.0014, 0.000100
45, -21.0000, -0.0003, 0.000100
46, -16.7045, -0.0055, 0.000100
47, -19.7273, -0.0000, 0.000100
48, -24.3488, 0.0015, 0.000100
49, -21.4318, 0.0023, 0.000100
50, -19.6136, -0.0017, 0.000100
51, -20.8182, -0.0019, 0.000100
52, -26.3409, 0.0004, 0.000100
53, -20.0455, -0.0026, 0.000100
54, -22.7045, 0.0035, 0.000100
55, -25.9318, 0.0030, 0.000100
56, -22.2045, -0.0016, 0.000100
57, -20.5455, -0.0037, 0.000100
58, -24.2955, 0.0006, 0.000100
59, -21.9545, 0.0005, 0.000100
60, -22.4091, 0.0008, 0.000100
61, -21.7500, 0.0002, 0.000100
62, -24.1818, 0.0033, 0.000100
63, -21.5909, -0.0002, 0.000100
64, -30.4762, 0.0051, 0.000100
65, -25.3182, 0.0021, 0.000100
66, -24.6818, 0.0007, 0.000100
67, -24.1591, 0.0003, 0.000100
68, -29.1364, 0.0031, 0.000100
69, -23.4091, -0.0018, 0.000100
70, -22.6364, -0.0016, 0.000100
71, -28.2857, 0.0023, 0.000100
72, -27.2045, 0.0008, 0.000100
73, -19.1591, -0.0028, 0.000100
74, -18.8864, 0.0000, 0.000100
75, -19.4545, -0.0005, 0.000100
76, -19.0909, -0.0021, 0.000100
77, -20.0455, 0.0003, 0.000100
78, -23.8636, 0.0012, 0.000100
79, -24.7907, 0.0025, 0.000100
80, -24.5000, 0.0008, 0.000100
81, -25.5909, 0.0016, 0.000100
82, -18.0000, -0.0029, 0.000100
83, -21.9091, -0.0012, 0.000100
84, -25.7955, 0.0014, 0.000100
85, -20.6591, -0.0013, 0.000100
