episode, reward, loss, lr
1, -21.8182, 0.0179, 0.000100
2, -21.3182, 0.0150, 0.000100
3, -26.2955, 0.0145, 0.000100
4, -18.6364, 0.0120, 0.000100
5, -28.1591, 0.0128, 0.000100
6, -25.5682, 0.0070, 0.000100
7, -24.2273, 0.0020, 0.000100
8, -22.3864, 0.0055, 0.000100
9, -21.4091, -0.0022, 0.000100
10, -18.6818, 0.0022, 0.000100
11, -21.0000, -0.0020, 0.000100
12, -24.3864, 0.0018, 0.000100
13, -26.5000, 0.0032, 0.000100
14, -22.1136, -0.0014, 0.000100
15, -19.5909, -0.0001, 0.000100
16, -23.6364, -0.0002, 0.000100
17, -23.9773, 0.0013, 0.000100
18, -21.0682, -0.0046, 0.000100
19, -25.2955, -0.0006, 0.000100
20, -24.5909, -0.0019, 0.000100
21, -22.1591, -0.0015, 0.000100
22, -23.0682, -0.0021, 0.000100
23, -16.3182, -0.0057, 0.000100
24, -24.3636, 0.0010, 0.000100
25, -24.0227, 0.0012, 0.000100
26, -23.6364, -0.0011, 0.000100
27, -26.6591, 0.0012, 0.000100
28, -17.7727, -0.0019, 0.000100
29, -23.4091, -0.0010, 0.000100
30, -26.2045, 0.0002, 0.000100
31, -22.6818, -0.0014, 0.000100
32, -20.8864, -0.0005, 0.000100
33, -22.6818, 0.0031, 0.000100
34, -26.5455, 0.0036, 0.000100
35, -20.7273, -0.0006, 0.000100
36, -20.5455, -0.0023, 0.000100
37, -25.6136, 0.0005, 0.000100
38, -25.2093, 0.0050, 0.000100
39, -20.8864, -0.0006, 0.000100
40, -26.5455, 0.0071, 0.000100
41, -22.0455, 0.0018, 0.000100
42, -23.6591, 0.0021, 0.000100
43, -20.9773, -0.0002, 0.000100
44, -28.2381, 0.0024, 0.000100
45, -19.1591, 0.0016, 0.000100
46, -21.6364, 0.0013, 0.000100
47, -22.5000, 0.0003, 0.000100
48, -21.5227, -0.0002, 0.000100
49, -18.6136, -0.0010, 0.000100
50, -20.3409, 0.0019, 0.000100
51, -23.1364, 0.0010, 0.000100
52, -22.3256, 0.0004, 0.000100
53, -23.8182, 0.0024, 0.000100
54, -21.7500, 0.0008, 0.000100
55, -20.8182, -0.0004, 0.000100
56, -19.9091, -0.0022, 0.000100
57, -22.5455, 0.0024, 0.000100
58, -26.3864, 0.0014, 0.000100
59, -21.8864, -0.0002, 0.000100
60, -23.4318, 0.0017, 0.000100
61, -24.6364, 0.0060, 0.000100
62, -18.1818, -0.0015, 0.000100
63, -25.5116, 0.0035, 0.000100
64, -26.0455, 0.0023, 0.000100
65, -21.2558, 0.0001, 0.000100
66, -25.1136, 0.0027, 0.000100
67, -21.9545, -0.0001, 0.000100
68, -24.6667, -0.0006, 0.000100
69, -25.9318, 0.0022, 0.000100
70, -23.5682, -0.0001, 0.000100
71, -21.3409, -0.0021, 0.000100
72, -23.1818, 0.0011, 0.000100
73, -25.0698, -0.0014, 0.000100
74, -22.1818, 0.0005, 0.000100
75, -22.0227, -0.0012, 0.000100
76, -26.2500, -0.0009, 0.000100
77, -20.0000, -0.0052, 0.000100
78, -22.5000, 0.0006, 0.000100
79, -20.7045, -0.0029, 0.000100
80, -22.6591, -0.0010, 0.000100
81, -24.8182, 0.0035, 0.000100
82, -23.5000, 0.0020, 0.000100
83, -19.6364, -0.0008, 0.000100
84, -22.2045, -0.0007, 0.000100
85, -21.4091, 0.0002, 0.000100
86, -20.7273, -0.0000, 0.000100
87, -20.7273, -0.0018, 0.000100
88, -22.1818, 0.0036, 0.000100
89, -20.0682, -0.0005, 0.000100
90, -19.5455, 0.0005, 0.000100
91, -21.8333, 0.0016, 0.000100
92, -18.2045, -0.0007, 0.000100
93, -27.4318, 0.0029, 0.000100
94, -24.4773, 0.0015, 0.000100
95, -22.1136, 0.0002, 0.000100
96, -23.1136, 0.0039, 0.000100
97, -17.9773, -0.0001, 0.000100
98, -20.2727, 0.0005, 0.000100
99, -22.7045, 0.0016, 0.000100
100, -18.5909, -0.0013, 0.000100
101, -20.3953, 0.0002, 0.000100
102, -21.4545, 0.0013, 0.000100
103, -22.2045, 0.0016, 0.000100
104, -19.5000, 0.0008, 0.000100
105, -23.7273, 0.0049, 0.000100
106, -18.2727, -0.0024, 0.000100
107, -22.4318, 0.0012, 0.000100
108, -25.8409, 0.0030, 0.000100
109, -21.5682, 0.0024, 0.000100
110, -23.0698, 0.0014, 0.000100
111, -21.7955, 0.0015, 0.000100
112, -21.0000, -0.0007, 0.000100
113, -25.0714, 0.0036, 0.000100
114, -22.7500, -0.0001, 0.000100
115, -20.5227, -0.0026, 0.000100
116, -18.8182, -0.0019, 0.000100
117, -19.1364, -0.0004, 0.000100
118, -25.1591, 0.0060, 0.000100
119, -19.7857, 0.0019, 0.000100
120, -25.8182, 0.0038, 0.000100
121, -22.0227, 0.0030, 0.000100
122, -22.0227, 0.0021, 0.000100
123, -24.5682, 0.0024, 0.000100
124, -22.6818, -0.0011, 0.000100
125, -24.7045, -0.0002, 0.000100
126, -23.4773, -0.0010, 0.000100
127, -19.1591, -0.0008, 0.000100
128, -19.0909, -0.0021, 0.000100
129, -23.0909, 0.0029, 0.000100
130, -26.6364, 0.0018, 0.000100
131, -15.7619, -0.0037, 0.000100
132, -22.8409, 0.0005, 0.000100
133, -20.1364, -0.0011, 0.000100
134, -23.2500, -0.0002, 0.000100
135, -19.1818, 0.0008, 0.000100
136, -21.5000, 0.0030, 0.000100
137, -20.7045, 0.0003, 0.000100
138, -25.8182, 0.0049, 0.000100
139, -21.5227, 0.0000, 0.000100
140, -20.5455, -0.0005, 0.000100
141, -23.2500, 0.0042, 0.000100
142, -19.4884, -0.0026, 0.000100
143, -28.1136, 0.0033, 0.000100
144, -20.9091, -0.0006, 0.000100
