episode, reward, loss, lr
1, -23.5909, 0.0178, 0.000100
2, -22.9091, 0.0145, 0.000100
3, -25.7955, 0.0149, 0.000100
4, -23.6591, 0.0138, 0.000100
5, -29.8409, 0.0110, 0.000100
6, -26.0909, 0.0072, 0.000100
7, -24.2955, -0.0002, 0.000100
8, -27.2955, 0.0080, 0.000100
9, -29.4318, 0.0050, 0.000100
10, -21.2955, -0.0000, 0.000100
11, -24.5000, -0.0035, 0.000100
12, -24.4545, 0.0013, 0.000100
13, -25.2500, 0.0031, 0.000100
14, -23.5000, 0.0006, 0.000100
15, -23.7500, 0.0043, 0.000100
16, -27.5682, 0.0052, 0.000100
17, -23.3409, 0.0030, 0.000100
18, -26.9545, 0.0033, 0.000100
19, -20.0455, -0.0009, 0.000100
20, -25.6364, 0.0047, 0.000100
21, -24.9302, -0.0001, 0.000100
22, -23.2326, -0.0007, 0.000100
23, -18.4545, -0.0006, 0.000100
24, -21.1818, 0.0008, 0.000100
25, -26.7045, 0.0042, 0.000100
26, -28.2791, 0.0059, 0.000100
27, -24.6818, 0.0027, 0.000100
28, -21.3864, 0.0015, 0.000100
29, -23.2500, 0.0011, 0.000100
30, -24.1364, 0.0007, 0.000100
31, -21.2500, 0.0026, 0.000100
32, -24.3488, 0.0027, 0.000100
33, -23.9535, -0.0013, 0.000100
34, -20.6136, -0.0005, 0.000100
35, -22.2045, 0.0002, 0.000100
36, -18.2500, -0.0036, 0.000100
37, -22.6136, 0.0013, 0.000100
38, -23.9767, 0.0033, 0.000100
39, -25.6818, 0.0071, 0.000100
40, -24.6818, 0.0015, 0.000100
41, -25.2727, 0.0019, 0.000100
42, -20.5682, 0.0007, 0.000100
43, -21.4545, 0.0010, 0.000100
44, -23.2093, -0.0006, 0.000100
45, -21.0227, -0.0026, 0.000100
46, -20.4419, -0.0009, 0.000100
47, -22.6977, 0.0001, 0.000100
48, -22.8182, 0.0044, 0.000100
49, -25.1136, 0.0016, 0.000100
50, -22.0909, -0.0005, 0.000100
51, -24.1818, 0.0005, 0.000100
52, -26.5909, 0.0032, 0.000100
53, -24.0000, 0.0006, 0.000100
54, -23.3409, 0.0008, 0.000100
55, -20.8182, -0.0023, 0.000100
56, -21.3409, -0.0009, 0.000100
57, -18.8409, -0.0016, 0.000100
58, -17.9318, -0.0033, 0.000100
59, -20.5227, -0.0021, 0.000100
60, -20.3864, -0.0014, 0.000100
61, -22.6136, 0.0013, 0.000100
62, -18.1818, -0.0003, 0.000100
63, -18.7500, -0.0014, 0.000100
64, -17.6136, -0.0004, 0.000100
65, -19.6047, 0.0002, 0.000100
66, -14.9318, -0.0028, 0.000100
67, -19.9773, 0.0017, 0.000100
68, -19.5455, -0.0007, 0.000100
69, -19.2273, 0.0002, 0.000100
70, -18.8636, 0.0007, 0.000100
71, -20.5000, 0.0022, 0.000100
72, -15.9318, -0.0021, 0.000100
73, -20.6364, 0.0021, 0.000100
74, -22.2727, 0.0003, 0.000100
75, -22.9767, 0.0015, 0.000100
76, -14.5455, -0.0023, 0.000100
77, -20.5000, -0.0006, 0.000100
78, -19.3409, 0.0009, 0.000100
79, -17.9318, -0.0013, 0.000100
80, -19.8182, 0.0004, 0.000100
81, -20.0455, 0.0017, 0.000100
82, -19.3409, 0.0013, 0.000100
83, -26.0000, 0.0050, 0.000100
84, -21.4773, -0.0002, 0.000100
