episode, reward, loss, lr
1, -25.5455, 0.0009, 0.000050
2, -23.4091, 0.0007, 0.000050
3, -22.9091, 0.0007, 0.000050
4, -22.9091, 0.0011, 0.000050
5, -24.0227, 0.0011, 0.000050
6, -26.5682, 0.0015, 0.000050
7, -29.3182, 0.0010, 0.000050
8, -20.9773, 0.0009, 0.000050
9, -22.9545, 0.0019, 0.000050
10, -18.6364, 0.0011, 0.000050
11, -24.8182, 0.0036, 0.000050
12, -22.6591, 0.0063, 0.000050
13, -21.4773, 0.0010, 0.000050
14, -20.8636, 0.0009, 0.000050
15, -25.3636, 0.0015, 0.000050
16, -25.2955, 0.0023, 0.000050
17, -23.3864, 0.0012, 0.000050
18, -24.3636, 0.0017, 0.000050
19, -23.6818, 0.0010, 0.000050
20, -20.0455, 0.0012, 0.000050
21, -27.1860, 0.0018, 0.000050
22, -26.5116, 0.0017, 0.000050
23, -23.9773, 0.0030, 0.000050
24, -24.0909, 0.0011, 0.000050
25, -25.6818, 0.0013, 0.000050
26, -28.3023, 0.0019, 0.000050
27, -25.4318, 0.0065, 0.000050
28, -24.7045, 0.0024, 0.000050
29, -19.9091, 0.0039, 0.000050
30, -27.9091, 0.0016, 0.000050
31, -30.0682, 0.0016, 0.000050
32, -24.1163, 0.0016, 0.000050
33, -28.6279, 0.0020, 0.000050
34, -23.5455, 0.0034, 0.000050
35, -23.7955, 0.0019, 0.000050
36, -23.0909, 0.0093, 0.000050
37, -25.3409, 0.0018, 0.000050
38, -23.7442, 0.0155, 0.000050
39, -22.8182, 0.0043, 0.000050
40, -22.4091, 0.0107, 0.000050
41, -21.1818, 0.0083, 0.000050
42, -21.4318, 0.0066, 0.000050
43, -23.7955, 0.0014, 0.000050
44, -26.9535, 0.0014, 0.000050
45, -23.6364, 0.0067, 0.000050
46, -27.8372, 0.0011, 0.000050
47, -24.4651, 0.0014, 0.000050
48, -21.9773, 0.0023, 0.000050
49, -27.0682, 0.0014, 0.000050
50, -22.9773, 0.0017, 0.000050
51, -23.3409, 0.0016, 0.000050
52, -26.3636, 0.0017, 0.000050
53, -19.4773, 0.0009, 0.000050
54, -25.4318, 0.0017, 0.000050
55, -23.3409, 0.0014, 0.000050
56, -22.7273, 0.0038, 0.000050
57, -28.4545, 0.0023, 0.000050
58, -17.8864, 0.0014, 0.000050
59, -22.0455, 0.0009, 0.000050
60, -27.2045, 0.0013, 0.000050
61, -21.9773, 0.0044, 0.000050
62, -24.6591, 0.0012, 0.000050
63, -24.5000, 0.0016, 0.000050
64, -22.0000, 0.0027, 0.000050
65, -21.2791, 0.0011, 0.000050
66, -25.6136, 0.0025, 0.000050
67, -22.4773, 0.0013, 0.000050
68, -26.8636, 0.0023, 0.000050
69, -23.0227, 0.0018, 0.000050
70, -23.2273, 0.0011, 0.000050
71, -19.9773, 0.0010, 0.000050
72, -24.3636, 0.0037, 0.000050
73, -27.5909, 0.0024, 0.000050
74, -26.2273, 0.0021, 0.000050
75, -28.7907, 0.0025, 0.000050
76, -21.7045, 0.0024, 0.000050
77, -23.3636, 0.0012, 0.000050
78, -27.5227, 0.0020, 0.000050
79, -23.7500, 0.0022, 0.000050
80, -20.3182, 0.0015, 0.000050
81, -27.8636, 0.0019, 0.000050
82, -23.4091, 0.0043, 0.000050
83, -29.3182, 0.0012, 0.000050
84, -22.3636, 0.0013, 0.000050
85, -29.2955, 0.0015, 0.000050
86, -28.0465, 0.0020, 0.000050
87, -26.5000, 0.0022, 0.000050
88, -23.5455, 0.0020, 0.000050
89, -16.0682, 0.0012, 0.000050
90, -19.8636, 0.0013, 0.000050
91, -29.7273, 0.0013, 0.000050
92, -25.2500, 0.0074, 0.000050
93, -23.7955, 0.0018, 0.000050
94, -24.2955, 0.0015, 0.000050
95, -25.7674, 0.0025, 0.000050
96, -24.1591, 0.0044, 0.000050
97, -24.9318, 0.0056, 0.000050
98, -22.6591, 0.0016, 0.000050
99, -23.0909, 0.0042, 0.000050
100, -24.3636, 0.0016, 0.000050
101, -20.7955, 0.0026, 0.000050
102, -22.4091, 0.0038, 0.000050
103, -23.7273, 0.0012, 0.000050
104, -26.5227, 0.0023, 0.000050
105, -24.7727, 0.0016, 0.000050
106, -24.6364, 0.0026, 0.000050
107, -21.8182, 0.0011, 0.000050
108, -23.4545, 0.0014, 0.000050
109, -27.1364, 0.0015, 0.000050
110, -24.8140, 0.0018, 0.000050
111, -24.7955, 0.0011, 0.000050
112, -23.8409, 0.0182, 0.000050
113, -22.8182, 0.0041, 0.000050
114, -23.9091, 0.0020, 0.000050
115, -25.3636, 0.0021, 0.000050
116, -27.8636, 0.0016, 0.000050
117, -20.9773, 0.0012, 0.000050
118, -20.3182, 0.0011, 0.000050
119, -23.0227, 0.0010, 0.000050
120, -26.5000, 0.0021, 0.000050
121, -24.0465, 0.0012, 0.000050
122, -22.8636, 0.0022, 0.000050
123, -23.3409, 0.0088, 0.000050
124, -31.9767, 0.0012, 0.000050
125, -21.1591, 0.0012, 0.000050
126, -26.8140, 0.0013, 0.000050
127, -25.0227, 0.0062, 0.000050
128, -26.6512, 0.0015, 0.000050
129, -27.3409, 0.0011, 0.000050
130, -24.1818, 0.0040, 0.000050
131, -20.8409, 0.0016, 0.000050
132, -19.1591, 0.0010, 0.000050
133, -26.9318, 0.0012, 0.000050
134, -27.2857, 0.0015, 0.000050
135, -27.9091, 0.0012, 0.000050
136, -26.8409, 0.0016, 0.000050
137, -23.4773, 0.0026, 0.000050
138, -20.1136, 0.0031, 0.000050
139, -21.9302, 0.0011, 0.000050
140, -23.7045, 0.0092, 0.000050
141, -22.1591, 0.0024, 0.000050
142, -20.2955, 0.0034, 0.000050
143, -22.7143, 0.0012, 0.000050
144, -27.4773, 0.0013, 0.000050
145, -20.7273, 0.0009, 0.000050
146, -23.2045, 0.0010, 0.000050
147, -15.7045, 0.0012, 0.000050
148, -22.1860, 0.0041, 0.000050
149, -20.9773, 0.0009, 0.000050
150, -21.0227, 0.0022, 0.000050
151, -19.7045, 0.0012, 0.000050
152, -18.7273, 0.0010, 0.000050
153, -19.9773, 0.0010, 0.000050
154, -19.5909, 0.0009, 0.000050
155, -21.8182, 0.0020, 0.000050
156, -18.3409, 0.0019, 0.000050
157, -20.4091, 0.0020, 0.000050
158, -21.5227, 0.0014, 0.000050
159, -24.4773, 0.0020, 0.000050
160, -20.7500, 0.0021, 0.000050
161, -20.0000, 0.0057, 0.000050
162, -23.4091, 0.0027, 0.000050
163, -23.4318, 0.0018, 0.000050
164, -21.6818, 0.0076, 0.000050
165, -19.2727, 0.0049, 0.000050
166, -16.6591, 0.0010, 0.000050
167, -18.4545, 0.0029, 0.000050
168, -20.0000, 0.0035, 0.000050
169, -21.5227, 0.0010, 0.000050
170, -23.5682, 0.0017, 0.000050
171, -24.8864, 0.0015, 0.000050
172, -24.5227, 0.0008, 0.000050
173, -23.2045, 0.0027, 0.000050
174, -21.2727, 0.0014, 0.000050
175, -19.6136, 0.0009, 0.000050
176, -20.9773, 0.0024, 0.000050
177, -22.6591, 0.0013, 0.000050
178, -20.5909, 0.0015, 0.000050
179, -24.6818, 0.0014, 0.000050
180, -18.2273, 0.0056, 0.000050
181, -23.0000, 0.0015, 0.000050
182, -21.7955, 0.0017, 0.000050
183, -26.0227, 0.0019, 0.000050
184, -22.2500, 0.0042, 0.000050
185, -22.9318, 0.0010, 0.000050
186, -19.8864, 0.0009, 0.000050
187, -20.8636, 0.0016, 0.000050
188, -21.8409, 0.0010, 0.000050
189, -18.1136, 0.0010, 0.000050
190, -24.9286, 0.0022, 0.000050
191, -18.5682, 0.0008, 0.000050
192, -24.8140, 0.0010, 0.000050
193, -19.8864, 0.0009, 0.000050
194, -21.8636, 0.0010, 0.000050
195, -22.3409, 0.0015, 0.000050
196, -29.0714, 0.0014, 0.000050
197, -22.3409, 0.0020, 0.000050
198, -20.1860, 0.0017, 0.000050
199, -21.3864, 0.0017, 0.000050
200, -22.8864, 0.0023, 0.000050
201, -24.6047, 0.0011, 0.000050
202, -20.6744, 0.0060, 0.000050
203, -21.6364, 0.0024, 0.000050
204, -21.6136, 0.0034, 0.000050
205, -23.1818, 0.0032, 0.000050
206, -20.2727, 0.0033, 0.000050
207, -20.5000, 0.0013, 0.000050
208, -22.0682, 0.0015, 0.000050
209, -18.3864, 0.0011, 0.000050
210, -23.8409, 0.0012, 0.000050
211, -27.0455, 0.0015, 0.000050
212, -20.5909, 0.0014, 0.000050
213, -18.7727, 0.0033, 0.000050
214, -19.7955, 0.0032, 0.000050
215, -18.1818, 0.0009, 0.000050
216, -18.0682, 0.0010, 0.000050
217, -18.7273, 0.0011, 0.000050
218, -20.0698, 0.0015, 0.000050
219, -23.6136, 0.0013, 0.000050
220, -20.5682, 0.0025, 0.000050
221, -20.3182, 0.0011, 0.000050
222, -23.2381, 0.0054, 0.000050
223, -20.4286, 0.0050, 0.000050
224, -21.2727, 0.0020, 0.000050
225, -19.9091, 0.0010, 0.000050
226, -20.1190, 0.0009, 0.000050
227, -16.4773, 0.0008, 0.000050
228, -18.7045, 0.0014, 0.000050
229, -22.7500, 0.0010, 0.000050
230, -19.1136, 0.0034, 0.000050
231, -24.2045, 0.0016, 0.000050
232, -20.0000, 0.0022, 0.000050
233, -21.3636, 0.0014, 0.000050
234, -17.5455, 0.0008, 0.000050
235, -19.7273, 0.0131, 0.000050
236, -17.9302, 0.0009, 0.000050
237, -17.7674, 0.0007, 0.000050
238, -23.9318, 0.0011, 0.000050
239, -17.4773, 0.0011, 0.000050
240, -20.7727, 0.0042, 0.000050
241, -22.7045, 0.0019, 0.000050
242, -22.2273, 0.0116, 0.000050
243, -20.9318, 0.0015, 0.000050
244, -22.3864, 0.0011, 0.000050
245, -20.9767, 0.0009, 0.000050
246, -16.7500, 0.0011, 0.000050
247, -23.2500, 0.0011, 0.000050
248, -18.1591, 0.0023, 0.000050
249, -18.2727, 0.0031, 0.000050
250, -24.1905, 0.0019, 0.000050
251, -17.3409, 0.0009, 0.000050
252, -20.8864, 0.0022, 0.000050
253, -24.0227, 0.0011, 0.000050
254, -23.8182, 0.0021, 0.000050
255, -18.0000, 0.0007, 0.000050
256, -22.3636, 0.0009, 0.000050
257, -18.6136, 0.0008, 0.000050
258, -21.3864, 0.0011, 0.000050
259, -17.4318, 0.0013, 0.000050
260, -18.5682, 0.0056, 0.000050
261, -14.9773, 0.0010, 0.000050
262, -14.6136, 0.0010, 0.000050
263, -20.5455, 0.0030, 0.000050
264, -21.1364, 0.0018, 0.000050
265, -20.0227, 0.0137, 0.000050
266, -23.9318, 0.0009, 0.000050
267, -19.3864, 0.0009, 0.000050
268, -17.2045, 0.0007, 0.000050
