episode, reward, loss, lr
1, -25.5455, 0.0009, 0.000050
2, -23.4091, 0.0007, 0.000050
3, -22.9091, 0.0007, 0.000050
4, -22.9091, 0.0011, 0.000050
5, -24.0227, 0.0011, 0.000050
6, -26.5682, 0.0015, 0.000050
7, -28.7500, 0.0010, 0.000050
8, -20.9773, 0.0009, 0.000050
9, -22.9545, 0.0019, 0.000050
10, -18.6364, 0.0011, 0.000050
11, -24.8182, 0.0036, 0.000050
12, -25.0000, 0.0041, 0.000050
13, -23.1364, 0.0023, 0.000050
14, -21.3409, 0.0009, 0.000050
15, -23.3636, 0.0024, 0.000050
16, -23.8636, 0.0010, 0.000050
17, -25.1591, 0.0011, 0.000050
18, -24.3864, 0.0025, 0.000050
19, -21.5909, 0.0010, 0.000050
20, -21.0227, 0.0012, 0.000050
21, -25.6977, 0.0031, 0.000050
22, -22.8837, 0.0024, 0.000050
23, -27.3409, 0.0024, 0.000050
24, -23.7500, 0.0012, 0.000050
25, -27.6364, 0.0017, 0.000050
26, -29.3488, 0.0040, 0.000050
27, -28.6818, 0.0013, 0.000050
28, -23.8636, 0.0183, 0.000050
29, -21.7045, 0.0016, 0.000050
30, -25.7045, 0.0018, 0.000050
31, -22.5909, 0.0029, 0.000050
32, -24.6512, 0.0013, 0.000050
33, -24.8837, 0.0037, 0.000050
34, -23.0909, 0.0010, 0.000050
35, -25.8864, 0.0018, 0.000050
36, -25.2955, 0.0070, 0.000050
37, -25.5227, 0.0020, 0.000050
38, -27.6512, 0.0026, 0.000050
39, -23.5455, 0.0090, 0.000050
40, -27.2727, 0.0014, 0.000050
41, -25.0909, 0.0011, 0.000050
42, -28.2500, 0.0017, 0.000050
43, -25.9091, 0.0024, 0.000050
44, -30.3488, 0.0014, 0.000050
45, -21.8636, 0.0027, 0.000050
46, -25.2558, 0.0020, 0.000050
47, -28.0465, 0.0015, 0.000050
48, -23.3182, 0.0017, 0.000050
49, -26.5909, 0.0016, 0.000050
50, -25.7273, 0.0018, 0.000050
51, -20.9091, 0.0097, 0.000050
52, -28.2273, 0.0018, 0.000050
53, -24.2500, 0.0037, 0.000050
54, -23.2955, 0.0021, 0.000050
55, -21.7727, 0.0171, 0.000050
56, -25.8864, 0.0041, 0.000050
57, -27.4773, 0.0012, 0.000050
58, -21.5227, 0.0011, 0.000050
59, -25.3636, 0.0055, 0.000050
60, -25.0682, 0.0016, 0.000050
61, -23.9091, 0.0027, 0.000050
62, -24.8636, 0.0013, 0.000050
63, -26.2727, 0.0022, 0.000050
64, -19.7273, 0.0011, 0.000050
65, -24.5814, 0.0045, 0.000050
66, -23.8864, 0.0020, 0.000050
67, -25.3409, 0.0022, 0.000050
68, -27.7727, 0.0013, 0.000050
69, -26.2955, 0.0015, 0.000050
70, -24.2727, 0.0042, 0.000050
71, -22.1136, 0.0013, 0.000050
72, -24.6364, 0.0012, 0.000050
73, -25.9773, 0.0058, 0.000050
74, -28.1591, 0.0010, 0.000050
75, -27.5581, 0.0015, 0.000050
76, -26.1364, 0.0027, 0.000050
77, -28.1818, 0.0019, 0.000050
78, -25.0682, 0.0016, 0.000050
79, -26.1591, 0.0023, 0.000050
80, -22.6136, 0.0033, 0.000050
81, -23.2955, 0.0030, 0.000050
82, -20.3182, 0.0063, 0.000050
83, -22.5455, 0.0087, 0.000050
84, -24.6136, 0.0032, 0.000050
85, -27.8409, 0.0017, 0.000050
86, -27.6977, 0.0014, 0.000050
87, -25.0227, 0.0024, 0.000050
88, -26.3182, 0.0016, 0.000050
89, -20.9773, 0.0012, 0.000050
90, -25.9091, 0.0029, 0.000050
91, -21.2500, 0.0169, 0.000050
92, -25.8182, 0.0017, 0.000050
93, -22.1364, 0.0131, 0.000050
94, -24.5682, 0.0019, 0.000050
95, -30.8605, 0.0011, 0.000050
96, -25.7500, 0.0019, 0.000050
97, -24.8864, 0.0024, 0.000050
98, -21.8182, 0.0009, 0.000050
99, -22.9773, 0.0009, 0.000050
100, -20.9318, 0.0073, 0.000050
101, -24.1364, 0.0015, 0.000050
102, -23.8636, 0.0131, 0.000050
103, -26.7727, 0.0014, 0.000050
104, -25.5682, 0.0021, 0.000050
105, -24.6136, 0.0014, 0.000050
106, -26.2955, 0.0014, 0.000050
107, -22.7045, 0.0011, 0.000050
108, -27.2273, 0.0022, 0.000050
109, -23.8864, 0.0010, 0.000050
110, -24.2093, 0.0024, 0.000050
111, -23.4773, 0.0040, 0.000050
112, -22.7955, 0.0030, 0.000050
113, -26.8636, 0.0012, 0.000050
114, -23.0227, 0.0010, 0.000050
115, -26.4773, 0.0014, 0.000050
116, -21.2955, 0.0020, 0.000050
117, -23.6591, 0.0016, 0.000050
118, -17.1136, 0.0012, 0.000050
119, -22.8182, 0.0023, 0.000050
120, -24.6667, 0.0033, 0.000050
121, -24.7209, 0.0016, 0.000050
122, -22.5227, 0.0016, 0.000050
123, -20.5682, 0.0010, 0.000050
124, -21.4419, 0.0015, 0.000050
125, -25.7727, 0.0041, 0.000050
126, -20.4419, 0.0033, 0.000050
127, -23.7955, 0.0056, 0.000050
128, -29.6977, 0.0014, 0.000050
129, -25.2045, 0.0015, 0.000050
130, -22.5227, 0.0010, 0.000050
131, -23.5909, 0.0038, 0.000050
132, -22.8182, 0.0093, 0.000050
133, -25.0227, 0.0024, 0.000050
134, -25.2381, 0.0014, 0.000050
135, -26.3182, 0.0020, 0.000050
136, -24.2045, 0.0040, 0.000050
137, -22.7955, 0.0023, 0.000050
138, -22.7045, 0.0088, 0.000050
139, -19.9302, 0.0021, 0.000050
140, -19.4318, 0.0036, 0.000050
141, -18.4773, 0.0010, 0.000050
142, -21.2045, 0.0025, 0.000050
143, -24.5000, 0.0012, 0.000050
144, -24.4773, 0.0015, 0.000050
145, -22.4545, 0.0152, 0.000050
146, -21.5682, 0.0020, 0.000050
147, -20.2955, 0.0009, 0.000050
148, -19.3953, 0.0008, 0.000050
149, -18.4318, 0.0009, 0.000050
150, -20.2273, 0.0047, 0.000050
151, -18.4545, 0.0010, 0.000050
152, -20.1818, 0.0010, 0.000050
153, -20.7045, 0.0014, 0.000050
154, -23.3409, 0.0018, 0.000050
155, -20.3636, 0.0018, 0.000050
156, -21.7727, 0.0013, 0.000050
157, -21.4545, 0.0024, 0.000050
158, -21.1818, 0.0076, 0.000050
159, -21.5909, 0.0009, 0.000050
160, -19.5682, 0.0129, 0.000050
161, -17.6364, 0.0010, 0.000050
162, -21.9318, 0.0016, 0.000050
163, -18.8182, 0.0007, 0.000050
164, -25.2955, 0.0022, 0.000050
165, -20.6818, 0.0009, 0.000050
166, -21.4773, 0.0015, 0.000050
167, -20.7500, 0.0016, 0.000050
168, -22.5000, 0.0012, 0.000050
169, -21.2727, 0.0011, 0.000050
170, -16.7727, 0.0023, 0.000050
171, -23.7500, 0.0023, 0.000050
172, -20.0000, 0.0024, 0.000050
173, -18.7500, 0.0010, 0.000050
174, -19.1364, 0.0038, 0.000050
175, -23.4091, 0.0039, 0.000050
176, -23.7955, 0.0010, 0.000050
177, -20.4545, 0.0025, 0.000050
178, -22.9318, 0.0012, 0.000050
179, -20.9091, 0.0018, 0.000050
180, -22.4091, 0.0012, 0.000050
181, -23.1136, 0.0151, 0.000050
182, -24.3864, 0.0017, 0.000050
183, -20.2727, 0.0015, 0.000050
184, -20.8182, 0.0030, 0.000050
185, -21.4545, 0.0047, 0.000050
186, -18.9318, 0.0009, 0.000050
187, -26.0682, 0.0015, 0.000050
188, -26.9773, 0.0010, 0.000050
189, -24.0227, 0.0012, 0.000050
190, -23.9286, 0.0058, 0.000050
191, -22.2273, 0.0021, 0.000050
192, -23.9070, 0.0015, 0.000050
193, -20.1818, 0.0008, 0.000050
194, -23.8182, 0.0081, 0.000050
195, -23.5455, 0.0010, 0.000050
196, -22.3810, 0.0015, 0.000050
197, -20.2045, 0.0054, 0.000050
198, -23.0465, 0.0033, 0.000050
199, -25.1591, 0.0010, 0.000050
200, -17.3636, 0.0008, 0.000050
201, -22.4884, 0.0033, 0.000050
202, -22.2093, 0.0139, 0.000050
203, -22.0909, 0.0014, 0.000050
204, -22.9545, 0.0009, 0.000050
205, -23.2500, 0.0013, 0.000050
206, -20.9091, 0.0119, 0.000050
207, -22.9545, 0.0013, 0.000050
208, -22.8864, 0.0015, 0.000050
209, -20.1136, 0.0014, 0.000050
210, -24.1136, 0.0008, 0.000050
211, -24.0000, 0.0014, 0.000050
212, -22.4318, 0.0009, 0.000050
213, -25.9545, 0.0017, 0.000050
214, -25.5227, 0.0009, 0.000050
215, -19.3636, 0.0008, 0.000050
216, -20.4545, 0.0009, 0.000050
217, -26.9773, 0.0017, 0.000050
218, -19.0465, 0.0010, 0.000050
219, -22.8409, 0.0015, 0.000050
220, -24.2727, 0.0012, 0.000050
221, -25.7955, 0.0013, 0.000050
222, -23.9286, 0.0018, 0.000050
223, -23.6190, 0.0011, 0.000050
224, -22.5682, 0.0018, 0.000050
225, -19.3864, 0.0011, 0.000050
226, -22.5952, 0.0030, 0.000050
227, -20.1136, 0.0010, 0.000050
228, -23.5682, 0.0019, 0.000050
229, -19.8864, 0.0010, 0.000050
230, -22.0455, 0.0028, 0.000050
231, -18.6818, 0.0059, 0.000050
232, -20.2955, 0.0031, 0.000050
233, -20.7500, 0.0012, 0.000050
234, -19.6818, 0.0011, 0.000050
235, -21.4773, 0.0017, 0.000050
236, -19.4186, 0.0010, 0.000050
237, -18.0698, 0.0009, 0.000050
238, -18.1818, 0.0020, 0.000050
239, -22.9091, 0.0019, 0.000050
240, -20.1364, 0.0017, 0.000050
241, -21.6591, 0.0010, 0.000050
242, -20.7273, 0.0014, 0.000050
243, -21.8636, 0.0017, 0.000050
244, -19.7273, 0.0031, 0.000050
245, -19.1860, 0.0011, 0.000050
246, -17.3636, 0.0009, 0.000050
247, -23.8182, 0.0014, 0.000050
248, -19.9091, 0.0027, 0.000050
249, -24.2273, 0.0046, 0.000050
250, -20.9524, 0.0010, 0.000050
251, -15.6591, 0.0009, 0.000050
252, -18.1364, 0.0008, 0.000050
253, -19.5000, 0.0010, 0.000050
254, -21.2500, 0.0015, 0.000050
255, -23.4318, 0.0010, 0.000050
256, -18.7727, 0.0030, 0.000050
257, -20.6364, 0.0016, 0.000050
258, -26.4091, 0.0008, 0.000050
259, -16.9545, 0.0009, 0.000050
260, -21.0682, 0.0010, 0.000050
261, -19.3636, 0.0010, 0.000050
262, -18.9545, 0.0054, 0.000050
263, -18.7955, 0.0070, 0.000050
264, -19.3636, 0.0009, 0.000050
265, -20.3409, 0.0045, 0.000050
266, -21.0909, 0.0016, 0.000050
267, -19.9318, 0.0010, 0.000050
268, -18.7273, 0.0010, 0.000050
