episode, reward, loss, lr
1, -25.5455, 0.0009, 0.000050
2, -22.7955, 0.0007, 0.000050
3, -24.4545, 0.0009, 0.000050
4, -25.7045, 0.0009, 0.000050
5, -22.3864, 0.0011, 0.000050
6, -27.0455, 0.0010, 0.000050
7, -27.3864, 0.0008, 0.000050
8, -25.0000, 0.0016, 0.000050
9, -28.2273, 0.0013, 0.000050
10, -17.4318, 0.0009, 0.000050
11, -18.6136, 0.0009, 0.000050
12, -22.4545, 0.0010, 0.000050
13, -22.7500, 0.0026, 0.000050
14, -19.9773, 0.0009, 0.000050
15, -24.9545, 0.0014, 0.000050
16, -24.5227, 0.0035, 0.000050
17, -23.8864, 0.0011, 0.000050
18, -23.5455, 0.0032, 0.000050
19, -19.9318, 0.0077, 0.000050
20, -20.3636, 0.0013, 0.000050
21, -23.3256, 0.0026, 0.000050
22, -23.6512, 0.0031, 0.000050
23, -21.8182, 0.0012, 0.000050
24, -28.7955, 0.0021, 0.000050
25, -27.7045, 0.0031, 0.000050
26, -26.9535, 0.0028, 0.000050
27, -26.4773, 0.0016, 0.000050
28, -23.8636, 0.0033, 0.000050
29, -26.6136, 0.0020, 0.000050
30, -25.2727, 0.0020, 0.000050
31, -21.1591, 0.0176, 0.000050
32, -24.5349, 0.0020, 0.000050
33, -30.6047, 0.0014, 0.000050
34, -24.0455, 0.0039, 0.000050
35, -23.4545, 0.0019, 0.000050
36, -21.2955, 0.0010, 0.000050
37, -25.5227, 0.0020, 0.000050
38, -26.2558, 0.0037, 0.000050
39, -21.8409, 0.0066, 0.000050
40, -25.8182, 0.0014, 0.000050
41, -28.0000, 0.0017, 0.000050
42, -23.8864, 0.0033, 0.000050
43, -25.0682, 0.0018, 0.000050
44, -29.9070, 0.0026, 0.000050
45, -21.6818, 0.0021, 0.000050
46, -26.2791, 0.0020, 0.000050
47, -23.3023, 0.0020, 0.000050
48, -22.7500, 0.0099, 0.000050
49, -28.1818, 0.0023, 0.000050
50, -23.0909, 0.0023, 0.000050
51, -25.2273, 0.0015, 0.000050
52, -24.0909, 0.0020, 0.000050
53, -27.4318, 0.0017, 0.000050
54, -25.2045, 0.0011, 0.000050
55, -18.4773, 0.0011, 0.000050
56, -27.2500, 0.0028, 0.000050
57, -25.5000, 0.0015, 0.000050
58, -23.3182, 0.0011, 0.000050
59, -22.0682, 0.0068, 0.000050
60, -20.9773, 0.0014, 0.000050
61, -23.2273, 0.0011, 0.000050
62, -23.8182, 0.0016, 0.000050
63, -23.0682, 0.0064, 0.000050
64, -26.1136, 0.0014, 0.000050
65, -21.3721, 0.0012, 0.000050
66, -21.6364, 0.0090, 0.000050
67, -22.4091, 0.0142, 0.000050
68, -21.7500, 0.0013, 0.000050
69, -21.7955, 0.0022, 0.000050
70, -24.7955, 0.0020, 0.000050
71, -21.5455, 0.0009, 0.000050
72, -23.5455, 0.0072, 0.000050
73, -23.0455, 0.0016, 0.000050
74, -30.4773, 0.0011, 0.000050
75, -26.9535, 0.0011, 0.000050
76, -27.6818, 0.0010, 0.000050
77, -23.5000, 0.0024, 0.000050
78, -24.9318, 0.0018, 0.000050
79, -25.7045, 0.0019, 0.000050
80, -21.3636, 0.0024, 0.000050
81, -27.6591, 0.0012, 0.000050
82, -24.3636, 0.0159, 0.000050
83, -25.2273, 0.0015, 0.000050
84, -23.0909, 0.0126, 0.000050
85, -24.7727, 0.0021, 0.000050
86, -25.8605, 0.0016, 0.000050
87, -26.8864, 0.0035, 0.000050
88, -25.2955, 0.0022, 0.000050
89, -21.0682, 0.0009, 0.000050
90, -22.3182, 0.0011, 0.000050
91, -20.1818, 0.0132, 0.000050
92, -26.7727, 0.0030, 0.000050
93, -25.9318, 0.0015, 0.000050
94, -20.9318, 0.0022, 0.000050
95, -25.0465, 0.0013, 0.000050
96, -23.9318, 0.0023, 0.000050
97, -21.4318, 0.0019, 0.000050
98, -23.5227, 0.0012, 0.000050
99, -20.6818, 0.0011, 0.000050
100, -26.1136, 0.0013, 0.000050
101, -23.9091, 0.0024, 0.000050
102, -23.1136, 0.0033, 0.000050
103, -23.2500, 0.0060, 0.000050
104, -28.7500, 0.0013, 0.000050
105, -24.9318, 0.0022, 0.000050
106, -25.0000, 0.0039, 0.000050
107, -25.4091, 0.0042, 0.000050
108, -19.9091, 0.0010, 0.000050
109, -24.8409, 0.0027, 0.000050
110, -25.1860, 0.0013, 0.000050
111, -22.0227, 0.0011, 0.000050
112, -24.6364, 0.0016, 0.000050
113, -24.8182, 0.0012, 0.000050
114, -23.7727, 0.0022, 0.000050
115, -23.6364, 0.0031, 0.000050
116, -20.2273, 0.0086, 0.000050
117, -20.7273, 0.0012, 0.000050
118, -18.6364, 0.0074, 0.000050
119, -20.2500, 0.0015, 0.000050
120, -23.3333, 0.0018, 0.000050
121, -18.0465, 0.0029, 0.000050
122, -24.6818, 0.0012, 0.000050
123, -22.5682, 0.0048, 0.000050
124, -21.7209, 0.0017, 0.000050
125, -22.5227, 0.0016, 0.000050
126, -21.9302, 0.0029, 0.000050
127, -28.3409, 0.0011, 0.000050
128, -20.6512, 0.0010, 0.000050
129, -21.4545, 0.0018, 0.000050
130, -21.7955, 0.0011, 0.000050
131, -20.3409, 0.0024, 0.000050
132, -22.6364, 0.0012, 0.000050
133, -25.4773, 0.0026, 0.000050
134, -24.0000, 0.0020, 0.000050
135, -20.6818, 0.0011, 0.000050
136, -23.8864, 0.0026, 0.000050
137, -19.3864, 0.0010, 0.000050
138, -17.6136, 0.0011, 0.000050
139, -20.8140, 0.0033, 0.000050
140, -25.8636, 0.0016, 0.000050
141, -15.8636, 0.0010, 0.000050
142, -19.7955, 0.0083, 0.000050
143, -21.0238, 0.0027, 0.000050
144, -21.8636, 0.0028, 0.000050
145, -17.4318, 0.0010, 0.000050
146, -19.0682, 0.0009, 0.000050
147, -17.2727, 0.0014, 0.000050
148, -23.0233, 0.0017, 0.000050
149, -18.1136, 0.0015, 0.000050
150, -16.9091, 0.0016, 0.000050
151, -19.9091, 0.0013, 0.000050
152, -23.4773, 0.0147, 0.000050
153, -23.3636, 0.0015, 0.000050
154, -19.7500, 0.0031, 0.000050
155, -17.4773, 0.0013, 0.000050
156, -21.1818, 0.0011, 0.000050
157, -20.7500, 0.0014, 0.000050
158, -20.2045, 0.0015, 0.000050
159, -18.8636, 0.0045, 0.000050
160, -19.7500, 0.0014, 0.000050
161, -20.0455, 0.0063, 0.000050
162, -24.9318, 0.0013, 0.000050
163, -26.9545, 0.0012, 0.000050
164, -23.4545, 0.0014, 0.000050
165, -21.4091, 0.0068, 0.000050
166, -22.0682, 0.0010, 0.000050
167, -20.5909, 0.0008, 0.000050
168, -21.4545, 0.0026, 0.000050
169, -22.5909, 0.0015, 0.000050
170, -18.6591, 0.0008, 0.000050
171, -22.0682, 0.0015, 0.000050
172, -22.1591, 0.0011, 0.000050
173, -17.7727, 0.0009, 0.000050
174, -21.0909, 0.0050, 0.000050
175, -21.2273, 0.0031, 0.000050
176, -19.5455, 0.0009, 0.000050
177, -24.6364, 0.0008, 0.000050
178, -19.7955, 0.0074, 0.000050
179, -17.7727, 0.0014, 0.000050
180, -21.0227, 0.0012, 0.000050
181, -23.7500, 0.0019, 0.000050
182, -21.7045, 0.0016, 0.000050
183, -23.4091, 0.0014, 0.000050
184, -19.8409, 0.0051, 0.000050
185, -19.5227, 0.0069, 0.000050
186, -21.4773, 0.0025, 0.000050
187, -24.0000, 0.0014, 0.000050
188, -24.9773, 0.0010, 0.000050
189, -23.2273, 0.0025, 0.000050
190, -17.4048, 0.0010, 0.000050
