episode, reward, loss, lr
1, -23.0227, 0.0397, 0.000100
2, -25.5909, 0.0376, 0.000100
3, -25.2500, 0.0288, 0.000100
4, -23.4773, 0.0344, 0.000100
5, -24.1364, 0.0254, 0.000100
6, -24.0227, 0.0141, 0.000100
7, -25.9091, 0.0161, 0.000100
8, -26.1136, 0.0079, 0.000100
9, -25.1818, 0.0048, 0.000100
10, -23.4318, 0.0065, 0.000100
11, -23.5227, -0.0021, 0.000100
12, -28.0000, 0.0120, 0.000100
13, -22.7727, -0.0033, 0.000100
14, -23.9091, 0.0008, 0.000100
15, -21.7045, -0.0083, 0.000100
16, -21.9091, -0.0028, 0.000100
17, -21.0682, 0.0034, 0.000100
18, -25.8182, 0.0040, 0.000100
19, -19.5682, 0.0005, 0.000100
20, -22.3636, 0.0033, 0.000100
21, -19.6047, 0.0004, 0.000100
22, -24.6744, 0.0019, 0.000100
23, -19.3409, -0.0043, 0.000100
24, -24.2955, 0.0002, 0.000100
25, -26.6364, 0.0072, 0.000100
26, -23.7442, -0.0002, 0.000100
27, -25.1364, 0.0004, 0.000100
28, -23.5000, -0.0005, 0.000100
29, -25.3864, 0.0030, 0.000100
30, -25.0000, 0.0048, 0.000100
31, -22.5000, 0.0014, 0.000100
32, -26.4651, 0.0074, 0.000100
33, -28.5349, 0.0084, 0.000100
34, -20.8636, 0.0005, 0.000100
35, -21.9773, 0.0011, 0.000100
36, -20.4545, -0.0030, 0.000100
37, -25.0682, 0.0041, 0.000100
38, -21.4419, 0.0006, 0.000100
39, -23.0227, 0.0020, 0.000100
40, -20.8182, 0.0005, 0.000100
41, -23.4091, 0.0017, 0.000100
42, -21.0000, 0.0012, 0.000100
43, -23.6136, 0.0050, 0.000100
44, -23.8605, 0.0022, 0.000100
45, -23.3864, 0.0036, 0.000100
46, -23.7209, 0.0026, 0.000100
47, -26.2326, 0.0041, 0.000100
48, -25.0682, 0.0029, 0.000100
49, -26.6136, 0.0022, 0.000100
50, -20.9773, -0.0048, 0.000100
51, -18.2727, -0.0056, 0.000100
52, -25.7500, 0.0083, 0.000100
53, -21.3182, -0.0020, 0.000100
54, -19.4545, -0.0037, 0.000100
55, -21.1818, -0.0028, 0.000100
56, -24.8864, -0.0010, 0.000100
57, -26.8182, 0.0028, 0.000100
58, -20.9545, -0.0026, 0.000100
59, -23.7727, 0.0008, 0.000100
60, -23.8636, 0.0009, 0.000100
61, -24.7273, 0.0005, 0.000100
62, -19.5227, -0.0023, 0.000100
63, -22.9545, -0.0035, 0.000100
64, -25.1136, 0.0050, 0.000100
65, -22.6744, -0.0006, 0.000100
66, -18.6364, -0.0012, 0.000100
67, -29.0455, 0.0091, 0.000100
68, -22.6591, 0.0010, 0.000100
69, -21.3409, 0.0010, 0.000100
70, -28.5909, 0.0102, 0.000100
71, -19.5455, -0.0008, 0.000100
72, -15.9773, -0.0086, 0.000100
73, -20.3409, 0.0019, 0.000100
74, -24.0455, 0.0044, 0.000100
75, -25.6279, 0.0027, 0.000100
76, -21.6818, -0.0036, 0.000100
77, -19.8409, -0.0042, 0.000100
78, -22.6591, -0.0017, 0.000100
79, -23.1818, -0.0010, 0.000100
80, -23.0909, 0.0011, 0.000100
81, -26.9318, 0.0056, 0.000100
82, -25.4773, 0.0078, 0.000100
83, -24.3409, 0.0007, 0.000100
84, -24.2273, 0.0016, 0.000100
85, -20.3864, -0.0031, 0.000100
86, -21.1860, -0.0010, 0.000100
87, -19.3182, -0.0034, 0.000100
88, -23.9318, 0.0025, 0.000100
89, -22.5227, 0.0006, 0.000100
90, -18.8864, -0.0053, 0.000100
91, -21.1136, 0.0012, 0.000100
92, -20.3182, -0.0001, 0.000100
93, -22.9091, -0.0006, 0.000100
94, -21.2955, -0.0009, 0.000100
95, -27.8140, 0.0040, 0.000100
96, -18.2273, -0.0083, 0.000100
97, -19.7500, -0.0026, 0.000100
98, -16.8864, -0.0097, 0.000100
99, -17.2273, -0.0039, 0.000100
100, -21.2045, -0.0041, 0.000100
101, -24.0000, 0.0033, 0.000100
102, -18.4318, -0.0045, 0.000100
103, -20.7273, -0.0060, 0.000100
104, -20.3864, -0.0015, 0.000100
105, -22.5682, 0.0010, 0.000100
