episode, reward, loss, lr
1, -23.0227, 0.0400, 0.000100
2, -25.2045, 0.0362, 0.000100
3, -26.0909, 0.0386, 0.000100
4, -21.6818, 0.0303, 0.000100
5, -24.3182, 0.0213, 0.000100
6, -28.3864, 0.0216, 0.000100
7, -26.2727, 0.0114, 0.000100
8, -27.7500, 0.0125, 0.000100
9, -28.7045, 0.0086, 0.000100
10, -22.4545, -0.0021, 0.000100
11, -22.7273, -0.0157, 0.000100
12, -26.8636, 0.0011, 0.000100
13, -25.2045, -0.0050, 0.000100
14, -24.6591, -0.0066, 0.000100
15, -24.9773, -0.0066, 0.000100
16, -26.4773, -0.0058, 0.000100
17, -25.2045, -0.0082, 0.000100
18, -22.6136, -0.0144, 0.000100
19, -19.5455, -0.0059, 0.000100
20, -19.7727, -0.0059, 0.000100
21, -25.3023, -0.0042, 0.000100
22, -24.8372, -0.0003, 0.000100
23, -20.4091, 0.0019, 0.000100
24, -20.1364, 0.0026, 0.000100
25, -23.3636, 0.0023, 0.000100
26, -25.6512, -0.0013, 0.000100
27, -27.8409, 0.0058, 0.000100
28, -21.6364, 0.0013, 0.000100
29, -19.1591, -0.0037, 0.000100
30, -23.5909, -0.0026, 0.000100
31, -23.2727, -0.0011, 0.000100
32, -24.2326, 0.0002, 0.000100
33, -30.0465, 0.0090, 0.000100
34, -21.2727, -0.0014, 0.000100
35, -22.1364, -0.0033, 0.000100
36, -23.6364, -0.0005, 0.000100
37, -21.4545, -0.0014, 0.000100
38, -21.3953, -0.0020, 0.000100
39, -23.7273, 0.0067, 0.000100
40, -23.2500, 0.0059, 0.000100
41, -22.6591, -0.0000, 0.000100
42, -20.3182, -0.0002, 0.000100
43, -19.6136, -0.0042, 0.000100
44, -25.9302, 0.0069, 0.000100
45, -22.4318, 0.0022, 0.000100
46, -26.4419, 0.0141, 0.000100
47, -29.8140, 0.0087, 0.000100
48, -26.9091, -0.0015, 0.000100
49, -26.5000, 0.0028, 0.000100
50, -23.8636, -0.0020, 0.000100
51, -20.7727, -0.0057, 0.000100
52, -27.7500, 0.0039, 0.000100
53, -21.2727, -0.0031, 0.000100
54, -18.6818, -0.0058, 0.000100
55, -20.3409, -0.0021, 0.000100
56, -22.9545, 0.0040, 0.000100
57, -23.5682, 0.0070, 0.000100
58, -24.1136, 0.0030, 0.000100
59, -22.0000, -0.0033, 0.000100
60, -24.5909, 0.0044, 0.000100
61, -21.1136, 0.0053, 0.000100
62, -20.8182, -0.0008, 0.000100
63, -28.3636, 0.0026, 0.000100
64, -25.0455, -0.0016, 0.000100
65, -19.3256, -0.0064, 0.000100
66, -18.9091, -0.0037, 0.000100
67, -25.5909, 0.0051, 0.000100
68, -20.5455, -0.0026, 0.000100
69, -22.2273, -0.0029, 0.000100
70, -23.0000, -0.0054, 0.000100
71, -21.8864, -0.0007, 0.000100
72, -19.6136, -0.0025, 0.000100
73, -22.2273, 0.0031, 0.000100
74, -28.7045, 0.0043, 0.000100
75, -19.2326, -0.0048, 0.000100
76, -16.9773, -0.0046, 0.000100
77, -25.4545, 0.0058, 0.000100
78, -18.2727, -0.0005, 0.000100
79, -19.8636, -0.0002, 0.000100
80, -25.1136, 0.0056, 0.000100
81, -27.7500, 0.0144, 0.000100
82, -22.0227, -0.0003, 0.000100
83, -24.2955, 0.0097, 0.000100
84, -25.1591, 0.0049, 0.000100
85, -21.9091, -0.0016, 0.000100
86, -17.0000, 0.0006, 0.000100
87, -25.8864, 0.0036, 0.000100
88, -23.4318, -0.0005, 0.000100
89, -19.6818, -0.0054, 0.000100
90, -17.3409, -0.0005, 0.000100
91, -16.1364, -0.0067, 0.000100
92, -20.2500, 0.0008, 0.000100
93, -20.8182, 0.0053, 0.000100
94, -19.4773, -0.0003, 0.000100
95, -22.5814, 0.0053, 0.000100
96, -18.6818, 0.0004, 0.000100
97, -17.2045, -0.0052, 0.000100
98, -22.6364, 0.0039, 0.000100
99, -22.6136, 0.0025, 0.000100
100, -26.0455, 0.0019, 0.000100
101, -20.3864, 0.0002, 0.000100
102, -20.3636, -0.0022, 0.000100
103, -20.2045, 0.0002, 0.000100
104, -25.7273, 0.0031, 0.000100
105, -18.8636, -0.0059, 0.000100
106, -18.8864, -0.0002, 0.000100
107, -21.3409, 0.0030, 0.000100
108, -21.6136, 0.0014, 0.000100
109, -18.1818, -0.0007, 0.000100
110, -18.3023, -0.0026, 0.000100
111, -16.1136, -0.0072, 0.000100
112, -19.1591, -0.0032, 0.000100
113, -24.2500, 0.0067, 0.000100
114, -22.7727, 0.0044, 0.000100
115, -23.4318, -0.0002, 0.000100
116, -23.5682, 0.0019, 0.000100
117, -21.5000, -0.0046, 0.000100
118, -21.4773, 0.0026, 0.000100
119, -20.0909, -0.0044, 0.000100
120, -21.6429, 0.0010, 0.000100
121, -14.8140, -0.0081, 0.000100
122, -25.7727, 0.0037, 0.000100
123, -17.8636, -0.0030, 0.000100
124, -21.2791, 0.0020, 0.000100
125, -18.6818, -0.0048, 0.000100
126, -17.6744, -0.0039, 0.000100
127, -20.1818, 0.0014, 0.000100
128, -23.0233, 0.0050, 0.000100
129, -20.9545, 0.0028, 0.000100
130, -17.6364, -0.0017, 0.000100
131, -15.5455, -0.0103, 0.000100
132, -17.9318, -0.0032, 0.000100
133, -21.2955, 0.0012, 0.000100
134, -28.1190, 0.0079, 0.000100
135, -23.8636, -0.0005, 0.000100
136, -24.0682, 0.0044, 0.000100
137, -21.7273, -0.0098, 0.000100
138, -18.6136, -0.0076, 0.000100
139, -20.1860, -0.0030, 0.000100
140, -15.8409, -0.0080, 0.000100
141, -20.1818, -0.0038, 0.000100
142, -14.7955, -0.0114, 0.000100
143, -18.3095, -0.0046, 0.000100
144, -21.5455, -0.0002, 0.000100
145, -15.6364, -0.0074, 0.000100
146, -18.5227, -0.0039, 0.000100
147, -14.6818, -0.0080, 0.000100
148, -24.9070, 0.0037, 0.000100
149, -17.4318, -0.0064, 0.000100
150, -20.4318, -0.0013, 0.000100
151, -18.2273, -0.0044, 0.000100
152, -13.3182, -0.0136, 0.000100
153, -21.6591, 0.0025, 0.000100
154, -15.2045, -0.0079, 0.000100
155, -23.2045, -0.0003, 0.000100
156, -17.5682, -0.0061, 0.000100
157, -19.4318, 0.0025, 0.000100
158, -24.8864, 0.0010, 0.000100
159, -18.5455, -0.0030, 0.000100
160, -21.2273, -0.0005, 0.000100
161, -17.4318, -0.0046, 0.000100
162, -21.8864, -0.0031, 0.000100
163, -21.3864, -0.0004, 0.000100
164, -21.7500, -0.0069, 0.000100
165, -21.2273, -0.0007, 0.000100
166, -19.4318, -0.0054, 0.000100
167, -22.1136, -0.0016, 0.000100
168, -19.6364, -0.0088, 0.000100
169, -20.6364, -0.0069, 0.000100
170, -22.3864, -0.0012, 0.000100
171, -20.2500, -0.0097, 0.000100
172, -25.9091, -0.0009, 0.000100
173, -17.6591, -0.0101, 0.000100
174, -23.3182, -0.0015, 0.000100
175, -17.5227, -0.0116, 0.000100
176, -19.6364, -0.0069, 0.000100
177, -21.1591, -0.0075, 0.000100
178, -17.3636, -0.0097, 0.000100
179, -22.3182, -0.0035, 0.000100
180, -20.6364, -0.0100, 0.000100
181, -18.7500, -0.0076, 0.000100
182, -20.7500, -0.0062, 0.000100
183, -21.5909, -0.0064, 0.000100
184, -22.2500, -0.0035, 0.000100
185, -23.2500, -0.0023, 0.000100
186, -22.1136, -0.0073, 0.000100
187, -20.1591, -0.0085, 0.000100
188, -22.8864, -0.0045, 0.000100
189, -20.0909, -0.0077, 0.000100
190, -17.6667, -0.0110, 0.000100
191, -18.9318, -0.0124, 0.000100
192, -21.9070, -0.0062, 0.000100
193, -18.8409, -0.0065, 0.000100
194, -16.7727, -0.0128, 0.000100
195, -26.3636, -0.0030, 0.000100
196, -23.5238, -0.0115, 0.000100
197, -22.9091, -0.0090, 0.000100
198, -14.9070, -0.0264, 0.000100
199, -20.8182, -0.0115, 0.000100
200, -20.0682, -0.0097, 0.000100
201, -22.4884, -0.0120, 0.000100
202, -22.2791, -0.0101, 0.000100
203, -20.2500, -0.0097, 0.000100
204, -20.0000, -0.0106, 0.000100
205, -17.5227, -0.0151, 0.000100
206, -23.7045, -0.0054, 0.000100
207, -19.2727, -0.0093, 0.000100
208, -25.7955, 0.0028, 0.000100
209, -21.4318, -0.0090, 0.000100
210, -23.8636, -0.0039, 0.000100
211, -20.5909, -0.0098, 0.000100
212, -23.0227, -0.0033, 0.000100
213, -17.5682, -0.0146, 0.000100
214, -29.0682, 0.0053, 0.000100
215, -22.7955, -0.0010, 0.000100
216, -18.9773, -0.0093, 0.000100
217, -21.1364, -0.0027, 0.000100
218, -21.8605, -0.0001, 0.000100
219, -20.3864, 0.0017, 0.000100
220, -22.1364, 0.0019, 0.000100
221, -19.7500, -0.0037, 0.000100
222, -25.5714, 0.0064, 0.000100
223, -21.0952, -0.0016, 0.000100
224, -22.9773, 0.0040, 0.000100
225, -18.5000, -0.0063, 0.000100
226, -21.4524, 0.0024, 0.000100
227, -17.6364, -0.0020, 0.000100
228, -20.0000, -0.0025, 0.000100
229, -19.7500, -0.0021, 0.000100
230, -17.3636, 0.0001, 0.000100
231, -18.9773, -0.0001, 0.000100
232, -23.7727, 0.0044, 0.000100
233, -20.9545, 0.0039, 0.000100
234, -21.2955, -0.0034, 0.000100
235, -18.2727, -0.0024, 0.000100
236, -20.3721, 0.0049, 0.000100
237, -17.9070, 0.0028, 0.000100
238, -21.3864, 0.0005, 0.000100
239, -23.1364, 0.0018, 0.000100
240, -20.2727, -0.0014, 0.000100
241, -19.7727, 0.0007, 0.000100
242, -20.5000, 0.0038, 0.000100
243, -19.2500, 0.0017, 0.000100
244, -20.2045, 0.0051, 0.000100
245, -22.2093, 0.0027, 0.000100
246, -20.1591, -0.0002, 0.000100
247, -22.5000, 0.0034, 0.000100
248, -18.4545, -0.0013, 0.000100
249, -17.7273, 0.0003, 0.000100
250, -18.3810, -0.0026, 0.000100
251, -17.5455, -0.0022, 0.000100
252, -19.1591, 0.0009, 0.000100
253, -15.6364, -0.0078, 0.000100
254, -19.3864, -0.0002, 0.000100
255, -21.7955, 0.0051, 0.000100
256, -20.4773, 0.0027, 0.000100
257, -21.4545, 0.0026, 0.000100
258, -24.1364, 0.0033, 0.000100
259, -12.0455, -0.0134, 0.000100
260, -20.7273, 0.0047, 0.000100
261, -21.1364, 0.0016, 0.000100
262, -15.3636, -0.0041, 0.000100
263, -22.7500, 0.0014, 0.000100
264, -18.3636, 0.0035, 0.000100
265, -19.5455, 0.0004, 0.000100
266, -17.0909, -0.0017, 0.000100
267, -22.0227, 0.0062, 0.000100
268, -19.2273, -0.0007, 0.000100
269, -20.7045, -0.0012, 0.000100
270, -22.6818, 0.0084, 0.000100
271, -19.3721, 0.0020, 0.000100
272, -18.4318, -0.0006, 0.000100
273, -20.2045, 0.0001, 0.000100
274, -17.6136, -0.0019, 0.000100
275, -20.1818, -0.0007, 0.000100
276, -25.5227, 0.0075, 0.000100
277, -22.6818, 0.0048, 0.000100
278, -22.8636, 0.0049, 0.000100
279, -20.8409, 0.0004, 0.000100
280, -18.1136, -0.0009, 0.000100
281, -26.6136, 0.0082, 0.000100
282, -22.3636, 0.0075, 0.000100
283, -16.2273, -0.0017, 0.000100
284, -17.7955, -0.0007, 0.000100
285, -19.5227, 0.0027, 0.000100
286, -21.8182, 0.0024, 0.000100
287, -17.6136, -0.0017, 0.000100
288, -22.0909, -0.0005, 0.000100
289, -18.4545, -0.0010, 0.000100
290, -23.5227, 0.0015, 0.000100
291, -19.1591, 0.0018, 0.000100
292, -22.3182, -0.0002, 0.000100
293, -18.2500, -0.0044, 0.000100
294, -24.0682, 0.0018, 0.000100
295, -16.5682, -0.0098, 0.000100
296, -15.9318, -0.0083, 0.000100
297, -18.9091, -0.0056, 0.000100
298, -20.8636, -0.0027, 0.000100
299, -18.5455, -0.0004, 0.000100
300, -19.8636, 0.0013, 0.000100
301, -19.6136, -0.0038, 0.000100
302, -23.3333, 0.0015, 0.000100
303, -21.1818, 0.0005, 0.000100
304, -22.5000, 0.0029, 0.000100
305, -19.0000, -0.0017, 0.000100
306, -20.4773, -0.0007, 0.000100
307, -21.5227, 0.0017, 0.000100
308, -20.4773, 0.0002, 0.000100
309, -19.1818, -0.0017, 0.000100
310, -20.5238, -0.0005, 0.000100
311, -19.0227, -0.0019, 0.000100
312, -15.6818, -0.0093, 0.000100
313, -18.2500, -0.0044, 0.000100
314, -20.3721, 0.0019, 0.000100
315, -16.2273, -0.0031, 0.000100
316, -26.1818, 0.0055, 0.000100
317, -18.8605, -0.0031, 0.000100
318, -19.9773, -0.0027, 0.000100
319, -18.8636, -0.0035, 0.000100
320, -21.4773, 0.0016, 0.000100
321, -19.9318, 0.0022, 0.000100
322, -18.2955, 0.0007, 0.000100
323, -20.7727, 0.0043, 0.000100
324, -20.9535, -0.0027, 0.000100
325, -19.5455, 0.0016, 0.000100
326, -22.1591, 0.0065, 0.000100
327, -16.9091, -0.0083, 0.000100
328, -19.6136, 0.0001, 0.000100
329, -27.2955, 0.0073, 0.000100
330, -19.0455, -0.0029, 0.000100
331, -20.6364, 0.0007, 0.000100
332, -15.4773, -0.0091, 0.000100
333, -25.9318, 0.0082, 0.000100
334, -20.1591, -0.0033, 0.000100
335, -24.3409, -0.0003, 0.000100
336, -19.1136, -0.0065, 0.000100
337, -20.5227, 0.0045, 0.000100
338, -18.5455, -0.0027, 0.000100
339, -21.6136, 0.0020, 0.000100
340, -20.9545, 0.0009, 0.000100
341, -24.1395, 0.0003, 0.000100
342, -17.3864, -0.0041, 0.000100
343, -16.2727, -0.0065, 0.000100
344, -17.4651, -0.0037, 0.000100
345, -21.0000, 0.0001, 0.000100
346, -16.6136, -0.0035, 0.000100
347, -18.3409, -0.0022, 0.000100
348, -21.1591, 0.0007, 0.000100
349, -24.2273, -0.0011, 0.000100
350, -22.3864, -0.0029, 0.000100
351, -19.3409, -0.0036, 0.000100
352, -21.9773, -0.0019, 0.000100
353, -22.0455, -0.0017, 0.000100
354, -17.4545, -0.0093, 0.000100
355, -19.2500, -0.0045, 0.000100
356, -19.1591, -0.0054, 0.000100
357, -22.2727, -0.0004, 0.000100
358, -18.2955, 0.0008, 0.000100
359, -19.1136, -0.0005, 0.000100
360, -21.9091, -0.0017, 0.000100
361, -17.7273, -0.0027, 0.000100
362, -19.3409, 0.0042, 0.000100
363, -18.1364, -0.0019, 0.000100
364, -17.3488, -0.0053, 0.000100
365, -18.2093, -0.0000, 0.000100
366, -19.8182, 0.0009, 0.000100
367, -20.7955, 0.0005, 0.000100
368, -20.2273, -0.0004, 0.000100
369, -20.3182, -0.0015, 0.000100
370, -20.9773, -0.0029, 0.000100
371, -17.9767, -0.0056, 0.000100
372, -23.4091, 0.0020, 0.000100
373, -15.5227, -0.0105, 0.000100
374, -20.5227, -0.0055, 0.000100
375, -15.3636, -0.0076, 0.000100
376, -19.6744, -0.0003, 0.000100
377, -23.8182, 0.0025, 0.000100
378, -17.6744, -0.0074, 0.000100
379, -22.3636, 0.0004, 0.000100
380, -19.2045, -0.0022, 0.000100
381, -18.7500, -0.0058, 0.000100
382, -16.6591, -0.0070, 0.000100
383, -14.0227, -0.0118, 0.000100
384, -20.6744, -0.0014, 0.000100
385, -19.5455, -0.0051, 0.000100
386, -16.3953, -0.0071, 0.000100
387, -22.3182, -0.0019, 0.000100
388, -18.9091, -0.0000, 0.000100
389, -23.3409, -0.0005, 0.000100
390, -18.7273, -0.0036, 0.000100
391, -20.2500, -0.0009, 0.000100
392, -14.1364, -0.0085, 0.000100
393, -24.0238, 0.0046, 0.000100
394, -16.4318, -0.0119, 0.000100
395, -20.9091, -0.0038, 0.000100
396, -21.2273, 0.0016, 0.000100
397, -21.9091, 0.0038, 0.000100
398, -16.2273, -0.0106, 0.000100
399, -23.1591, -0.0019, 0.000100
400, -13.9545, -0.0122, 0.000100
401, -14.7674, -0.0085, 0.000100
402, -18.1364, -0.0022, 0.000100
403, -21.1163, -0.0013, 0.000100
404, -15.8182, -0.0063, 0.000100
405, -20.4773, 0.0017, 0.000100
406, -18.9318, -0.0071, 0.000100
407, -17.7727, -0.0023, 0.000100
408, -20.4545, -0.0009, 0.000100
409, -17.9091, -0.0012, 0.000100
410, -18.1429, -0.0014, 0.000100
411, -16.0000, -0.0059, 0.000100
412, -17.8409, 0.0005, 0.000100
413, -23.7500, 0.0052, 0.000100
414, -21.2955, 0.0021, 0.000100
415, -19.6818, -0.0034, 0.000100
416, -18.6744, -0.0065, 0.000100
417, -19.3182, -0.0043, 0.000100
418, -19.6591, -0.0040, 0.000100
419, -19.1136, -0.0039, 0.000100
420, -14.9773, -0.0109, 0.000100
421, -17.8095, 0.0020, 0.000100
422, -16.7955, -0.0029, 0.000100
423, -17.4545, -0.0021, 0.000100
424, -21.3409, 0.0007, 0.000100
425, -20.5909, 0.0006, 0.000100
426, -17.6364, -0.0010, 0.000100
427, -15.1364, -0.0041, 0.000100
428, -20.2093, 0.0081, 0.000100
429, -17.5682, -0.0016, 0.000100
430, -18.2727, 0.0052, 0.000100
431, -23.6190, 0.0046, 0.000100
432, -20.4091, 0.0048, 0.000100
433, -19.6591, 0.0022, 0.000100
434, -22.9545, 0.0003, 0.000100
435, -17.0909, -0.0029, 0.000100
436, -16.9091, -0.0046, 0.000100
437, -19.3864, -0.0008, 0.000100
438, -16.8409, -0.0051, 0.000100
439, -14.9773, -0.0030, 0.000100
440, -17.7143, -0.0008, 0.000100
441, -20.7955, 0.0090, 0.000100
442, -17.2857, -0.0013, 0.000100
443, -18.7273, -0.0000, 0.000100
444, -17.8837, 0.0041, 0.000100
445, -19.9773, 0.0018, 0.000100
446, -17.3182, -0.0034, 0.000100
447, -13.3182, -0.0071, 0.000100
448, -17.5000, -0.0003, 0.000100
449, -18.8864, 0.0092, 0.000100
450, -18.8409, 0.0027, 0.000100
451, -16.9545, -0.0050, 0.000100
452, -16.6818, 0.0014, 0.000100
453, -14.6136, -0.0058, 0.000100
454, -20.8636, 0.0069, 0.000100
455, -17.0000, -0.0017, 0.000100
456, -14.4318, -0.0033, 0.000100
457, -16.7500, -0.0016, 0.000100
458, -23.0682, 0.0070, 0.000100
459, -16.0682, -0.0012, 0.000100
460, -20.6279, 0.0052, 0.000100
461, -21.6364, 0.0047, 0.000100
462, -18.6136, -0.0033, 0.000100
463, -21.8864, 0.0123, 0.000100
464, -16.1429, -0.0056, 0.000100
465, -18.9773, -0.0045, 0.000100
466, -19.5682, -0.0015, 0.000100
467, -19.1591, 0.0005, 0.000100
468, -18.0682, -0.0048, 0.000100
469, -17.5682, -0.0030, 0.000100
470, -19.1591, 0.0010, 0.000100
471, -20.6136, 0.0011, 0.000100
472, -21.2727, -0.0008, 0.000100
473, -20.0455, 0.0009, 0.000100
474, -17.7955, -0.0053, 0.000100
475, -18.0909, -0.0040, 0.000100
476, -19.6818, -0.0043, 0.000100
477, -21.4091, -0.0023, 0.000100
478, -20.6591, -0.0042, 0.000100
479, -21.8409, -0.0015, 0.000100
480, -21.9545, 0.0004, 0.000100
481, -21.4545, 0.0016, 0.000100
482, -17.6591, -0.0060, 0.000100
483, -14.7045, -0.0068, 0.000100
484, -19.2955, -0.0006, 0.000100
485, -14.9302, -0.0101, 0.000100
486, -12.5227, -0.0114, 0.000100
487, -16.5227, -0.0011, 0.000100
488, -19.2727, -0.0013, 0.000100
489, -17.3182, -0.0046, 0.000100
490, -19.5227, -0.0010, 0.000100
491, -19.7955, -0.0002, 0.000100
492, -17.8636, -0.0008, 0.000100
493, -18.8636, -0.0019, 0.000100
494, -18.1818, 0.0005, 0.000100
495, -18.8837, 0.0004, 0.000100
496, -16.4091, -0.0039, 0.000100
497, -20.9773, -0.0031, 0.000100
498, -20.3182, 0.0002, 0.000100
499, -16.3636, -0.0012, 0.000100
500, -16.8864, 0.0002, 0.000100
