episode, reward, loss, lr
1, -16.3409, -0.0088, 0.000010
2, -14.5682, -0.0107, 0.000010
3, -16.5909, -0.0035, 0.000010
4, -17.7273, -0.0058, 0.000010
5, -15.2727, -0.0085, 0.000010
6, -17.6136, -0.0002, 0.000010
7, -16.1818, -0.0033, 0.000010
8, -12.6364, -0.0088, 0.000010
9, -18.1364, 0.0020, 0.000010
10, -12.4091, -0.0094, 0.000010
11, -13.7500, -0.0032, 0.000010
12, -16.0455, -0.0011, 0.000010
13, -18.1818, 0.0015, 0.000010
14, -16.5682, -0.0005, 0.000010
15, -15.7955, -0.0027, 0.000010
16, -14.9545, -0.0050, 0.000010
17, -15.3182, -0.0021, 0.000010
18, -16.0227, -0.0018, 0.000010
19, -14.9091, -0.0040, 0.000010
20, -13.0682, -0.0045, 0.000010
21, -15.6744, -0.0041, 0.000010
22, -16.3953, -0.0022, 0.000010
23, -14.8864, -0.0002, 0.000010
24, -17.3182, 0.0077, 0.000010
25, -15.0455, -0.0013, 0.000010
26, -17.9535, 0.0031, 0.000010
27, -15.9091, -0.0024, 0.000010
28, -15.6591, -0.0034, 0.000010
29, -13.9773, -0.0040, 0.000010
30, -19.4545, 0.0014, 0.000010
31, -15.7727, -0.0007, 0.000010
32, -15.0000, -0.0016, 0.000010
33, -19.5116, 0.0022, 0.000010
34, -15.4318, -0.0000, 0.000010
35, -14.8864, -0.0011, 0.000010
36, -16.0000, -0.0029, 0.000010
37, -18.0455, -0.0003, 0.000010
38, -14.5581, -0.0002, 0.000010
39, -16.7273, -0.0002, 0.000010
40, -16.6591, -0.0005, 0.000010
41, -17.1136, 0.0008, 0.000010
42, -11.9545, -0.0076, 0.000010
43, -15.7045, 0.0000, 0.000010
44, -21.0233, 0.0017, 0.000010
45, -12.1818, -0.0085, 0.000010
46, -15.3256, -0.0023, 0.000010
47, -17.5116, 0.0031, 0.000010
48, -13.3636, -0.0045, 0.000010
49, -19.9545, 0.0027, 0.000010
50, -17.1364, 0.0012, 0.000010
51, -15.7500, 0.0006, 0.000010
52, -19.6136, 0.0038, 0.000010
53, -14.2955, -0.0021, 0.000010
54, -12.4773, -0.0051, 0.000010
55, -14.9773, 0.0004, 0.000010
56, -17.8636, 0.0020, 0.000010
57, -16.7500, 0.0044, 0.000010
58, -13.3864, -0.0033, 0.000010
59, -14.4091, -0.0014, 0.000010
60, -18.5909, 0.0021, 0.000010
61, -17.1136, 0.0013, 0.000010
62, -14.2500, -0.0004, 0.000010
63, -14.6591, -0.0012, 0.000010
64, -16.4545, -0.0032, 0.000010
65, -14.2791, 0.0010, 0.000010
66, -12.7500, -0.0043, 0.000010
67, -17.3636, 0.0034, 0.000010
68, -16.3636, 0.0039, 0.000010
69, -17.1591, 0.0048, 0.000010
70, -23.4545, 0.0119, 0.000010
71, -14.8864, -0.0010, 0.000010
72, -16.1136, 0.0005, 0.000010
73, -18.0682, 0.0013, 0.000010
74, -17.5909, -0.0004, 0.000010
75, -17.7907, 0.0067, 0.000010
76, -12.5000, -0.0054, 0.000010
77, -16.2955, 0.0014, 0.000010
78, -17.7955, 0.0028, 0.000010
79, -14.5000, -0.0022, 0.000010
80, -14.2727, -0.0016, 0.000010
81, -17.5227, 0.0032, 0.000010
82, -17.8864, 0.0047, 0.000010
83, -17.8864, 0.0041, 0.000010
84, -15.5227, 0.0012, 0.000010
85, -18.3864, 0.0020, 0.000010
86, -13.8837, -0.0070, 0.000010
87, -16.3409, -0.0025, 0.000010
88, -14.5455, -0.0013, 0.000010
89, -16.6136, -0.0001, 0.000010
90, -15.9318, -0.0032, 0.000010
91, -14.3182, -0.0046, 0.000010
92, -15.1364, 0.0008, 0.000010
93, -15.9318, -0.0010, 0.000010
94, -18.7500, 0.0029, 0.000010
95, -19.0465, 0.0038, 0.000010
96, -14.9545, -0.0048, 0.000010
97, -15.1136, -0.0005, 0.000010
98, -15.6591, 0.0013, 0.000010
99, -14.7273, -0.0009, 0.000010
100, -19.3864, 0.0060, 0.000010
101, -20.8409, 0.0035, 0.000010
102, -16.3182, -0.0015, 0.000010
103, -12.8636, -0.0065, 0.000010
104, -18.7955, -0.0008, 0.000010
105, -14.2727, -0.0069, 0.000010
106, -15.7273, -0.0011, 0.000010
107, -13.0682, -0.0023, 0.000010
108, -14.9318, -0.0010, 0.000010
109, -15.8409, 0.0001, 0.000010
110, -19.8605, 0.0024, 0.000010
111, -16.6136, 0.0042, 0.000010
112, -16.9545, -0.0009, 0.000010
113, -15.6364, 0.0038, 0.000010
114, -16.0909, 0.0012, 0.000010
115, -14.9091, 0.0006, 0.000010
116, -18.0455, 0.0041, 0.000010
117, -12.4773, -0.0056, 0.000010
118, -14.2955, 0.0028, 0.000010
119, -17.8636, 0.0020, 0.000010
120, -16.4524, 0.0036, 0.000010
121, -15.2326, -0.0030, 0.000010
122, -20.2727, 0.0097, 0.000010
123, -14.4773, 0.0021, 0.000010
124, -23.1395, 0.0081, 0.000010
125, -17.3182, 0.0038, 0.000010
126, -15.8140, -0.0027, 0.000010
127, -18.2955, 0.0036, 0.000010
128, -16.0465, 0.0016, 0.000010
129, -16.7727, -0.0011, 0.000010
130, -18.7273, 0.0036, 0.000010
131, -19.0909, 0.0031, 0.000010
132, -15.8409, 0.0002, 0.000010
133, -15.3409, -0.0002, 0.000010
134, -16.8810, 0.0014, 0.000010
135, -15.3864, -0.0005, 0.000010
136, -15.9091, -0.0001, 0.000010
137, -14.3409, -0.0050, 0.000010
138, -13.8636, -0.0019, 0.000010
139, -16.1395, -0.0002, 0.000010
140, -16.0682, -0.0006, 0.000010
141, -15.5682, 0.0021, 0.000010
142, -14.0227, -0.0001, 0.000010
143, -17.7143, -0.0004, 0.000010
144, -18.4545, 0.0036, 0.000010
145, -12.7273, -0.0048, 0.000010
146, -16.8182, 0.0038, 0.000010
147, -16.1591, 0.0002, 0.000010
148, -16.8372, 0.0031, 0.000010
149, -13.9545, -0.0015, 0.000010
150, -14.3864, -0.0020, 0.000010
151, -11.1818, -0.0034, 0.000010
152, -15.2500, 0.0026, 0.000010
153, -19.7273, 0.0049, 0.000010
154, -16.4773, 0.0028, 0.000010
155, -14.9091, -0.0017, 0.000010
156, -12.3636, -0.0052, 0.000010
157, -15.3864, -0.0012, 0.000010
158, -15.0682, 0.0002, 0.000010
159, -14.0000, 0.0015, 0.000010
160, -16.4318, 0.0045, 0.000010
161, -15.8409, -0.0000, 0.000010
162, -15.4318, 0.0017, 0.000010
163, -17.8409, 0.0047, 0.000010
164, -16.2727, 0.0037, 0.000010
165, -15.9318, 0.0036, 0.000010
166, -14.6136, -0.0023, 0.000010
167, -15.7727, 0.0015, 0.000010
168, -16.5227, 0.0020, 0.000010
169, -19.2955, 0.0080, 0.000010
170, -15.3864, -0.0029, 0.000010
171, -18.2955, 0.0060, 0.000010
172, -16.8409, -0.0010, 0.000010
173, -18.0455, 0.0053, 0.000010
174, -15.1591, -0.0042, 0.000010
175, -15.7045, 0.0007, 0.000010
176, -16.1818, -0.0000, 0.000010
177, -17.5000, 0.0053, 0.000010
178, -15.6136, -0.0026, 0.000010
179, -15.2955, 0.0005, 0.000010
180, -17.7955, 0.0031, 0.000010
181, -17.3864, 0.0044, 0.000010
182, -14.0455, -0.0025, 0.000010
183, -15.1818, -0.0011, 0.000010
184, -19.6364, 0.0040, 0.000010
185, -18.3182, 0.0043, 0.000010
186, -12.8409, -0.0036, 0.000010
187, -19.8636, 0.0093, 0.000010
188, -19.2273, 0.0022, 0.000010
189, -15.5000, -0.0005, 0.000010
190, -17.5476, 0.0007, 0.000010
191, -12.8864, -0.0058, 0.000010
192, -16.2558, 0.0007, 0.000010
193, -16.8864, 0.0012, 0.000010
194, -16.0909, -0.0004, 0.000010
195, -18.5455, 0.0047, 0.000010
196, -17.1190, 0.0041, 0.000010
197, -17.1364, 0.0033, 0.000010
198, -17.0233, 0.0004, 0.000010
199, -14.3182, -0.0029, 0.000010
200, -15.5682, -0.0007, 0.000010
201, -17.8372, 0.0025, 0.000010
202, -14.0465, 0.0000, 0.000010
203, -17.7273, 0.0065, 0.000010
204, -20.5909, 0.0032, 0.000010
205, -15.2045, 0.0055, 0.000010
206, -18.0682, 0.0010, 0.000010
207, -21.2273, 0.0040, 0.000010
208, -16.0000, -0.0026, 0.000010
209, -18.2500, 0.0042, 0.000010
210, -17.7500, -0.0023, 0.000010
211, -17.5000, -0.0013, 0.000010
212, -16.6136, -0.0002, 0.000010
213, -12.7500, -0.0064, 0.000010
214, -19.9545, 0.0039, 0.000010
215, -15.3636, -0.0061, 0.000010
216, -14.2727, -0.0048, 0.000010
217, -14.2273, -0.0070, 0.000010
218, -16.6977, -0.0009, 0.000010
219, -15.1591, -0.0049, 0.000010
220, -19.8182, 0.0019, 0.000010
221, -14.7500, -0.0034, 0.000010
222, -18.1667, -0.0011, 0.000010
223, -15.7857, -0.0048, 0.000010
224, -15.3636, -0.0048, 0.000010
225, -14.8636, -0.0032, 0.000010
226, -12.7857, -0.0056, 0.000010
227, -14.3636, -0.0030, 0.000010
228, -18.1136, 0.0026, 0.000010
229, -14.3182, -0.0006, 0.000010
230, -13.2500, -0.0003, 0.000010
231, -15.8864, 0.0005, 0.000010
232, -15.4545, -0.0004, 0.000010
233, -16.3182, 0.0007, 0.000010
234, -15.6136, -0.0001, 0.000010
235, -16.5455, -0.0000, 0.000010
236, -14.3256, 0.0002, 0.000010
237, -14.7674, -0.0008, 0.000010
238, -13.8864, -0.0026, 0.000010
239, -15.7500, -0.0015, 0.000010
240, -16.1364, 0.0019, 0.000010
241, -17.3636, 0.0037, 0.000010
242, -13.9773, -0.0024, 0.000010
243, -17.7045, 0.0072, 0.000010
244, -15.8636, 0.0000, 0.000010
245, -18.9302, 0.0045, 0.000010
246, -12.7727, -0.0049, 0.000010
247, -16.8182, 0.0038, 0.000010
248, -17.0000, 0.0017, 0.000010
249, -14.7500, 0.0014, 0.000010
250, -13.6905, -0.0048, 0.000010
251, -13.2727, -0.0016, 0.000010
252, -17.0682, 0.0040, 0.000010
253, -17.7273, 0.0035, 0.000010
254, -15.1818, 0.0008, 0.000010
255, -14.6591, -0.0019, 0.000010
256, -16.7955, 0.0016, 0.000010
257, -15.0455, 0.0000, 0.000010
258, -17.0000, -0.0014, 0.000010
259, -13.2045, -0.0036, 0.000010
260, -16.9773, 0.0020, 0.000010
261, -13.1591, -0.0025, 0.000010
262, -13.3409, -0.0021, 0.000010
263, -17.5682, 0.0032, 0.000010
264, -17.1364, 0.0042, 0.000010
265, -13.9091, -0.0040, 0.000010
266, -14.9318, -0.0030, 0.000010
267, -16.3636, 0.0045, 0.000010
268, -13.9091, -0.0028, 0.000010
269, -14.5000, -0.0013, 0.000010
270, -16.9773, 0.0025, 0.000010
271, -17.0000, 0.0052, 0.000010
272, -16.3409, 0.0007, 0.000010
273, -16.4318, 0.0006, 0.000010
274, -12.8182, -0.0077, 0.000010
275, -16.5455, 0.0030, 0.000010
276, -21.4545, 0.0068, 0.000010
277, -17.0227, 0.0003, 0.000010
278, -14.7500, -0.0057, 0.000010
279, -13.5227, -0.0024, 0.000010
280, -18.9091, 0.0070, 0.000010
281, -18.3636, 0.0061, 0.000010
282, -16.8182, 0.0024, 0.000010
283, -13.8409, -0.0034, 0.000010
284, -15.6818, 0.0004, 0.000010
285, -17.1818, -0.0016, 0.000010
286, -14.9318, -0.0010, 0.000010
287, -18.4318, 0.0053, 0.000010
288, -14.0000, -0.0056, 0.000010
289, -15.1364, -0.0008, 0.000010
290, -15.4773, -0.0012, 0.000010
291, -14.4091, 0.0001, 0.000010
292, -16.5682, 0.0022, 0.000010
293, -14.8182, 0.0009, 0.000010
294, -16.4545, 0.0030, 0.000010
295, -17.8636, 0.0051, 0.000010
296, -12.9318, -0.0038, 0.000010
297, -12.2500, -0.0026, 0.000010
298, -20.6818, 0.0034, 0.000010
299, -19.1136, 0.0055, 0.000010
300, -14.1136, -0.0034, 0.000010
301, -17.8182, 0.0067, 0.000010
302, -14.2619, -0.0037, 0.000010
303, -18.1818, 0.0034, 0.000010
304, -14.2727, -0.0019, 0.000010
305, -16.1818, 0.0003, 0.000010
306, -19.7273, 0.0044, 0.000010
307, -15.2045, 0.0012, 0.000010
308, -18.2955, 0.0032, 0.000010
309, -17.0455, 0.0025, 0.000010
310, -17.9762, -0.0000, 0.000010
311, -14.9091, 0.0015, 0.000010
312, -15.0227, 0.0002, 0.000010
313, -16.4091, -0.0000, 0.000010
314, -17.2093, 0.0046, 0.000010
315, -13.7500, -0.0025, 0.000010
316, -15.6818, -0.0022, 0.000010
