episode, reward, loss, lr
1, -13.8636, -0.0049, 0.000010
2, -19.0000, 0.0043, 0.000010
3, -16.3409, -0.0001, 0.000010
4, -17.1818, 0.0010, 0.000010
5, -18.1136, 0.0028, 0.000010
6, -15.9091, 0.0008, 0.000010
7, -18.2045, 0.0031, 0.000010
8, -14.3636, -0.0016, 0.000010
9, -19.5000, 0.0042, 0.000010
10, -13.4318, -0.0036, 0.000010
11, -14.3182, -0.0005, 0.000010
12, -15.7955, 0.0005, 0.000010
13, -15.8182, -0.0025, 0.000010
14, -16.4545, 0.0022, 0.000010
15, -13.8182, -0.0019, 0.000010
16, -17.7273, 0.0035, 0.000010
17, -15.6591, 0.0050, 0.000010
18, -15.2045, -0.0017, 0.000010
19, -16.8182, 0.0003, 0.000010
20, -13.0227, 0.0008, 0.000010
21, -16.0233, -0.0019, 0.000010
22, -17.6047, 0.0048, 0.000010
23, -13.8864, -0.0004, 0.000010
24, -17.3182, -0.0037, 0.000010
25, -16.5227, -0.0015, 0.000010
26, -20.2326, 0.0040, 0.000010
27, -15.4773, -0.0011, 0.000010
28, -14.2273, 0.0021, 0.000010
29, -14.3636, -0.0031, 0.000010
30, -14.1591, -0.0029, 0.000010
31, -14.9545, -0.0004, 0.000010
32, -15.6977, 0.0036, 0.000010
33, -16.0233, 0.0000, 0.000010
34, -15.2045, -0.0004, 0.000010
35, -15.2727, 0.0013, 0.000010
36, -14.8182, -0.0004, 0.000010
37, -20.4091, 0.0081, 0.000010
38, -14.0465, -0.0014, 0.000010
39, -15.3864, -0.0010, 0.000010
40, -14.0227, -0.0006, 0.000010
41, -14.5909, -0.0025, 0.000010
42, -13.8636, -0.0024, 0.000010
43, -16.0227, -0.0001, 0.000010
44, -19.6512, 0.0060, 0.000010
45, -15.5909, 0.0013, 0.000010
46, -16.1163, 0.0048, 0.000010
47, -18.2093, 0.0025, 0.000010
48, -12.6364, -0.0031, 0.000010
49, -22.4318, 0.0061, 0.000010
50, -16.6364, -0.0002, 0.000010
51, -14.0909, -0.0007, 0.000010
52, -14.5909, -0.0019, 0.000010
53, -16.6136, 0.0038, 0.000010
54, -13.9773, 0.0007, 0.000010
55, -16.9773, 0.0024, 0.000010
56, -18.4091, 0.0052, 0.000010
57, -16.8864, 0.0046, 0.000010
58, -15.1818, 0.0013, 0.000010
59, -19.0909, 0.0036, 0.000010
60, -18.5000, 0.0031, 0.000010
61, -17.0227, 0.0017, 0.000010
62, -15.8864, 0.0041, 0.000010
63, -16.6818, 0.0033, 0.000010
64, -14.8864, -0.0006, 0.000010
65, -15.0698, 0.0038, 0.000010
66, -13.7955, -0.0021, 0.000010
67, -15.0682, -0.0011, 0.000010
68, -15.5227, -0.0005, 0.000010
69, -16.4773, 0.0010, 0.000010
70, -16.5000, 0.0029, 0.000010
71, -12.1364, -0.0034, 0.000010
72, -14.1136, -0.0038, 0.000010
73, -16.0455, 0.0015, 0.000010
74, -18.8409, 0.0056, 0.000010
75, -17.2093, 0.0010, 0.000010
76, -16.5000, 0.0031, 0.000010
77, -16.9545, 0.0011, 0.000010
78, -18.6136, 0.0074, 0.000010
79, -14.5909, -0.0002, 0.000010
80, -17.7045, 0.0026, 0.000010
81, -18.5455, 0.0019, 0.000010
82, -16.3864, 0.0032, 0.000010
83, -18.5455, 0.0001, 0.000010
84, -15.6136, -0.0011, 0.000010
85, -15.8409, -0.0033, 0.000010
86, -18.4884, 0.0010, 0.000010
87, -16.6818, -0.0033, 0.000010
88, -15.1818, -0.0019, 0.000010
89, -14.0227, -0.0009, 0.000010
90, -16.4318, 0.0027, 0.000010
91, -15.6591, 0.0042, 0.000010
92, -16.5000, 0.0014, 0.000010
93, -16.9091, 0.0035, 0.000010
94, -14.5682, -0.0002, 0.000010
95, -19.6744, 0.0024, 0.000010
96, -16.1818, 0.0007, 0.000010
97, -13.5682, -0.0006, 0.000010
98, -15.4545, 0.0001, 0.000010
99, -12.6818, -0.0028, 0.000010
100, -21.3864, 0.0058, 0.000010
101, -17.0455, 0.0025, 0.000010
102, -14.9318, 0.0016, 0.000010
103, -15.0227, -0.0025, 0.000010
104, -18.6591, 0.0025, 0.000010
105, -14.0227, -0.0039, 0.000010
106, -15.7955, -0.0002, 0.000010
107, -14.8182, -0.0002, 0.000010
108, -18.9318, 0.0021, 0.000010
109, -16.0682, 0.0009, 0.000010
110, -18.9767, 0.0038, 0.000010
111, -14.4091, -0.0033, 0.000010
112, -14.7500, 0.0005, 0.000010
113, -15.0455, -0.0031, 0.000010
114, -16.1364, -0.0015, 0.000010
115, -17.7045, 0.0042, 0.000010
116, -15.1364, 0.0010, 0.000010
117, -14.6818, 0.0015, 0.000010
118, -14.1364, -0.0006, 0.000010
119, -17.7045, 0.0035, 0.000010
120, -17.7381, 0.0038, 0.000010
121, -11.9535, -0.0050, 0.000010
122, -17.4773, 0.0008, 0.000010
123, -14.9773, 0.0009, 0.000010
124, -17.5814, 0.0025, 0.000010
125, -14.8636, 0.0031, 0.000010
126, -16.3256, 0.0022, 0.000010
127, -14.2955, 0.0000, 0.000010
128, -17.8605, 0.0013, 0.000010
129, -16.3636, -0.0014, 0.000010
130, -15.2273, 0.0019, 0.000010
131, -15.9773, 0.0039, 0.000010
132, -16.8864, 0.0027, 0.000010
133, -13.2273, -0.0027, 0.000010
134, -18.5714, 0.0032, 0.000010
135, -13.4545, -0.0050, 0.000010
136, -14.6591, 0.0002, 0.000010
137, -14.8182, -0.0014, 0.000010
138, -16.6136, 0.0000, 0.000010
139, -15.8140, 0.0053, 0.000010
140, -15.7727, 0.0056, 0.000010
141, -14.6364, 0.0035, 0.000010
142, -17.2273, -0.0004, 0.000010
143, -15.9286, 0.0013, 0.000010
144, -19.9091, 0.0022, 0.000010
145, -15.7273, 0.0008, 0.000010
146, -16.9773, 0.0037, 0.000010
147, -14.0682, -0.0001, 0.000010
148, -19.5349, 0.0087, 0.000010
149, -15.8409, 0.0025, 0.000010
150, -14.5227, 0.0008, 0.000010
151, -13.8409, 0.0015, 0.000010
152, -16.1591, 0.0026, 0.000010
153, -16.6818, 0.0040, 0.000010
154, -14.2955, -0.0024, 0.000010
155, -19.3864, 0.0054, 0.000010
156, -16.5682, 0.0009, 0.000010
157, -16.9545, 0.0025, 0.000010
158, -19.7500, 0.0022, 0.000010
159, -15.5000, 0.0001, 0.000010
160, -14.4091, -0.0018, 0.000010
161, -13.7273, -0.0026, 0.000010
162, -19.1818, 0.0030, 0.000010
163, -18.5455, 0.0041, 0.000010
164, -18.5455, 0.0023, 0.000010
165, -16.5227, 0.0028, 0.000010
166, -16.0909, 0.0017, 0.000010
167, -14.3409, -0.0005, 0.000010
168, -18.1818, 0.0017, 0.000010
169, -16.6591, 0.0027, 0.000010
170, -16.0227, 0.0019, 0.000010
171, -16.2727, 0.0018, 0.000010
172, -15.7727, -0.0007, 0.000010
173, -15.9318, -0.0002, 0.000010
174, -14.9091, -0.0013, 0.000010
175, -16.6136, 0.0015, 0.000010
176, -14.5909, -0.0002, 0.000010
177, -15.0909, -0.0003, 0.000010
178, -14.9091, -0.0037, 0.000010
179, -16.9318, 0.0032, 0.000010
180, -18.0682, 0.0039, 0.000010
181, -16.7727, -0.0008, 0.000010
182, -16.5227, 0.0023, 0.000010
183, -20.3636, 0.0066, 0.000010
184, -20.0682, 0.0010, 0.000010
185, -18.8864, 0.0102, 0.000010
186, -17.6818, 0.0025, 0.000010
187, -19.9545, 0.0032, 0.000010
188, -16.1136, -0.0019, 0.000010
189, -15.1591, -0.0009, 0.000010
190, -16.5952, 0.0026, 0.000010
191, -14.9545, 0.0015, 0.000010
192, -17.0930, 0.0021, 0.000010
193, -17.1818, 0.0017, 0.000010
194, -16.9545, 0.0046, 0.000010
195, -18.5909, 0.0032, 0.000010
196, -18.2381, 0.0012, 0.000010
197, -19.7045, 0.0065, 0.000010
198, -14.6512, -0.0023, 0.000010
199, -17.4545, 0.0017, 0.000010
200, -15.3182, -0.0004, 0.000010
201, -19.0930, 0.0036, 0.000010
202, -15.5814, 0.0026, 0.000010
203, -17.5682, 0.0002, 0.000010
204, -18.6136, 0.0018, 0.000010
205, -13.8409, -0.0077, 0.000010
206, -15.2955, -0.0043, 0.000010
207, -15.7045, -0.0014, 0.000010
208, -14.7727, -0.0037, 0.000010
209, -15.9773, -0.0007, 0.000010
210, -17.0909, 0.0031, 0.000010
211, -19.3182, 0.0039, 0.000010
212, -19.3636, 0.0063, 0.000010
213, -14.5455, -0.0014, 0.000010
214, -17.9773, 0.0028, 0.000010
215, -11.0000, -0.0069, 0.000010
216, -13.8864, -0.0027, 0.000010
217, -16.4545, 0.0026, 0.000010
218, -17.8605, 0.0035, 0.000010
219, -17.8409, 0.0050, 0.000010
220, -15.3409, 0.0013, 0.000010
221, -17.0682, -0.0003, 0.000010
222, -16.1905, 0.0014, 0.000010
