episode, reward, loss, lr
1, -23.0227, 0.0397, 0.000100
2, -26.4545, 0.0344, 0.000100
3, -22.3182, 0.0279, 0.000100
4, -20.4091, 0.0263, 0.000100
5, -25.9773, 0.0247, 0.000100
6, -27.4318, 0.0227, 0.000100
7, -23.9318, 0.0121, 0.000100
8, -22.7045, 0.0076, 0.000100
9, -26.7273, 0.0157, 0.000100
10, -21.6364, 0.0102, 0.000100
11, -22.1818, 0.0049, 0.000100
12, -20.6364, 0.0010, 0.000100
13, -22.8409, 0.0005, 0.000100
14, -21.3636, -0.0043, 0.000100
15, -23.3182, 0.0044, 0.000100
16, -23.4318, -0.0016, 0.000100
17, -25.9318, 0.0029, 0.000100
18, -25.7500, 0.0006, 0.000100
19, -21.3864, -0.0025, 0.000100
20, -21.1591, 0.0029, 0.000100
21, -23.0000, 0.0052, 0.000100
22, -24.6744, 0.0101, 0.000100
23, -19.6818, -0.0008, 0.000100
24, -24.3409, 0.0083, 0.000100
25, -25.7955, 0.0033, 0.000100
26, -27.4884, 0.0108, 0.000100
27, -26.3636, 0.0053, 0.000100
28, -21.0227, -0.0020, 0.000100
29, -25.3409, 0.0014, 0.000100
30, -22.9773, 0.0001, 0.000100
31, -27.5682, 0.0063, 0.000100
32, -30.9302, 0.0119, 0.000100
33, -29.3023, 0.0078, 0.000100
34, -23.7500, -0.0053, 0.000100
35, -25.3182, 0.0072, 0.000100
36, -21.9773, -0.0034, 0.000100
37, -27.4091, 0.0042, 0.000100
38, -25.4419, -0.0003, 0.000100
39, -25.7955, 0.0001, 0.000100
40, -20.9545, -0.0022, 0.000100
41, -24.0455, -0.0036, 0.000100
42, -23.2273, -0.0010, 0.000100
43, -22.9318, -0.0018, 0.000100
44, -26.7209, 0.0065, 0.000100
45, -26.0227, 0.0056, 0.000100
46, -24.3256, -0.0005, 0.000100
47, -28.8140, 0.0028, 0.000100
48, -23.8409, -0.0018, 0.000100
49, -28.6591, 0.0024, 0.000100
50, -22.7273, -0.0096, 0.000100
51, -26.4545, 0.0038, 0.000100
52, -28.7273, 0.0070, 0.000100
53, -20.5909, -0.0047, 0.000100
54, -21.7045, -0.0032, 0.000100
