episode, reward, loss, lr
1, -22.8409, 0.0191, 0.000100
2, -26.7727, 0.0178, 0.000100
3, -23.0682, 0.0167, 0.000100
4, -19.5682, 0.0136, 0.000100
5, -26.9091, 0.0126, 0.000100
6, -27.9048, 0.0107, 0.000100
7, -24.4318, 0.0056, 0.000100
8, -26.0000, 0.0056, 0.000100
9, -20.0682, -0.0034, 0.000100
10, -19.9091, -0.0040, 0.000100
11, -23.4286, 0.0011, 0.000100
12, -25.2558, 0.0016, 0.000100
13, -22.6591, -0.0007, 0.000100
14, -30.4884, 0.0057, 0.000100
15, -27.0227, -0.0002, 0.000100
16, -20.5227, -0.0018, 0.000100
17, -21.3864, -0.0057, 0.000100
18, -19.7500, -0.0027, 0.000100
19, -25.8140, -0.0016, 0.000100
20, -28.4524, -0.0023, 0.000100
21, -28.4773, 0.0018, 0.000100
22, -24.6818, -0.0048, 0.000100
23, -27.9091, -0.0037, 0.000100
24, -28.2273, -0.0043, 0.000100
25, -25.6818, -0.0050, 0.000100
26, -23.2045, -0.0043, 0.000100
27, -27.3182, -0.0043, 0.000100
28, -24.5227, -0.0004, 0.000100
29, -25.6364, -0.0048, 0.000100
30, -26.5227, -0.0094, 0.000100
31, -28.4545, -0.0025, 0.000100
32, -21.3409, -0.0046, 0.000100
33, -20.8182, -0.0045, 0.000100
34, -32.1818, -0.0043, 0.000100
35, -26.6279, 0.0053, 0.000100
36, -26.0455, 0.0062, 0.000100
37, -22.8409, 0.0008, 0.000100
38, -26.9773, 0.0041, 0.000100
39, -21.7273, -0.0002, 0.000100
40, -28.1364, 0.0040, 0.000100
41, -26.7955, 0.0052, 0.000100
42, -28.3721, 0.0010, 0.000100
43, -30.5116, 0.0000, 0.000100
44, -26.3864, -0.0027, 0.000100
45, -22.4773, -0.0065, 0.000100
46, -25.3182, -0.0024, 0.000100
47, -24.0000, -0.0061, 0.000100
48, -21.3864, -0.0031, 0.000100
49, -24.3864, -0.0042, 0.000100
50, -22.6136, -0.0040, 0.000100
51, -24.6364, -0.0029, 0.000100
52, -27.6818, 0.0013, 0.000100
53, -25.4318, -0.0006, 0.000100
54, -22.5455, -0.0041, 0.000100
55, -23.6591, 0.0013, 0.000100
56, -25.5000, -0.0003, 0.000100
57, -26.2727, 0.0017, 0.000100
58, -19.4091, -0.0087, 0.000100
59, -25.4318, -0.0003, 0.000100
60, -25.7500, -0.0004, 0.000100
61, -20.7955, 0.0010, 0.000100
62, -23.4545, 0.0023, 0.000100
63, -23.9091, 0.0016, 0.000100
64, -27.9091, 0.0018, 0.000100
65, -30.5682, 0.0057, 0.000100
66, -27.0000, 0.0013, 0.000100
67, -19.9091, -0.0073, 0.000100
68, -23.6818, -0.0017, 0.000100
69, -33.0909, 0.0004, 0.000100
70, -21.9318, 0.0035, 0.000100
71, -24.9773, 0.0031, 0.000100
72, -25.3864, 0.0024, 0.000100
73, -22.3182, 0.0012, 0.000100
74, -25.9070, 0.0032, 0.000100
75, -25.7727, 0.0033, 0.000100
76, -26.4773, 0.0051, 0.000100
77, -29.9773, 0.0084, 0.000100
78, -25.1818, -0.0001, 0.000100
79, -25.0909, 0.0003, 0.000100
80, -24.3488, 0.0029, 0.000100
81, -26.5227, 0.0020, 0.000100
82, -27.3409, 0.0018, 0.000100
83, -21.7955, 0.0013, 0.000100
84, -25.0455, 0.0020, 0.000100
85, -25.6591, 0.0017, 0.000100
86, -28.7955, 0.0027, 0.000100
87, -22.6047, -0.0000, 0.000100
88, -26.9767, 0.0024, 0.000100
89, -24.7955, -0.0007, 0.000100
90, -29.1591, 0.0024, 0.000100
91, -23.7727, 0.0011, 0.000100
92, -27.3182, 0.0012, 0.000100
93, -28.0227, 0.0024, 0.000100
94, -24.0227, -0.0015, 0.000100
95, -24.6818, -0.0001, 0.000100
96, -26.0000, -0.0017, 0.000100
97, -24.2955, 0.0039, 0.000100
98, -24.9091, 0.0009, 0.000100
99, -24.7955, -0.0010, 0.000100
100, -22.0000, -0.0019, 0.000100
101, -26.2273, 0.0003, 0.000100
102, -27.6818, 0.0020, 0.000100
103, -23.7500, 0.0001, 0.000100
104, -26.8864, 0.0017, 0.000100
105, -25.9091, 0.0022, 0.000100
106, -23.4773, 0.0025, 0.000100
107, -21.6364, 0.0012, 0.000100
108, -27.4318, 0.0022, 0.000100
109, -26.0000, 0.0032, 0.000100
110, -28.6364, 0.0030, 0.000100
111, -24.8409, 0.0001, 0.000100
112, -24.7727, 0.0021, 0.000100
113, -24.8182, 0.0021, 0.000100
114, -25.7045, 0.0031, 0.000100
115, -25.1395, -0.0001, 0.000100
116, -25.7727, 0.0047, 0.000100
117, -25.8182, 0.0037, 0.000100
118, -27.4773, 0.0047, 0.000100
119, -26.5909, 0.0016, 0.000100
120, -25.2727, 0.0012, 0.000100
121, -25.8182, -0.0001, 0.000100
122, -28.0909, 0.0026, 0.000100
123, -28.3864, 0.0032, 0.000100
124, -27.2857, 0.0028, 0.000100
125, -21.9318, -0.0034, 0.000100
126, -25.8636, 0.0029, 0.000100
127, -27.1818, 0.0006, 0.000100
128, -23.7955, -0.0030, 0.000100
129, -21.2045, -0.0019, 0.000100
130, -27.2273, 0.0050, 0.000100
131, -23.8409, 0.0002, 0.000100
132, -30.9773, 0.0050, 0.000100
133, -21.5116, -0.0007, 0.000100
134, -25.7955, -0.0001, 0.000100
