episode, reward, loss, lr
1, -22.0455, 0.0165, 0.000100
2, -24.1591, 0.0150, 0.000100
3, -21.3182, 0.0146, 0.000100
4, -18.7045, 0.0109, 0.000100
5, -26.6364, 0.0135, 0.000100
6, -25.0909, 0.0057, 0.000100
7, -27.5581, 0.0089, 0.000100
8, -24.5227, 0.0013, 0.000100
9, -27.4091, 0.0092, 0.000100
10, -28.6136, 0.0100, 0.000100
11, -26.3864, 0.0052, 0.000100
12, -26.0455, 0.0033, 0.000100
13, -27.2045, 0.0019, 0.000100
14, -31.5349, 0.0065, 0.000100
15, -27.0909, 0.0040, 0.000100
16, -22.8182, -0.0065, 0.000100
17, -19.3864, -0.0024, 0.000100
18, -26.0000, 0.0016, 0.000100
19, -27.5909, 0.0015, 0.000100
20, -23.3095, -0.0029, 0.000100
21, -21.8636, -0.0078, 0.000100
22, -21.5000, -0.0038, 0.000100
23, -24.8636, 0.0008, 0.000100
24, -22.0909, -0.0024, 0.000100
25, -21.6591, -0.0002, 0.000100
26, -24.7674, 0.0001, 0.000100
27, -20.9773, 0.0008, 0.000100
28, -21.4773, 0.0000, 0.000100
29, -24.4318, 0.0032, 0.000100
30, -25.8864, -0.0005, 0.000100
31, -18.9773, -0.0028, 0.000100
32, -22.8636, -0.0003, 0.000100
33, -25.7045, 0.0019, 0.000100
34, -22.4318, -0.0020, 0.000100
35, -23.5455, 0.0005, 0.000100
36, -26.2500, 0.0009, 0.000100
37, -22.7273, -0.0014, 0.000100
38, -22.5682, -0.0012, 0.000100
39, -20.0909, -0.0031, 0.000100
40, -23.9070, 0.0021, 0.000100
41, -23.9091, 0.0000, 0.000100
42, -24.3409, 0.0007, 0.000100
43, -28.8372, 0.0014, 0.000100
44, -24.7955, 0.0017, 0.000100
45, -25.4545, 0.0002, 0.000100
46, -18.7500, -0.0056, 0.000100
47, -18.0455, -0.0026, 0.000100
48, -23.5227, -0.0012, 0.000100
49, -22.7500, 0.0027, 0.000100
50, -21.9318, -0.0016, 0.000100
51, -23.7273, 0.0013, 0.000100
52, -24.7273, 0.0023, 0.000100
53, -23.7273, 0.0054, 0.000100
54, -30.0909, 0.0034, 0.000100
55, -30.1591, 0.0016, 0.000100
56, -28.1364, 0.0045, 0.000100
57, -20.5227, -0.0015, 0.000100
58, -26.3409, 0.0014, 0.000100
59, -23.5682, -0.0014, 0.000100
60, -17.1860, -0.0054, 0.000100
61, -21.0227, -0.0017, 0.000100
62, -22.5909, 0.0003, 0.000100
63, -23.7273, 0.0007, 0.000100
64, -25.9545, 0.0027, 0.000100
65, -23.7500, -0.0012, 0.000100
66, -21.3864, -0.0014, 0.000100
67, -19.4318, -0.0002, 0.000100
68, -18.9318, 0.0021, 0.000100
69, -22.0682, -0.0014, 0.000100
70, -19.8182, -0.0019, 0.000100
71, -21.7727, 0.0019, 0.000100
72, -22.3409, 0.0020, 0.000100
73, -24.7500, 0.0040, 0.000100
74, -25.5682, 0.0008, 0.000100
75, -23.2955, 0.0010, 0.000100
76, -21.4773, 0.0012, 0.000100
77, -26.7500, 0.0034, 0.000100
78, -25.3409, 0.0018, 0.000100
79, -19.3636, -0.0029, 0.000100
80, -22.4651, 0.0007, 0.000100
81, -18.6818, -0.0011, 0.000100
82, -25.0455, 0.0049, 0.000100
83, -20.9091, -0.0013, 0.000100
84, -19.8409, -0.0019, 0.000100
85, -19.2955, -0.0009, 0.000100
86, -24.4773, 0.0033, 0.000100
87, -22.7955, 0.0010, 0.000100
88, -22.4186, 0.0020, 0.000100
89, -20.9545, -0.0008, 0.000100
90, -24.0909, 0.0009, 0.000100
