episode, reward, loss, lr
1, -19.8409, 0.0147, 0.000100
2, -27.4773, 0.0218, 0.000100
3, -26.4091, 0.0162, 0.000100
4, -20.6818, 0.0070, 0.000100
5, -30.4773, 0.0130, 0.000100
6, -28.6364, 0.0118, 0.000100
7, -26.7955, 0.0076, 0.000100
8, -24.4091, 0.0019, 0.000100
9, -23.8864, 0.0001, 0.000100
10, -25.6136, -0.0006, 0.000100
11, -24.8409, -0.0022, 0.000100
12, -22.5349, -0.0073, 0.000100
13, -22.1591, -0.0037, 0.000100
14, -31.2791, 0.0022, 0.000100
15, -21.0000, -0.0100, 0.000100
16, -24.3409, -0.0036, 0.000100
17, -26.7500, -0.0032, 0.000100
18, -17.8182, -0.0058, 0.000100
19, -24.3953, -0.0038, 0.000100
20, -24.3095, -0.0046, 0.000100
21, -21.7500, -0.0016, 0.000100
22, -24.5909, -0.0054, 0.000100
23, -24.3864, -0.0046, 0.000100
24, -25.0682, -0.0084, 0.000100
25, -21.7955, -0.0080, 0.000100
26, -20.4773, -0.0031, 0.000100
27, -29.0909, 0.0005, 0.000100
28, -24.1818, -0.0047, 0.000100
29, -22.1818, -0.0069, 0.000100
30, -21.0238, -0.0061, 0.000100
31, -25.2045, -0.0030, 0.000100
32, -25.6364, -0.0032, 0.000100
33, -18.6591, -0.0061, 0.000100
34, -25.2045, -0.0048, 0.000100
35, -23.8409, -0.0033, 0.000100
36, -24.0930, -0.0028, 0.000100
37, -23.7955, -0.0043, 0.000100
38, -20.9773, -0.0041, 0.000100
39, -27.0227, -0.0022, 0.000100
40, -20.6364, -0.0021, 0.000100
41, -19.8409, -0.0014, 0.000100
42, -19.2500, -0.0007, 0.000100
43, -28.5581, 0.0053, 0.000100
44, -21.5455, 0.0003, 0.000100
45, -23.4091, 0.0008, 0.000100
46, -24.9091, 0.0053, 0.000100
47, -21.5455, 0.0000, 0.000100
48, -20.7727, -0.0002, 0.000100
49, -25.8864, 0.0024, 0.000100
50, -25.1591, 0.0007, 0.000100
51, -21.7955, 0.0064, 0.000100
52, -21.9545, 0.0035, 0.000100
53, -20.1136, -0.0010, 0.000100
54, -24.8409, 0.0033, 0.000100
55, -25.4545, 0.0011, 0.000100
56, -21.1818, -0.0010, 0.000100
57, -19.7273, -0.0007, 0.000100
58, -17.2500, -0.0036, 0.000100
59, -21.0000, -0.0014, 0.000100
60, -22.3953, 0.0035, 0.000100
61, -23.3864, 0.0005, 0.000100
62, -24.3864, 0.0014, 0.000100
63, -22.9318, 0.0015, 0.000100
64, -23.8409, -0.0002, 0.000100
65, -23.3636, -0.0009, 0.000100
66, -25.2045, -0.0013, 0.000100
67, -21.8409, -0.0011, 0.000100
68, -25.2273, 0.0007, 0.000100
69, -23.0476, 0.0000, 0.000100
70, -21.1628, 0.0012, 0.000100
71, -20.1818, -0.0030, 0.000100
72, -23.5682, 0.0013, 0.000100
73, -26.8636, 0.0047, 0.000100
74, -21.9773, 0.0027, 0.000100
75, -21.9091, 0.0019, 0.000100
76, -20.5682, -0.0008, 0.000100
