episode, reward, loss, lr
1, -21.5455, 0.0151, 0.000100
2, -31.6136, 0.0201, 0.000100
3, -23.2727, 0.0119, 0.000100
4, -24.7955, 0.0179, 0.000100
5, -25.6364, 0.0111, 0.000100
6, -25.4286, 0.0082, 0.000100
7, -24.0909, 0.0046, 0.000100
8, -26.0227, 0.0054, 0.000100
9, -22.6364, -0.0024, 0.000100
10, -24.8182, 0.0014, 0.000100
11, -22.1136, -0.0032, 0.000100
12, -22.7273, -0.0054, 0.000100
13, -22.2955, -0.0029, 0.000100
14, -27.7442, 0.0002, 0.000100
15, -28.1364, -0.0012, 0.000100
16, -22.3023, -0.0073, 0.000100
17, -25.0909, -0.0045, 0.000100
18, -24.9545, -0.0041, 0.000100
19, -27.2326, -0.0014, 0.000100
20, -25.1905, -0.0043, 0.000100
21, -26.8636, -0.0031, 0.000100
22, -21.4318, -0.0091, 0.000100
23, -22.3864, -0.0041, 0.000100
24, -19.7500, -0.0057, 0.000100
25, -21.7273, -0.0018, 0.000100
26, -23.9318, -0.0033, 0.000100
27, -19.9773, -0.0067, 0.000100
28, -26.5909, -0.0002, 0.000100
29, -22.2558, -0.0038, 0.000100
30, -27.3256, -0.0008, 0.000100
31, -18.8409, -0.0088, 0.000100
32, -21.9545, -0.0034, 0.000100
33, -23.0227, 0.0021, 0.000100
34, -19.2273, -0.0030, 0.000100
35, -25.4186, 0.0050, 0.000100
36, -25.6591, 0.0015, 0.000100
37, -20.5909, -0.0005, 0.000100
38, -20.1818, -0.0001, 0.000100
39, -18.2045, -0.0007, 0.000100
40, -20.8864, 0.0012, 0.000100
41, -20.4545, -0.0014, 0.000100
42, -19.1136, -0.0019, 0.000100
43, -25.6977, 0.0023, 0.000100
44, -24.2727, 0.0029, 0.000100
45, -22.5000, 0.0006, 0.000100
46, -16.9545, -0.0012, 0.000100
47, -17.8636, -0.0020, 0.000100
48, -21.5227, 0.0015, 0.000100
49, -27.8182, 0.0074, 0.000100
50, -18.1818, -0.0049, 0.000100
51, -21.1364, -0.0047, 0.000100
52, -24.0238, 0.0002, 0.000100
53, -20.6364, -0.0014, 0.000100
54, -18.1591, -0.0014, 0.000100
55, -20.0455, -0.0005, 0.000100
56, -19.9545, 0.0018, 0.000100
57, -21.5455, 0.0009, 0.000100
58, -19.1136, -0.0001, 0.000100
59, -22.9091, 0.0033, 0.000100
60, -22.6744, 0.0011, 0.000100
61, -24.5227, 0.0022, 0.000100
62, -24.0000, 0.0005, 0.000100
63, -27.3409, 0.0032, 0.000100
64, -20.5909, -0.0026, 0.000100
65, -25.0455, 0.0009, 0.000100
66, -22.8636, 0.0007, 0.000100
67, -21.1591, 0.0016, 0.000100
68, -17.2045, -0.0013, 0.000100
69, -23.0909, 0.0019, 0.000100
70, -24.7143, 0.0014, 0.000100
71, -18.7500, -0.0014, 0.000100
72, -19.5455, -0.0018, 0.000100
73, -22.4545, 0.0037, 0.000100
74, -18.6136, -0.0020, 0.000100
75, -26.2727, 0.0039, 0.000100
76, -20.8636, -0.0002, 0.000100
77, -22.6364, 0.0015, 0.000100
78, -19.7045, -0.0005, 0.000100
79, -22.8182, 0.0005, 0.000100
80, -20.3953, -0.0008, 0.000100
