episode, reward, loss, lr
1, -21.5455, 0.0157, 0.000100
2, -21.1591, 0.0170, 0.000100
3, -25.6591, 0.0174, 0.000100
4, -25.7273, 0.0144, 0.000100
5, -21.0227, 0.0060, 0.000100
6, -26.0698, 0.0116, 0.000100
7, -24.7045, 0.0051, 0.000100
8, -25.0000, 0.0012, 0.000100
9, -26.7955, 0.0038, 0.000100
10, -18.6818, -0.0009, 0.000100
11, -24.7273, 0.0014, 0.000100
12, -22.8605, -0.0042, 0.000100
13, -22.5682, -0.0027, 0.000100
14, -29.0000, 0.0024, 0.000100
15, -26.7273, -0.0015, 0.000100
16, -25.0909, -0.0042, 0.000100
17, -23.9545, -0.0052, 0.000100
18, -25.1364, -0.0020, 0.000100
19, -26.9091, 0.0001, 0.000100
20, -20.1429, -0.0096, 0.000100
21, -23.9545, -0.0037, 0.000100
22, -26.8864, -0.0011, 0.000100
23, -24.3409, -0.0040, 0.000100
24, -22.7045, -0.0032, 0.000100
25, -23.7500, -0.0036, 0.000100
26, -20.6136, -0.0065, 0.000100
27, -21.7045, -0.0017, 0.000100
28, -24.3636, 0.0064, 0.000100
29, -21.2326, -0.0010, 0.000100
30, -24.0000, 0.0003, 0.000100
31, -21.4318, -0.0014, 0.000100
32, -18.7500, -0.0013, 0.000100
33, -23.4091, -0.0001, 0.000100
34, -21.0227, -0.0003, 0.000100
35, -23.1163, 0.0014, 0.000100
36, -21.3409, 0.0010, 0.000100
37, -22.6136, -0.0001, 0.000100
38, -24.0227, 0.0008, 0.000100
39, -22.9545, -0.0008, 0.000100
40, -22.5116, -0.0002, 0.000100
41, -23.2955, 0.0019, 0.000100
42, -18.4091, -0.0018, 0.000100
43, -21.7674, -0.0014, 0.000100
44, -20.9773, -0.0013, 0.000100
45, -22.2500, 0.0011, 0.000100
46, -20.9091, -0.0010, 0.000100
47, -20.7727, -0.0018, 0.000100
48, -18.5682, -0.0032, 0.000100
49, -27.8182, 0.0019, 0.000100
50, -21.7500, -0.0013, 0.000100
51, -20.9091, -0.0007, 0.000100
52, -20.3864, -0.0009, 0.000100
53, -18.9773, -0.0020, 0.000100
54, -23.7500, 0.0006, 0.000100
55, -18.3864, -0.0018, 0.000100
56, -25.2500, 0.0029, 0.000100
57, -22.0000, 0.0050, 0.000100
58, -20.0682, 0.0004, 0.000100
59, -20.8864, 0.0013, 0.000100
60, -15.7045, -0.0031, 0.000100
61, -20.8409, -0.0015, 0.000100
62, -24.8409, 0.0019, 0.000100
63, -18.4091, -0.0026, 0.000100
64, -20.0000, -0.0017, 0.000100
65, -25.6136, 0.0042, 0.000100
66, -19.3409, -0.0006, 0.000100
67, -21.1364, -0.0003, 0.000100
68, -22.0000, -0.0015, 0.000100
69, -19.6591, -0.0012, 0.000100
70, -22.3864, 0.0026, 0.000100
71, -23.4545, 0.0027, 0.000100
72, -22.3409, -0.0001, 0.000100
73, -22.5227, 0.0008, 0.000100
74, -19.9318, -0.0000, 0.000100
75, -23.9070, 0.0014, 0.000100
76, -19.7500, 0.0011, 0.000100
77, -24.8636, 0.0010, 0.000100
78, -22.1364, -0.0007, 0.000100
79, -20.2273, -0.0024, 0.000100
80, -25.3721, 0.0025, 0.000100
81, -20.5000, 0.0001, 0.000100
82, -22.2500, 0.0008, 0.000100
83, -28.0227, 0.0017, 0.000100
84, -21.8409, -0.0013, 0.000100
85, -19.6818, 0.0011, 0.000100
86, -26.1163, 0.0002, 0.000100
87, -24.2955, 0.0015, 0.000100
88, -17.9773, -0.0035, 0.000100
89, -20.6744, -0.0010, 0.000100
90, -19.6591, 0.0015, 0.000100
91, -22.7045, -0.0015, 0.000100
92, -23.3864, -0.0009, 0.000100
93, -21.5909, 0.0001, 0.000100
94, -21.0465, 0.0003, 0.000100
95, -23.7045, 0.0011, 0.000100
96, -21.0227, -0.0017, 0.000100
97, -24.5000, -0.0004, 0.000100
98, -17.8409, -0.0026, 0.000100
99, -20.7727, -0.0004, 0.000100
100, -21.0227, -0.0021, 0.000100
101, -19.8636, -0.0010, 0.000100
102, -26.5581, 0.0019, 0.000100
103, -21.6364, 0.0000, 0.000100
104, -24.9091, 0.0005, 0.000100
105, -21.7500, -0.0020, 0.000100
106, -22.0227, -0.0027, 0.000100
107, -22.6364, 0.0014, 0.000100
108, -19.4773, 0.0004, 0.000100
109, -16.0000, -0.0035, 0.000100
110, -22.1136, 0.0035, 0.000100
111, -20.8864, -0.0021, 0.000100
112, -21.8636, 0.0005, 0.000100
113, -18.8409, -0.0008, 0.000100
114, -23.6818, 0.0024, 0.000100
115, -22.5682, 0.0049, 0.000100
116, -20.7500, -0.0020, 0.000100
117, -21.9773, 0.0035, 0.000100
118, -22.0455, 0.0007, 0.000100
119, -24.5000, 0.0037, 0.000100
120, -21.0682, 0.0008, 0.000100
121, -23.1136, 0.0023, 0.000100
122, -19.0909, -0.0022, 0.000100
123, -21.1364, 0.0008, 0.000100
124, -23.9318, 0.0018, 0.000100
125, -24.7955, 0.0016, 0.000100
126, -22.6364, -0.0019, 0.000100
127, -19.9545, 0.0027, 0.000100
128, -23.6591, 0.0012, 0.000100
129, -23.9545, 0.0031, 0.000100
130, -18.6136, -0.0010, 0.000100
131, -21.0909, 0.0010, 0.000100
132, -21.5000, 0.0019, 0.000100
133, -20.1136, -0.0010, 0.000100
134, -16.5000, -0.0007, 0.000100
135, -27.5682, 0.0053, 0.000100
136, -24.9091, 0.0030, 0.000100
137, -23.8636, 0.0023, 0.000100
138, -19.3409, 0.0008, 0.000100
139, -21.1136, 0.0021, 0.000100
140, -18.7273, -0.0018, 0.000100
141, -20.4091, 0.0004, 0.000100
142, -29.1364, 0.0049, 0.000100
143, -23.3636, -0.0022, 0.000100
144, -21.0455, -0.0049, 0.000100
145, -22.5909, -0.0006, 0.000100
146, -19.6364, -0.0031, 0.000100
147, -23.2273, 0.0010, 0.000100
148, -25.6591, 0.0013, 0.000100
149, -24.3636, 0.0002, 0.000100
150, -25.7500, 0.0024, 0.000100
151, -26.7045, -0.0002, 0.000100
152, -21.5000, -0.0030, 0.000100
153, -24.5682, -0.0011, 0.000100
154, -20.6364, -0.0025, 0.000100
155, -18.5000, -0.0046, 0.000100
156, -25.9545, -0.0001, 0.000100
157, -21.9318, -0.0009, 0.000100
158, -23.4773, -0.0015, 0.000100
159, -20.9773, -0.0003, 0.000100
160, -25.7045, 0.0024, 0.000100
161, -21.2045, -0.0001, 0.000100
162, -20.6364, -0.0032, 0.000100
163, -26.9773, 0.0005, 0.000100
164, -21.6136, -0.0008, 0.000100
165, -25.0455, -0.0011, 0.000100
166, -23.1818, 0.0009, 0.000100
167, -20.0227, -0.0011, 0.000100
168, -17.2273, -0.0040, 0.000100
169, -20.0455, -0.0014, 0.000100
170, -23.1364, 0.0008, 0.000100
171, -24.9545, 0.0024, 0.000100
172, -23.2273, 0.0013, 0.000100
173, -25.1136, 0.0039, 0.000100
174, -25.9545, 0.0048, 0.000100
175, -16.9091, -0.0030, 0.000100
176, -24.4524, 0.0018, 0.000100
177, -22.1395, 0.0002, 0.000100
178, -20.7209, -0.0014, 0.000100
179, -21.5455, -0.0009, 0.000100
180, -25.4318, 0.0034, 0.000100
181, -18.7955, -0.0008, 0.000100
182, -21.7442, -0.0010, 0.000100
183, -21.9318, -0.0011, 0.000100
184, -24.7045, 0.0053, 0.000100
185, -18.9302, -0.0039, 0.000100
186, -18.5909, -0.0029, 0.000100
187, -20.1628, -0.0031, 0.000100
188, -23.3409, 0.0009, 0.000100
189, -18.9767, -0.0018, 0.000100
190, -19.2727, -0.0016, 0.000100
191, -19.7273, -0.0008, 0.000100
192, -20.5909, -0.0015, 0.000100
193, -20.5682, 0.0005, 0.000100
194, -23.1364, 0.0026, 0.000100
195, -17.7273, -0.0003, 0.000100
196, -23.2273, 0.0005, 0.000100
197, -20.2955, 0.0003, 0.000100
198, -22.2955, 0.0009, 0.000100
199, -25.8636, 0.0060, 0.000100
200, -23.1136, -0.0020, 0.000100
201, -23.7727, -0.0014, 0.000100
202, -17.0909, -0.0042, 0.000100
203, -21.9773, -0.0011, 0.000100
204, -20.2727, -0.0005, 0.000100
205, -21.5909, -0.0003, 0.000100
206, -21.7273, -0.0007, 0.000100
207, -22.6136, -0.0002, 0.000100
208, -23.0682, -0.0002, 0.000100
209, -22.3953, 0.0029, 0.000100
210, -20.2955, 0.0023, 0.000100
211, -21.3182, 0.0011, 0.000100
212, -19.2500, -0.0010, 0.000100
213, -21.0909, 0.0021, 0.000100
214, -20.2273, -0.0008, 0.000100
215, -22.1860, 0.0005, 0.000100
216, -19.3864, -0.0001, 0.000100
217, -18.3636, -0.0016, 0.000100
218, -26.8182, 0.0048, 0.000100
219, -21.4773, 0.0001, 0.000100
220, -23.9318, 0.0003, 0.000100
221, -23.0455, 0.0014, 0.000100
222, -19.9535, -0.0037, 0.000100
223, -22.9545, 0.0036, 0.000100
224, -21.0682, -0.0013, 0.000100
225, -22.7727, -0.0007, 0.000100
226, -22.4091, -0.0007, 0.000100
227, -19.8636, -0.0020, 0.000100
228, -19.8636, -0.0008, 0.000100
229, -22.8837, 0.0003, 0.000100
230, -16.0000, -0.0058, 0.000100
231, -17.7273, -0.0039, 0.000100
232, -25.0455, 0.0006, 0.000100
233, -16.9545, -0.0041, 0.000100
234, -19.9318, -0.0013, 0.000100
235, -23.8333, -0.0006, 0.000100
236, -21.2273, 0.0002, 0.000100
237, -20.0682, -0.0002, 0.000100
238, -20.4545, -0.0013, 0.000100
239, -19.4318, -0.0013, 0.000100
240, -21.0455, -0.0007, 0.000100
241, -20.4545, 0.0004, 0.000100
242, -20.1818, -0.0005, 0.000100
243, -22.6591, -0.0006, 0.000100
244, -20.5227, 0.0007, 0.000100
245, -22.4091, 0.0002, 0.000100
246, -24.4773, 0.0004, 0.000100
247, -21.1591, -0.0001, 0.000100
248, -19.3182, -0.0003, 0.000100
249, -24.5000, 0.0011, 0.000100
250, -25.9070, 0.0012, 0.000100
251, -19.7273, -0.0006, 0.000100
252, -21.3864, -0.0027, 0.000100
253, -26.0000, 0.0024, 0.000100
254, -23.1591, -0.0000, 0.000100
255, -22.6818, 0.0005, 0.000100
256, -27.6364, 0.0028, 0.000100
257, -22.8636, 0.0013, 0.000100
258, -23.5227, 0.0004, 0.000100
259, -20.0000, -0.0047, 0.000100
260, -20.7045, -0.0020, 0.000100
261, -21.5227, -0.0005, 0.000100
262, -19.4091, -0.0015, 0.000100
263, -24.1136, 0.0000, 0.000100
264, -22.3409, 0.0035, 0.000100
265, -25.9773, 0.0020, 0.000100
266, -21.0682, -0.0013, 0.000100
