episode, reward, loss, lr
1, -21.7500, 0.0166, 0.000100
2, -21.9091, 0.0131, 0.000100
3, -23.1591, 0.0149, 0.000100
4, -18.8636, 0.0092, 0.000100
5, -28.5000, 0.0105, 0.000100
6, -22.4091, 0.0058, 0.000100
7, -23.7727, 0.0037, 0.000100
8, -19.0909, -0.0025, 0.000100
9, -27.4773, 0.0076, 0.000100
10, -19.2273, -0.0018, 0.000100
11, -26.1136, 0.0051, 0.000100
12, -21.7955, 0.0026, 0.000100
13, -26.1395, 0.0068, 0.000100
14, -20.9318, 0.0035, 0.000100
15, -21.4091, 0.0019, 0.000100
16, -24.4091, 0.0035, 0.000100
17, -21.7273, 0.0033, 0.000100
18, -22.4651, 0.0027, 0.000100
19, -23.5909, 0.0011, 0.000100
20, -26.6667, 0.0036, 0.000100
21, -26.2093, 0.0067, 0.000100
22, -26.2500, 0.0039, 0.000100
23, -25.0227, 0.0046, 0.000100
24, -28.8182, 0.0043, 0.000100
25, -29.4773, 0.0022, 0.000100
26, -19.3864, -0.0044, 0.000100
27, -22.7500, -0.0002, 0.000100
28, -17.3409, -0.0036, 0.000100
29, -26.9091, 0.0038, 0.000100
30, -19.3182, -0.0015, 0.000100
31, -25.4318, 0.0010, 0.000100
32, -25.1818, 0.0032, 0.000100
33, -22.8182, 0.0031, 0.000100
34, -23.5000, 0.0009, 0.000100
35, -24.5682, 0.0021, 0.000100
36, -21.0000, 0.0006, 0.000100
37, -21.3864, -0.0006, 0.000100
38, -19.2727, -0.0009, 0.000100
39, -21.5000, 0.0004, 0.000100
40, -23.4091, 0.0005, 0.000100
41, -22.6364, 0.0009, 0.000100
42, -21.7955, 0.0002, 0.000100
43, -23.8864, 0.0011, 0.000100
44, -24.7045, 0.0024, 0.000100
45, -25.0000, 0.0015, 0.000100
46, -28.6744, 0.0052, 0.000100
47, -22.5682, 0.0002, 0.000100
48, -24.3636, -0.0006, 0.000100
49, -20.6136, -0.0016, 0.000100
50, -21.0909, -0.0002, 0.000100
51, -20.8182, 0.0004, 0.000100
52, -24.2273, 0.0025, 0.000100
53, -18.5000, -0.0023, 0.000100
54, -21.1818, -0.0004, 0.000100
55, -17.8182, -0.0000, 0.000100
56, -25.8409, 0.0016, 0.000100
57, -21.0000, 0.0000, 0.000100
58, -24.8409, 0.0024, 0.000100
59, -21.3409, -0.0018, 0.000100
60, -24.0455, 0.0035, 0.000100
61, -23.3636, 0.0023, 0.000100
62, -18.6136, 0.0004, 0.000100
63, -21.0682, 0.0033, 0.000100
64, -22.0227, -0.0007, 0.000100
65, -19.9535, -0.0003, 0.000100
66, -27.2727, 0.0041, 0.000100
67, -26.0000, 0.0018, 0.000100
