episode, reward, loss, lr
1, -20.2273, 0.0137, 0.000100
2, -23.1364, 0.0176, 0.000100
3, -26.7955, 0.0175, 0.000100
4, -21.3864, 0.0136, 0.000100
5, -23.3409, 0.0110, 0.000100
6, -27.2273, 0.0101, 0.000100
7, -24.5227, 0.0055, 0.000100
8, -22.0909, -0.0002, 0.000100
9, -26.0227, 0.0074, 0.000100
10, -22.9773, 0.0015, 0.000100
11, -22.7500, 0.0043, 0.000100
12, -24.3409, 0.0028, 0.000100
13, -22.2326, 0.0007, 0.000100
14, -23.9773, 0.0040, 0.000100
15, -20.3636, 0.0016, 0.000100
16, -23.2273, 0.0025, 0.000100
17, -22.6364, 0.0014, 0.000100
18, -25.7674, 0.0022, 0.000100
19, -23.3864, 0.0009, 0.000100
20, -20.5227, 0.0000, 0.000100
21, -21.3488, 0.0001, 0.000100
22, -23.7727, 0.0017, 0.000100
23, -20.8409, -0.0027, 0.000100
24, -23.6591, 0.0002, 0.000100
25, -23.4318, 0.0008, 0.000100
26, -24.4318, 0.0022, 0.000100
27, -20.5455, 0.0002, 0.000100
28, -21.4545, 0.0005, 0.000100
29, -22.4091, -0.0000, 0.000100
30, -23.9545, -0.0001, 0.000100
31, -19.0682, -0.0044, 0.000100
32, -25.0909, 0.0019, 0.000100
33, -22.9545, 0.0006, 0.000100
34, -19.6818, 0.0005, 0.000100
35, -19.4545, -0.0002, 0.000100
36, -19.4773, -0.0013, 0.000100
37, -19.4773, -0.0013, 0.000100
38, -17.6818, 0.0003, 0.000100
39, -19.9091, -0.0007, 0.000100
40, -19.0455, 0.0027, 0.000100
41, -24.8864, 0.0033, 0.000100
42, -19.0455, 0.0015, 0.000100
43, -21.6364, 0.0017, 0.000100
44, -21.3409, 0.0013, 0.000100
45, -20.8605, 0.0013, 0.000100
46, -23.5116, 0.0001, 0.000100
47, -19.0682, -0.0005, 0.000100
48, -27.6364, 0.0051, 0.000100
49, -23.6364, 0.0008, 0.000100
50, -18.4091, -0.0020, 0.000100
51, -19.0455, 0.0010, 0.000100
52, -19.2045, 0.0003, 0.000100
53, -24.6136, 0.0040, 0.000100
54, -18.2500, -0.0005, 0.000100
55, -19.5581, 0.0012, 0.000100
56, -26.7045, 0.0059, 0.000100
57, -19.0227, 0.0003, 0.000100
58, -27.7500, 0.0047, 0.000100
59, -22.1591, 0.0009, 0.000100
60, -19.4318, -0.0019, 0.000100
61, -24.6364, 0.0028, 0.000100
62, -20.4318, -0.0002, 0.000100
63, -15.4091, -0.0026, 0.000100
64, -25.1136, 0.0046, 0.000100
65, -23.4091, 0.0002, 0.000100
66, -19.5682, 0.0003, 0.000100
67, -22.1136, 0.0034, 0.000100
68, -21.0000, 0.0051, 0.000100
69, -20.8864, 0.0023, 0.000100
70, -25.0000, 0.0038, 0.000100
71, -17.8636, -0.0006, 0.000100
72, -20.0455, 0.0018, 0.000100
73, -18.3182, -0.0013, 0.000100
74, -18.3023, -0.0002, 0.000100
75, -20.3721, 0.0024, 0.000100
76, -25.6512, 0.0023, 0.000100
77, -22.8636, -0.0006, 0.000100
78, -23.7955, 0.0025, 0.000100
79, -17.3864, -0.0008, 0.000100
80, -22.7273, 0.0005, 0.000100
81, -27.8636, 0.0059, 0.000100
82, -18.1591, -0.0004, 0.000100
83, -18.0909, -0.0024, 0.000100
84, -22.8864, 0.0011, 0.000100
85, -22.4091, 0.0022, 0.000100
86, -26.3721, 0.0060, 0.000100
87, -23.8409, 0.0029, 0.000100
88, -20.6591, -0.0002, 0.000100
89, -25.3636, 0.0022, 0.000100
90, -23.4545, 0.0016, 0.000100
91, -22.4318, -0.0000, 0.000100
92, -19.9773, -0.0010, 0.000100
93, -25.3182, 0.0054, 0.000100
94, -21.8636, 0.0009, 0.000100
95, -22.5116, 0.0011, 0.000100
96, -22.7955, 0.0015, 0.000100
97, -26.5000, 0.0048, 0.000100
98, -20.8182, 0.0018, 0.000100
99, -25.4773, 0.0032, 0.000100
100, -22.1591, -0.0014, 0.000100
101, -19.1818, -0.0032, 0.000100
102, -20.9318, 0.0002, 0.000100
103, -24.2955, 0.0002, 0.000100
104, -21.3864, 0.0013, 0.000100
105, -19.7727, -0.0001, 0.000100
106, -24.2273, 0.0030, 0.000100
107, -16.6136, -0.0020, 0.000100
108, -20.5455, 0.0011, 0.000100
109, -26.5455, 0.0036, 0.000100
110, -25.4318, 0.0036, 0.000100
111, -21.5227, 0.0009, 0.000100
112, -21.0909, 0.0011, 0.000100
113, -20.3409, 0.0006, 0.000100
114, -24.1136, 0.0007, 0.000100
115, -21.3864, 0.0024, 0.000100
116, -24.1136, 0.0039, 0.000100
117, -22.7273, 0.0015, 0.000100
118, -21.1591, 0.0009, 0.000100
119, -19.5000, 0.0000, 0.000100
120, -21.6364, 0.0020, 0.000100
121, -22.7209, 0.0020, 0.000100
122, -24.4091, 0.0019, 0.000100
123, -20.6136, 0.0009, 0.000100
124, -25.0476, 0.0038, 0.000100
125, -20.6818, -0.0023, 0.000100
126, -20.1707, -0.0006, 0.000100
127, -20.7955, 0.0035, 0.000100
128, -21.5581, 0.0012, 0.000100
129, -20.0909, 0.0008, 0.000100
130, -20.4091, 0.0020, 0.000100
131, -26.4762, 0.0051, 0.000100
132, -20.7500, 0.0024, 0.000100
133, -20.0227, 0.0000, 0.000100
134, -20.1190, -0.0028, 0.000100
135, -20.6818, 0.0030, 0.000100
136, -22.9773, 0.0038, 0.000100
137, -18.8333, 0.0009, 0.000100
138, -19.4773, 0.0004, 0.000100
139, -17.3182, 0.0004, 0.000100
140, -21.7500, 0.0003, 0.000100
141, -23.3182, 0.0029, 0.000100
142, -20.4091, 0.0019, 0.000100
143, -21.5476, 0.0044, 0.000100
144, -19.4091, 0.0013, 0.000100
