episode, reward, loss, lr
1, -21.1136, 0.0189, 0.000100
2, -22.9545, 0.0152, 0.000100
3, -22.4091, 0.0178, 0.000100
4, -31.1136, 0.0159, 0.000100
5, -17.7273, 0.0076, 0.000100
6, -23.9545, 0.0085, 0.000100
7, -28.1818, 0.0078, 0.000100
8, -21.8864, -0.0003, 0.000100
9, -22.1591, -0.0010, 0.000100
10, -24.9545, 0.0019, 0.000100
11, -23.8409, 0.0063, 0.000100
12, -22.2791, -0.0015, 0.000100
13, -19.4318, -0.0003, 0.000100
14, -24.2727, -0.0004, 0.000100
15, -26.3409, -0.0005, 0.000100
16, -26.5227, -0.0022, 0.000100
17, -23.8810, -0.0067, 0.000100
18, -22.1818, -0.0063, 0.000100
19, -25.7907, 0.0014, 0.000100
20, -24.2791, -0.0025, 0.000100
21, -17.5814, -0.0061, 0.000100
22, -23.1364, -0.0038, 0.000100
23, -25.4545, 0.0049, 0.000100
24, -21.6818, 0.0043, 0.000100
25, -22.5909, 0.0017, 0.000100
26, -21.7045, 0.0020, 0.000100
27, -21.0909, 0.0001, 0.000100
28, -21.0227, 0.0006, 0.000100
29, -22.0227, 0.0005, 0.000100
30, -20.0000, 0.0004, 0.000100
31, -25.9773, 0.0043, 0.000100
32, -25.4091, 0.0011, 0.000100
33, -20.8409, -0.0013, 0.000100
34, -26.2955, 0.0012, 0.000100
35, -23.5227, 0.0001, 0.000100
36, -22.4773, -0.0010, 0.000100
37, -21.7273, -0.0012, 0.000100
38, -18.6818, -0.0015, 0.000100
39, -25.8864, 0.0026, 0.000100
40, -24.1136, 0.0026, 0.000100
41, -26.2045, 0.0025, 0.000100
42, -23.5455, -0.0007, 0.000100
43, -22.9545, -0.0019, 0.000100
44, -25.5455, 0.0000, 0.000100
45, -17.2045, -0.0023, 0.000100
46, -25.4091, 0.0004, 0.000100
47, -22.5909, 0.0006, 0.000100
48, -17.8864, -0.0003, 0.000100
49, -23.5227, 0.0019, 0.000100
50, -25.3636, 0.0026, 0.000100
51, -18.3182, -0.0023, 0.000100
52, -27.2955, 0.0009, 0.000100
53, -24.9545, 0.0025, 0.000100
54, -25.1136, 0.0003, 0.000100
55, -20.1364, -0.0040, 0.000100
56, -22.4545, -0.0015, 0.000100
57, -27.0455, 0.0026, 0.000100
58, -21.9545, 0.0007, 0.000100
59, -18.0909, -0.0034, 0.000100
60, -22.7500, -0.0018, 0.000100
61, -16.0682, -0.0045, 0.000100
62, -23.2045, 0.0020, 0.000100
63, -19.8409, -0.0013, 0.000100
64, -27.4545, 0.0028, 0.000100
65, -21.1591, 0.0000, 0.000100
66, -22.3864, 0.0057, 0.000100
67, -21.5682, -0.0001, 0.000100
68, -15.5227, -0.0031, 0.000100
