episode, reward, loss, lr
1, -23.2955, 0.0200, 0.000100
2, -26.5227, 0.0188, 0.000100
3, -23.2727, 0.0171, 0.000100
4, -26.1364, 0.0131, 0.000100
5, -19.5682, 0.0092, 0.000100
6, -22.8864, 0.0059, 0.000100
7, -24.4318, 0.0068, 0.000100
8, -26.4091, 0.0047, 0.000100
9, -22.9091, 0.0038, 0.000100
10, -27.1591, 0.0020, 0.000100
11, -31.2045, -0.0026, 0.000100
12, -23.4091, -0.0044, 0.000100
13, -23.5000, -0.0037, 0.000100
14, -24.0227, -0.0012, 0.000100
15, -25.5227, -0.0036, 0.000100
16, -26.4545, -0.0016, 0.000100
17, -21.4773, -0.0046, 0.000100
18, -25.0000, -0.0010, 0.000100
19, -28.3864, -0.0033, 0.000100
20, -22.2093, -0.0082, 0.000100
21, -22.7955, -0.0108, 0.000100
22, -24.0682, -0.0046, 0.000100
23, -26.7955, 0.0049, 0.000100
24, -28.8182, 0.0056, 0.000100
25, -22.8636, -0.0029, 0.000100
26, -20.5455, -0.0023, 0.000100
27, -26.2273, 0.0047, 0.000100
28, -26.8864, 0.0048, 0.000100
29, -24.2955, 0.0009, 0.000100
30, -32.6591, 0.0058, 0.000100
31, -22.6136, 0.0009, 0.000100
32, -23.1136, 0.0014, 0.000100
33, -25.5909, 0.0002, 0.000100
34, -30.1136, 0.0049, 0.000100
35, -26.3488, -0.0012, 0.000100
36, -23.5814, 0.0005, 0.000100
37, -24.9545, -0.0011, 0.000100
38, -22.1136, -0.0016, 0.000100
39, -26.0000, 0.0008, 0.000100
40, -23.2500, -0.0005, 0.000100
41, -24.9545, 0.0006, 0.000100
42, -25.6364, 0.0014, 0.000100
43, -27.3256, 0.0012, 0.000100
44, -26.5000, 0.0010, 0.000100
45, -26.7273, -0.0006, 0.000100
46, -28.1818, 0.0017, 0.000100
47, -23.8636, -0.0018, 0.000100
48, -22.7727, -0.0023, 0.000100
49, -21.2955, -0.0010, 0.000100
50, -24.1136, 0.0024, 0.000100
51, -25.5909, -0.0009, 0.000100
52, -27.7727, 0.0005, 0.000100
53, -24.3636, 0.0010, 0.000100
54, -25.4773, 0.0019, 0.000100
55, -26.7045, 0.0016, 0.000100
56, -23.9773, 0.0003, 0.000100
57, -24.6364, 0.0005, 0.000100
58, -22.8409, -0.0019, 0.000100
59, -19.5000, -0.0013, 0.000100
60, -26.3409, 0.0054, 0.000100
61, -26.7727, 0.0022, 0.000100
62, -23.2273, 0.0020, 0.000100
63, -24.1818, -0.0002, 0.000100
64, -21.0455, 0.0021, 0.000100
65, -24.8864, -0.0007, 0.000100
66, -27.3864, 0.0012, 0.000100
67, -24.9545, 0.0023, 0.000100
68, -21.2955, -0.0017, 0.000100
69, -19.6364, -0.0039, 0.000100
70, -26.3409, 0.0032, 0.000100
71, -24.6744, -0.0014, 0.000100
72, -27.7045, 0.0031, 0.000100
73, -27.1136, -0.0002, 0.000100
74, -23.7273, 0.0009, 0.000100
75, -23.8409, -0.0025, 0.000100
76, -23.4773, -0.0004, 0.000100
77, -20.1136, -0.0036, 0.000100
78, -24.3409, 0.0028, 0.000100
79, -26.9048, 0.0019, 0.000100
80, -24.4091, 0.0005, 0.000100
81, -29.1628, 0.0041, 0.000100
82, -24.1818, 0.0007, 0.000100
83, -28.5682, 0.0008, 0.000100
84, -27.6818, 0.0012, 0.000100
85, -27.7500, 0.0001, 0.000100
86, -19.4773, -0.0058, 0.000100
87, -28.4091, 0.0057, 0.000100
88, -27.7955, 0.0022, 0.000100
89, -27.7209, -0.0001, 0.000100
90, -23.0682, -0.0007, 0.000100
91, -22.9318, -0.0002, 0.000100
92, -25.6136, 0.0010, 0.000100
93, -23.8182, -0.0015, 0.000100
94, -24.0455, -0.0010, 0.000100
