episode, reward, loss, lr
1, -24.4091, 0.0209, 0.000100
2, -28.0000, 0.0183, 0.000100
3, -25.0909, 0.0190, 0.000100
4, -24.9302, 0.0111, 0.000100
5, -22.7273, 0.0070, 0.000100
6, -26.1818, 0.0097, 0.000100
7, -26.3182, 0.0061, 0.000100
8, -19.3636, -0.0010, 0.000100
9, -23.7273, -0.0003, 0.000100
10, -24.8864, 0.0040, 0.000100
11, -24.7727, 0.0029, 0.000100
12, -25.7442, 0.0082, 0.000100
13, -23.7500, 0.0051, 0.000100
14, -23.3409, 0.0017, 0.000100
15, -25.3182, 0.0073, 0.000100
16, -24.8864, 0.0031, 0.000100
17, -21.7273, 0.0025, 0.000100
18, -20.9091, 0.0011, 0.000100
19, -26.6977, 0.0034, 0.000100
20, -25.9535, -0.0012, 0.000100
21, -22.3488, 0.0001, 0.000100
22, -27.2727, 0.0024, 0.000100
23, -22.8182, -0.0006, 0.000100
24, -23.0455, -0.0020, 0.000100
25, -30.7955, 0.0051, 0.000100
26, -23.8864, -0.0017, 0.000100
27, -24.4545, -0.0004, 0.000100
28, -27.5682, 0.0008, 0.000100
29, -26.2273, 0.0006, 0.000100
30, -23.5227, -0.0030, 0.000100
31, -31.1136, 0.0039, 0.000100
32, -29.0227, 0.0022, 0.000100
33, -23.8864, -0.0026, 0.000100
34, -22.2955, -0.0043, 0.000100
35, -29.4545, 0.0030, 0.000100
36, -23.5814, -0.0008, 0.000100
37, -30.9545, 0.0030, 0.000100
38, -26.0227, 0.0017, 0.000100
39, -25.3182, -0.0016, 0.000100
40, -23.6364, -0.0018, 0.000100
41, -29.8409, 0.0032, 0.000100
42, -24.0909, -0.0009, 0.000100
43, -26.3023, 0.0014, 0.000100
44, -23.4773, 0.0008, 0.000100
45, -21.1364, -0.0013, 0.000100
46, -28.3182, 0.0024, 0.000100
47, -25.0000, -0.0011, 0.000100
48, -25.2500, 0.0011, 0.000100
49, -21.7500, -0.0011, 0.000100
50, -25.2500, 0.0005, 0.000100
51, -21.4545, -0.0009, 0.000100
52, -24.1818, 0.0001, 0.000100
53, -25.2727, 0.0009, 0.000100
54, -27.7500, 0.0019, 0.000100
55, -25.5909, 0.0003, 0.000100
56, -27.1136, -0.0003, 0.000100
57, -28.2955, 0.0030, 0.000100
58, -23.5455, -0.0039, 0.000100
59, -23.2500, 0.0028, 0.000100
60, -23.6818, 0.0048, 0.000100
61, -24.9773, 0.0045, 0.000100
62, -21.8182, 0.0013, 0.000100
63, -26.5455, 0.0017, 0.000100
64, -23.1364, 0.0015, 0.000100
65, -26.7727, 0.0022, 0.000100
66, -27.9091, 0.0059, 0.000100
67, -21.8182, -0.0030, 0.000100
68, -21.8409, -0.0003, 0.000100
69, -23.4545, -0.0008, 0.000100
70, -24.7727, 0.0013, 0.000100
71, -24.7857, -0.0007, 0.000100
72, -28.7955, 0.0056, 0.000100
73, -25.3864, -0.0008, 0.000100
74, -23.4091, -0.0023, 0.000100
75, -26.8409, 0.0025, 0.000100
76, -24.1136, -0.0005, 0.000100
77, -21.1136, -0.0020, 0.000100
78, -23.6591, 0.0002, 0.000100
79, -23.6136, -0.0001, 0.000100
80, -30.3409, 0.0017, 0.000100
81, -28.5909, 0.0022, 0.000100
82, -21.3636, -0.0042, 0.000100
83, -25.6364, -0.0002, 0.000100
